train/learning_rate,time/time_elapsed,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,time/fps,train/critic_loss,time/episodes,train/n_updates
0.0064,59,27697.490234375,-133354.75174988,-1.194496750831604,54.82078170776367,52.53,10000,167,5355.6884765625,210,2474
0.0064,117,24734.599609375,-100207.34013662001,-0.06084086745977402,47.87703323364258,70.67,20000,169,4233.263671875,372,4974
0.0064,176,18198.091796875,-103247.69978514001,-0.19646501541137695,32.00297546386719,151.13,30000,170,2278.266845703125,394,7474
0.0064,234,9211.572265625,-104726.7828569,-1.4865367412567139,21.798770904541016,227.64,40000,170,1934.66259765625,402,9974
0.0064,293,4468.0087890625,-105199.38440147002,0.04162391647696495,13.705401420593262,342.17,50000,170,1090.692626953125,414,12474
0.0064,349,792.6278076171875,-102743.34254396,-3.98726749420166,18.143802642822266,416.38,60000,171,1541.81884765625,422,14974
0.0064,405,1167.7822265625,-144292.07259453,0.3397001326084137,12.41612720489502,515.02,70000,172,1305.502197265625,434,17474
0.0064,460,1470.08740234375,-140571.43527462002,0.016885116696357727,6.949650764465332,584.79,80000,173,677.7316284179688,442,19974
0.0064,516,1038.0208740234375,-217770.78797201999,0.7606080174446106,4.866225719451904,695.1,90000,174,369.5780029296875,454,22474
0.0064,572,679.1222534179688,-232665.04857168,1.2659249305725098,9.641809463500977,775.42,100000,174,619.4359741210938,467,24974
0.0064,628,666.5216674804688,-229046.53208732995,-0.12881360948085785,3.8161873817443848,886.65,110000,175,333.60565185546875,479,27474
0.0064,683,690.3424072265625,-225292.91022682004,0.22348596155643463,2.5344488620758057,953.53,120000,175,196.00347900390625,487,29974
0.0064,740,657.647705078125,-216916.76314198002,1.0859074592590332,3.6159780025482178,953.53,130000,175,191.2323760986328,499,32474
0.0064,796,829.46044921875,-214317.77419405003,0.41964828968048096,2.6234216690063477,953.53,140000,175,147.32247924804688,507,34974
0.0064,852,773.6966552734375,-217459.5971482,0.42351627349853516,2.221508502960205,945.03,150000,175,201.79498291015625,520,37474
0.0064,909,654.3031616210938,-202930.32832759008,0.17611560225486755,2.681765079498291,945.03,160000,175,218.40322875976562,528,39974
0.0064,967,537.7621459960938,-175683.54931138,0.29507753252983093,2.4514739513397217,941.95,170000,175,186.23419189453125,540,42474
0.0064,1024,830.3114013671875,-177651.22812682998,0.015166097320616245,1.3397020101547241,935.54,180000,175,176.2173614501953,550,44974
0.0064,1080,942.15380859375,-125106.49481259998,-0.8803360462188721,1.9293732643127441,942.5,190000,175,208.99136352539062,560,47474
0.0064,1137,1053.5322265625,-106187.39971449999,-0.5706038475036621,1.2794270515441895,961.68,200000,175,134.59523010253906,572,49974
0.0064,1195,888.765380859375,-107754.73805815,0.14214877784252167,1.5580157041549683,947.77,210000,175,133.81558227539062,583,52474
0.0064,1253,741.2333984375,-108832.80995030001,0.002612183801829815,1.0051400661468506,938.55,220000,175,113.42314910888672,595,54974
0.0064,1312,812.7193603515625,-107645.16180960002,0.625238299369812,0.6721177697181702,938.55,230000,175,114.1368179321289,604,57474
0.0064,1371,719.9288330078125,-110114.16231974,-0.5944728255271912,0.5034608840942383,938.55,240000,175,103.63803100585938,615,59974
0.0064,1430,669.7340087890625,-105760.53150133001,-0.19007602334022522,0.861234724521637,931.18,250000,174,98.56554412841797,626,62474
0.0064,1490,859.3662109375,-101169.77720885999,-0.10158064216375351,0.8948361873626709,931.18,260000,174,77.47168731689453,636,64974
0.0064,1550,639.9432373046875,-81879.89756759,-0.05906015262007713,0.8465982675552368,780.15,270000,174,153.7848358154297,663,67474
0.0064,1611,720.4481201171875,-81368.53686625,-0.7118793725967407,0.6109383702278137,789.24,280000,173,89.72061157226562,673,69974
0.0064,1672,605.8257446289062,-80982.6657455,-0.06320439279079437,0.8920700550079346,803.15,290000,173,265.7119140625,683,72474
0.0064,1734,571.353515625,-76371.07745052999,-0.7713014483451843,0.4988288879394531,787.29,300000,172,79.87366485595703,695,74974
0.0064,1798,465.9268798828125,-82283.61320585999,-0.032097212970256805,0.9591720700263977,761.11,310000,172,280.188720703125,708,77474
0.0064,1863,486.7679748535156,-76320.29348759001,-0.05145469680428505,0.7864475846290588,775.71,320000,171,83.7322006225586,718,79974
0.0064,1928,565.7111206054688,-90805.56710477,-0.15526258945465088,0.8610019087791443,691.95,330000,171,108.46697998046875,737,82474
0.0064,1994,796.8016357421875,-85561.55576687,-0.1034451350569725,1.0479766130447388,709.08,340000,170,319.88177490234375,747,84974
0.0064,2059,668.968505859375,-69615.31923838,0.5603250861167908,1.399980068206787,821.54,350000,169,134.16685485839844,759,87474
0.0064,2125,454.7538146972656,-63650.56771578,-0.010019115172326565,0.9160283207893372,855.75,360000,169,117.92438507080078,767,89974
0.0064,2191,655.865234375,-55461.62135535,0.4510478973388672,0.7480688691139221,845.96,370000,168,134.10704040527344,779,92474
0.0064,2257,574.0629272460938,-54740.850549480005,0.08337537199258804,0.8016993403434753,835.16,380000,168,118.25003051757812,790,94974
0.0064,2324,266.0839538574219,-33290.07823572,0.09460437297821045,2.9708871841430664,731.2,390000,167,361.2667541503906,814,97474
0.0064,2390,523.2500610351562,-30374.68355018,0.27351099252700806,1.9642091989517212,672.88,400000,167,276.2792663574219,839,99974
0.0064,2456,729.763671875,-34530.14221751,1.5691463947296143,2.2729403972625732,607.91,410000,166,364.4754333496094,857,102474
0.0064,2521,545.147705078125,-39546.45185994999,-0.45924991369247437,1.5392121076583862,505.59,420000,166,295.9159851074219,878,104974
0.0064,2587,346.4327392578125,-43608.32860591,0.11424069106578827,1.5845674276351929,491.76,430000,166,637.498046875,891,107474
0.0064,2654,362.2328796386719,-43010.75083,-0.026123253628611565,1.0274046659469604,529.83,440000,165,142.62057495117188,903,109974
0.0064,2721,305.871337890625,-51224.01483352,0.01515382993966341,1.0342743396759033,562.33,450000,165,120.1064682006836,923,112474
0.0064,2787,412.4860534667969,-3999.8524769900005,0.49853137135505676,1.2966604232788086,531.87,460000,165,149.7311553955078,953,114974
0.0064,2852,242.37322998046875,3083.257540019999,0.002441335003823042,0.9978567957878113,558.94,470000,164,119.373779296875,966,117474
0.0064,2918,366.028076171875,19796.033299190003,-0.2889852523803711,0.8684139251708984,548.72,480000,164,107.66371154785156,985,119974
0.0064,2985,219.875732421875,59111.52562508001,0.011196736246347427,1.007888674736023,352.83,490000,164,303.1628112792969,1029,122474
0.0064,3051,221.0686798095703,89086.77892719001,0.07209104299545288,1.272660732269287,206.56,500000,163,304.6522216796875,1080,124974
0.0064,3118,128.09046936035156,92338.16779475,-0.027274247258901596,1.2677422761917114,237.94,510000,163,131.69668579101562,1127,127474
0.0064,3185,-161.79534912109375,99854.81741509,-0.1573098748922348,1.1105520725250244,210.2,520000,163,145.9076385498047,1177,129974
0.0064,3251,83.31745910644531,108263.00100095998,-0.3054847717285156,1.0469143390655518,222.87,530000,163,111.73006439208984,1209,132474
0.0064,3318,-221.94064331054688,87877.40593543001,0.0754309594631195,1.0804795026779175,250.95,540000,162,336.552734375,1251,134974
0.0064,3385,-321.472900390625,99016.22848194,-0.2245239019393921,0.8704866766929626,205.65,550000,162,107.79535675048828,1310,137474
0.0064,3452,-467.80218505859375,90991.70018555,-0.4395560622215271,0.6108031868934631,224.68,560000,162,71.41926574707031,1351,139974
0.0064,3520,-200.68190002441406,73929.36879727,0.002791130682453513,0.9881851077079773,262.67,570000,161,411.7218322753906,1368,142474
