train/policy_gradient_loss,time/fps,train/learning_rate,train/value_loss,train/loss,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/clip_fraction,train/entropy_loss,time/time_elapsed,train/explained_variance,train/n_updates,train/std,train/approx_kl,train/clip_range
-0.0020050396044098305,1064,0.0003,4253637233.8,1862697216.0,-314802.60165004997,10000,76.02,0.00018310546875,-8.514919090270997,9,-8.344650268554688e-07,10,1.000423550605774,0.0019228443,0.2
-0.000601808763713052,1080,0.0003,4191362927.4,2076937216.0,-285569.21059832,20000,71.31,0.0,-8.516162145137788,18,-1.1920928955078125e-07,20,1.0004268884658813,0.00042131572,0.2
-0.0008894279730156995,1086,0.0003,3949248110.2,1963645440.0,-315594.77783597,30000,81.84,0.0,-8.515855255723,27,0.0,30,1.0003076791763306,0.00087107957,0.2
-0.0004729810294520576,1089,0.0003,3956964005.8,2049096448.0,-300139.87268746004,40000,80.36,0.0,-8.51526577398181,36,0.0,40,1.0002316236495972,0.00039246347,0.2
-0.0009881750880140316,988,0.0003,3962338615.8,1896130816.0,-352524.79125017003,50000,93.29,0.0,-8.515489191561937,50,0.0,60,1.0002645254135132,0.0008779565,0.2
-0.00040325898980881903,1004,0.0003,4031204009.8,1666177664.0,-299941.76150424004,60000,76.74,0.0,-8.514929295331239,59,0.0,70,1.0001680850982666,0.00038314943,0.2
-0.0005884956663066987,1017,0.0003,4205615639.6,2054917888.0,-327733.22053694003,70000,85.59,0.0,-8.514856342971324,68,-1.1920928955078125e-07,80,1.0002373456954956,0.00041403715,0.2
-0.0005814711940729467,1026,0.0003,3987672416.8,2345826816.0,-310139.62877381995,80000,81.24,0.0,-8.515105730295181,77,0.0,90,1.0002317428588867,0.0004720724,0.2
-0.0005438983824205934,1034,0.0003,3858953869.8,1783144192.0,-309687.63934563,90000,84.98,0.0,-8.514833457767963,87,5.960464477539063e-08,100,1.0001859664916992,0.00047493837,0.2
-0.0007217003255391319,990,0.0003,3948812098.4,1602302464.0,-274473.73524510005,100000,70.78,0.0,-8.511691318452359,100,0.0,120,0.9995270371437073,0.0007010719,0.2
-0.001112685627413157,999,0.0003,3783853849.6,1651438976.0,-254732.40019485,110000,66.92,0.0,-8.508674108237027,110,0.0,130,0.9988352656364441,0.001128921,0.2
-0.0007932346148663783,1007,0.0003,3783539649.0,2119598080.0,-296249.96127430996,120000,85.2,0.0,-8.507132027298212,119,0.0,140,0.9990131855010986,0.0007984386,0.2
-0.0016599041346125887,1013,0.0003,3730825025.6,1853456128.0,-312585.79270140006,130000,80.74,0.000244140625,-8.506421841681004,128,0.0,150,0.998604953289032,0.0018588725,0.2
-0.0006138236616607173,984,0.0003,3900751978.6,2020656384.0,-263042.56457616,140000,67.64,0.0,-8.50263108983636,142,5.960464477539063e-08,170,0.9980425238609314,0.00047271495,0.2
-0.0009239440710189228,990,0.0003,3836579690.4,1790424576.0,-263248.40118793,150000,69.59,0.0,-8.501094552129507,151,1.1920928955078125e-07,180,0.9977815747261047,0.0010213074,0.2
-0.0008008793404769676,996,0.0003,3749920564.2,1877921664.0,-205594.14721629996,160000,53.11,0.0,-8.500743877142668,160,0.0,190,0.9979533553123474,0.0007734758,0.2
-0.0005044045521572116,1001,0.0003,3746109679.6,1837214208.0,-255876.31357878997,170000,70.68,0.0,-8.500748882442712,169,0.0,200,0.997771680355072,0.00047284085,0.2
-0.0008746086032260791,1006,0.0003,3741380302.2,2280560384.0,-270072.80811973,180000,71.97,0.0,-8.499102289229631,178,0.0,210,0.997414767742157,0.0009834992,0.2
-0.00038737652002964753,985,0.0003,3443840199.0,1747483392.0,-277516.02277962,190000,78.67,0.0,-8.491488799452782,192,0.0,230,0.9961140751838684,0.00032496185,0.2
-0.0005889727814064827,990,0.0003,3687430758.0,1829604864.0,-247126.70425962002,200000,63.35,0.0,-8.49021662697196,201,0.0,240,0.996114194393158,0.0005764182,0.2
-0.0005084161748527549,994,0.0003,3839945929.4,2118869376.0,-281921.39551709004,210000,69.52,0.0,-8.489912817627191,211,-1.1920928955078125e-07,250,0.9960267543792725,0.0004885245,0.2
-0.0009327546131316922,998,0.0003,4117376191.8,2157903616.0,-260425.00291525002,220000,72.73,0.0,-8.48906138986349,220,1.1920928955078125e-07,260,0.9958507418632507,0.0007838773,0.2
-0.0008233399597884272,981,0.0003,3425495025.8,1764814592.0,-254385.11151181997,230000,69.25,0.0,-8.486728780716657,234,0.0,280,0.995448648929596,0.00078421657,0.2
-0.000735100856036297,985,0.0003,3659106091.8,1851998080.0,-244570.69850733,240000,66.68,0.0,-8.486662095040083,243,-1.1920928955078125e-07,290,0.9956376552581787,0.00074289547,0.2
-0.0008960838526945736,989,0.0003,3587917089.4,2168583936.0,-267943.79920847004,250000,73.85,0.0,-8.485593415796757,252,-1.1920928955078125e-07,300,0.9950714111328125,0.0008935266,0.2
-0.0004968364459273289,993,0.0003,3490796241.8,1954583680.0,-266655.67931387003,260000,70.06,0.0,-8.484396375715733,261,1.1920928955078125e-07,310,0.9952744841575623,0.00042783128,0.2
-0.000657935281378741,996,0.0003,3811150205.2,1734536192.0,-242419.12316963996,270000,65.35,0.0,-8.48415715172887,270,0.0,320,0.9949471950531006,0.0005152641,0.2
-0.0005554602151278231,982,0.0003,3804712852.8,1983273344.0,-257601.91202796,280000,68.59,0.0,-8.480586939305066,284,0.0,340,0.9945971965789795,0.00046028988,0.2
-0.0007578258178909892,985,0.0003,3447419248.4,2003325824.0,-264277.28351085,290000,76.61,0.0,-8.47970724105835,294,5.960464477539063e-08,350,0.9941695332527161,0.0007809822,0.2
-0.0005282273836201057,989,0.0003,3310161183.4,1827335808.0,-263816.59323524,300000,74.45,0.0,-8.481419821828604,303,5.960464477539063e-08,360,0.9951921105384827,0.00044837303,0.2
-0.0007855643285438419,992,0.0003,3547912177.0,1663792512.0,-269441.43819424,310000,76.03,0.0,-8.484665513038635,312,0.0,370,0.9952254891395569,0.00077249936,0.2
-0.0005202401955102687,980,0.0003,3557927769.6,1383665024.0,-232687.95066195997,320000,64.23,0.0,-8.483425141125917,326,0.0,390,0.9947749972343445,0.0004139804,0.2
-0.0005001687330150161,983,0.0003,3495671435.6,1768864000.0,-259480.5062721,330000,75.11,0.0,-8.481692307442426,335,0.0,400,0.9947025179862976,0.00041274264,0.2
-0.0008647612630738877,985,0.0003,3251350900.2,1700798592.0,-237473.88966638,340000,73.14,0.0,-8.481603254377841,344,0.0,410,0.9947266578674316,0.000979833,0.2
