train/n_updates,train/policy_objective,train/is_line_search_success,time/time_elapsed,train/value_loss,train/kl_divergence_loss,train/std,train/learning_rate,time/fps,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean
1,0.05348037928342819,1.0,8,107212449318.4,0.00507310638204217,0.9994003772735596,0.001,1211,52.84,10000,-3.5762786865234375e-07,-1289053.17332252
2,0.039318110793828964,1.0,16,103742593292.8,0.0036924879532307386,0.9988111257553101,0.001,1225,41.43,20000,-1.1920928955078125e-07,-1022781.39024048
3,0.051529403775930405,1.0,24,99989919808.0,0.0046042450703680515,0.9974756240844727,0.001,1223,31.67,30000,-1.1920928955078125e-07,-783001.5985245901
4,0.059153731912374496,1.0,32,87522643571.2,0.004728293512016535,0.9956044554710388,0.001,1223,22.64,40000,0.0,-572562.63671798
6,0.05892082303762436,1.0,42,76081055040.0,0.005491229239851236,1.0013601779937744,0.001,1182,17.12,50000,-1.1920928955078125e-07,-445592.41759572
7,0.05166575312614441,1.0,50,64376018630.4,0.004574622493237257,0.9998701214790344,0.001,1187,19.47,60000,0.0,-497927.93300886
8,0.054068610072135925,1.0,58,60954133305.6,0.005949603393673897,0.9986740946769714,0.001,1193,12.26,70000,1.7881393432617188e-07,-339425.79109431995
9,0.060475029051303864,1.0,66,56138877696.0,0.00565880723297596,0.9917293787002563,0.001,1197,11.8,80000,-2.384185791015625e-07,-327996.98816086
10,0.059635717421770096,1.0,75,53137630828.8,0.005670699756592512,0.9850114583969116,0.001,1199,11.52,90000,0.0,-321287.67887824995
12,0.06759117543697357,1.0,84,38967496662.4,0.0064609600231051445,0.9774829745292664,0.001,1183,6.96,100000,-1.1920928955078125e-07,-221371.86065908003
13,0.0601942241191864,1.0,92,34980430518.4,0.006836421322077513,0.9667322635650635,0.001,1185,7.59,110000,0.0,-233586.64330434
14,0.04608438163995743,1.0,100,30180239968.0,0.006132347043603659,0.9549371004104614,0.001,1188,7.58,120000,0.0,-232860.48242335004
15,0.06413521617650986,1.0,109,27092960521.6,0.0075799087062478065,0.949646532535553,0.001,1190,7.61,130000,0.0,-235525.47488824997
17,0.05043052136898041,1.0,118,25047768396.8,0.009320903569459915,0.9382323622703552,0.001,1177,7.07,140000,0.0,-224943.76724172995
