train/n_updates,train/policy_objective,train/is_line_search_success,time/time_elapsed,train/value_loss,train/kl_divergence_loss,train/std,train/learning_rate,time/fps,rollout/ep_len_mean,time/total_timesteps,train/explained_variance,rollout/ep_rew_mean
18,0.06935902684926987,1.0,127,27143082556.8,0.007196298334747553,0.9360601902008057,0.001,1179,5.7,150000,-1.1920928955078125e-07,-194273.65620663
19,0.05631374567747116,1.0,135,21252157721.6,0.009158280678093433,0.9316562414169312,0.001,1180,5.9,160000,-1.1920928955078125e-07,-198353.75524530996
20,0.04237385839223862,1.0,143,19784781542.4,0.006692363880574703,0.922601044178009,0.001,1182,5.6,170000,0.0,-191824.72247616
21,0.03128683567047119,1.0,151,18040970166.4,0.007836204953491688,0.9210455417633057,0.001,1184,5.75,180000,0.0,-195116.97280031003
23,0.024963531643152237,1.0,161,18528445051.2,0.00624469481408596,0.9155207872390747,0.001,1174,5.89,190000,-1.1920928955078125e-07,-198222.86286214006
24,0.07202401757240295,1.0,170,18540388404.8,0.008298380300402641,0.9087263941764832,0.001,1175,5.3,200000,0.0,-185824.90867343996
25,0.052227575331926346,1.0,178,17755951211.2,0.009400666691362858,0.9051306247711182,0.001,1176,5.31,210000,0.0,-186143.22014097002
26,0.030286388471722603,1.0,186,17519720284.8,0.00744059681892395,0.9028321504592896,0.001,1178,4.9,220000,2.384185791015625e-07,-177589.87161472003
28,0.043805982917547226,1.0,196,16457808856.0,0.008287157863378525,0.898665189743042,0.001,1170,4.86,230000,0.0,-177244.88144323003
29,0.060198698192834854,1.0,204,16939008006.4,0.009664242155849934,0.9016069769859314,0.001,1171,4.55,240000,5.960464477539063e-08,-170819.08937201
30,0.04633179306983948,1.0,213,15759977609.6,0.00536838173866272,0.8973552584648132,0.001,1172,4.37,250000,0.0,-167163.88436045998
31,0.05394613370299339,1.0,221,16440538252.8,0.008428666740655899,0.8929930925369263,0.001,1174,4.43,260000,-1.1920928955078125e-07,-168211.76366606998
32,0.006667625159025192,1.0,229,15552992075.2,0.009636162780225277,0.89236980676651,0.001,1175,4.52,270000,-2.384185791015625e-07,-169900.83846832
34,0.04528598487377167,1.0,239,15367818190.4,0.004489603452384472,0.8889321088790894,0.001,1168,4.32,280000,0.0,-165772.50670630002
35,0.02795576862990856,1.0,248,15125005688.0,0.009033662267029285,0.8858373165130615,0.001,1169,4.35,290000,0.0,-166543.49548026
36,0.00243245717138052,1.0,256,15063230172.8,0.00570232467725873,0.8852155804634094,0.001,1170,4.33,300000,0.0,-166210.37601632002
37,0.010889370925724506,1.0,264,15186476379.2,0.004804576281458139,0.8842142224311829,0.001,1171,4.34,310000,0.0,-166217.99089940998
39,0.047244101762771606,1.0,274,15455732291.2,0.008521952666342258,0.8757011890411377,0.001,1165,4.18,320000,0.0,-162909.75239915
40,0.0041199736297130585,1.0,282,15020435616.0,0.005162127315998077,0.874217689037323,0.001,1166,4.33,330000,0.0,-165851.62659055003
41,0.011388964019715786,1.0,291,15039397172.8,0.004990869201719761,0.8717535138130188,0.001,1166,4.35,340000,2.980232238769531e-07,-166367.0314782
42,0.05234616994857788,1.0,299,15053863187.2,0.00956331193447113,0.8703285455703735,0.001,1166,4.29,350000,-3.5762786865234375e-07,-165045.4739034
43,0.012930378317832947,1.0,308,14797379289.6,0.0060706050135195255,0.8672407865524292,0.001,1166,4.46,360000,-2.384185791015625e-07,-168584.09130370998
45,0.03420986235141754,1.0,318,14969832800.0,0.00966443121433258,0.8676639795303345,0.001,1160,4.2,370000,-3.5762786865234375e-07,-163148.63394648998
46,0.04642680287361145,1.0,327,14695933288.0,0.005522452294826508,0.867400050163269,0.001,1160,4.1,380000,-1.1920928955078125e-07,-161122.98856995
47,0.004488229285925627,1.0,336,14399112276.8,0.009421578608453274,0.8680121302604675,0.001,1159,4.19,390000,0.0,-162731.11473747998
48,0.043262310326099396,1.0,345,14707129088.0,0.005625485442578793,0.864960253238678,0.001,1159,4.1,400000,-3.5762786865234375e-07,-161075.77431485002
50,0.048272497951984406,1.0,355,14632284568.0,0.009901917539536953,0.8609605431556702,0.001,1153,4.27,410000,0.0,-164433.52752262
51,0.023326756432652473,1.0,364,14574702894.4,0.007440680172294378,0.8580545783042908,0.001,1153,4.08,420000,0.0,-160333.82091122
52,0.040841665118932724,1.0,372,14271928542.4,0.006160772871226072,0.8588834404945374,0.001,1153,4.04,430000,-1.1920928955078125e-07,-159553.73246531
53,0.027140650898218155,1.0,381,14348380225.6,0.008417150937020779,0.8527518510818481,0.001,1152,4.1,440000,-1.1920928955078125e-07,-160779.48067328
54,0.018244236707687378,1.0,390,14276420958.4,0.007006965111941099,0.8513432741165161,0.001,1152,4.08,450000,0.0,-160314.42426944
56,0.01834498718380928,1.0,400,14212975656.0,0.005398498848080635,0.8506214618682861,0.001,1147,4.1,460000,-1.1920928955078125e-07,-160596.35456093
57,0.02676595002412796,1.0,409,14270889612.8,0.005910156760364771,0.849613606929779,0.001,1148,4.1,470000,-3.5762786865234375e-07,-160590.22818148998
58,0.036586612462997437,1.0,418,14288818424.0,0.006216567941009998,0.8468926548957825,0.001,1148,4.1,480000,0.0,-160609.54452429002
59,0.020642684772610664,1.0,426,14110983233.6,0.00667060911655426,0.8483983278274536,0.001,1148,4.11,490000,-1.1920928955078125e-07,-160747.87114555997
61,0.03443947806954384,1.0,436,14086491377.6,0.008268304169178009,0.8368962407112122,0.001,1144,4.06,500000,0.0,-159656.73703983997
62,0.012203089892864227,1.0,445,14151143680.0,0.005816034972667694,0.834558367729187,0.001,1144,4.05,510000,0.0,-159450.69901122
63,0.03642449155449867,1.0,454,14117789569.6,0.007838069461286068,0.8328054547309875,0.001,1144,4.05,520000,0.0,-159425.71155302
64,0.0021712896414101124,1.0,462,14055997630.4,0.009790259413421154,0.8335245847702026,0.001,1144,4.16,530000,2.980232238769531e-07,-161677.34962134002
65,0.008497316390275955,1.0,471,14168563179.2,0.006524830590933561,0.8296529054641724,0.001,1144,4.1,540000,0.0,-160442.94237563998
67,0.03967678174376488,1.0,481,14005527428.8,0.009089180268347263,0.8267421126365662,0.001,1141,4.06,550000,-2.384185791015625e-07,-159567.37886918997
68,0.03568768873810768,1.0,490,13985210537.6,0.006360647268593311,0.8276508450508118,0.001,1141,4.06,560000,-2.384185791015625e-07,-159552.42047407
69,0.016708187758922577,1.0,498,13968120401.6,0.0055585564114153385,0.8269050121307373,0.001,1142,4.05,570000,2.384185791015625e-07,-159333.62149805998
70,0.03440762311220169,1.0,507,13992088548.8,0.009014437906444073,0.8231423497200012,0.001,1142,4.02,580000,-2.384185791015625e-07,-158701.03033013
72,0.007484337780624628,1.0,517,14055865880.0,0.0054609207436442375,0.8212326765060425,0.001,1139,4.06,590000,0.0,-159524.92336706998
73,0.02841160073876381,1.0,526,13963744075.2,0.007675876375287771,0.8157959580421448,0.001,1140,4.01,600000,3.5762786865234375e-07,-158522.55353001
74,0.027609597891569138,1.0,534,13960067739.2,0.009393236599862576,0.8147140741348267,0.001,1141,4.01,610000,-2.384185791015625e-07,-158512.22125126
75,0.03269436955451965,1.0,543,13872183176.0,0.007907566614449024,0.8140962719917297,0.001,1141,4.01,620000,-1.1920928955078125e-07,-158498.20306709
76,0.024904467165470123,1.0,551,13849166352.0,0.0062465728260576725,0.8149803876876831,0.001,1142,4.0,630000,0.0,-158292.70122556
78,0.027015531435608864,1.0,561,13832413595.2,0.008629675954580307,0.8150027394294739,0.001,1139,4.0,640000,4.76837158203125e-07,-158300.46882998
79,0.03518209606409073,1.0,570,13831014614.4,0.009018885903060436,0.8146401047706604,0.001,1140,4.0,650000,-1.1920928955078125e-07,-158310.21343432998
80,0.023348698392510414,1.0,578,13807787507.2,0.007013337686657906,0.812073290348053,0.001,1140,4.05,660000,-1.1920928955078125e-07,-159307.75936512
81,0.02637215331196785,1.0,587,13808827428.8,0.006562455091625452,0.8119786381721497,0.001,1140,4.03,670000,0.0,-158903.90513782998
83,0.014866601675748825,1.0,597,13803685190.4,0.0098798256367445,0.8122057318687439,0.001,1138,4.01,680000,0.0,-158552.45788942
84,0.021462462842464447,1.0,606,14011673481.6,0.005524469073861837,0.8119522333145142,0.001,1138,4.05,690000,-1.1920928955078125e-07,-159383.23776765002
85,0.028991974890232086,1.0,614,13863345086.4,0.006524647120386362,0.8100055456161499,0.001,1138,4.06,700000,-2.384185791015625e-07,-159560.66886674997
86,0.02595951035618782,1.0,623,13838156219.2,0.007774814963340759,0.8112245798110962,0.001,1139,4.03,710000,2.384185791015625e-07,-158989.157711
87,0.04077378287911415,1.0,632,14094332736.0,0.009727721102535725,0.8123844861984253,0.001,1139,4.09,720000,-1.1920928955078125e-07,-160149.16861877
89,0.031180914491415024,1.0,642,13771809142.4,0.007517966441810131,0.8117439150810242,0.001,1136,4.05,730000,-1.1920928955078125e-07,-159341.80157428
90,0.0312785878777504,1.0,651,13930907628.8,0.005548765417188406,0.8116527199745178,0.001,1136,4.05,740000,1.7881393432617188e-07,-159327.63100954
91,0.03293798863887787,1.0,660,13799619814.4,0.008576330728828907,0.8117174506187439,0.001,1136,4.0,750000,0.0,-158346.12225013002
92,0.020990615710616112,1.0,668,13728510816.0,0.007850288413465023,0.8126106858253479,0.001,1136,4.02,760000,-3.5762786865234375e-07,-158774.69145353002
93,0.023792292922735214,1.0,677,13752687769.6,0.0076118516735732555,0.8122658133506775,0.001,1135,4.0,770000,-4.76837158203125e-07,-158405.40638772
95,0.030342048034071922,1.0,687,13852678080.0,0.005686793942004442,0.8094936013221741,0.001,1133,4.03,780000,0.0,-158934.23500329
96,0.02830006368458271,1.0,696,13745281060.8,0.00943662691861391,0.8097964525222778,0.001,1134,4.03,790000,2.980232238769531e-07,-158951.57072721
97,0.021578816697001457,1.0,705,13705455499.2,0.006866253446787596,0.8092506527900696,0.001,1134,4.04,800000,-1.1920928955078125e-07,-159174.68948925
98,0.03807888925075531,1.0,713,14710460590.4,0.00450644688680768,0.8096304535865784,0.001,1134,4.09,810000,0.0,-160158.31480043998
100,0.03733347728848457,1.0,723,13746928896.0,0.008020135574042797,0.8110479116439819,0.001,1132,4.02,820000,2.980232238769531e-07,-158819.15149053003
101,0.033404458314180374,1.0,732,13658202819.2,0.006285903509706259,0.8102651834487915,0.001,1132,4.02,830000,-4.76837158203125e-07,-158812.08304817
102,0.013850835151970387,1.0,741,13629198747.2,0.009867462329566479,0.8087332844734192,0.001,1133,4.03,840000,-4.76837158203125e-07,-159003.85253337998
103,0.03339308500289917,1.0,749,13694889566.4,0.006729593966156244,0.8097589612007141,0.001,1133,4.0,850000,0.0,-158319.36396545998
104,0.02247478812932968,1.0,758,13838710688.0,0.008985706605017185,0.8085805177688599,0.001,1134,4.02,860000,1.7881393432617188e-07,-158739.27357425
106,0.011453402228653431,1.0,768,13730463249.6,0.009247184731066227,0.8071216940879822,0.001,1132,4.26,870000,0.0,-163611.52017595
107,0.04457826912403107,1.0,776,14127262836.8,0.008551939390599728,0.8071759343147278,0.001,1132,4.1,880000,-2.384185791015625e-07,-160392.18274219
108,0.0334172397851944,1.0,785,13743698588.8,0.00694701774045825,0.8064336776733398,0.001,1133,4.06,890000,0.0,-159561.41669886
109,0.002463269978761673,1.0,793,13752954928.0,0.0018812292255461216,0.8060833811759949,0.001,1133,4.19,900000,0.0,-162459.85197716
111,0.029056336730718613,1.0,804,13556816310.4,0.006974109914153814,0.8055858612060547,0.001,1131,4.03,910000,0.0,-158935.34526111
112,0.025207990780472755,1.0,812,13551108392.0,0.007727453950792551,0.8051967620849609,0.001,1132,4.04,920000,1.1920928955078125e-07,-159164.74344063003
113,0.03884897381067276,1.0,821,13617632819.2,0.008329774253070354,0.8047291040420532,0.001,1132,4.05,930000,5.960464477539063e-08,-159328.12188196
114,0.03328043967485428,1.0,829,13537922537.6,0.008868147619068623,0.8046063184738159,0.001,1132,4.06,940000,0.0,-159499.46006042
115,0.003938662353903055,1.0,838,13713592001.6,0.005579478573054075,0.8045841455459595,0.001,1133,4.08,950000,0.0,-159930.9850142
117,0.04337485507130623,1.0,848,13777589884.8,0.008698512800037861,0.8043040037155151,0.001,1131,4.04,960000,0.0,-159089.84958379998
118,0.025158744305372238,1.0,856,13497586451.2,0.006206977646797895,0.804844081401825,0.001,1131,4.01,970000,-4.76837158203125e-07,-158493.18321393998
119,0.015533031895756721,1.0,865,13502040843.2,0.0073965187184512615,0.8031420111656189,0.001,1132,4.04,980000,-2.384185791015625e-07,-159104.60249541997
120,0.011092718690633774,1.0,874,13534549420.8,0.00881294347345829,0.8030873537063599,0.001,1132,4.08,990000,3.5762786865234375e-07,-159879.12962500995
122,0.024568410590291023,1.0,884,13573666504.0,0.0055362265557050705,0.803409218788147,0.001,1130,4.07,1000000,-3.5762786865234375e-07,-159687.68639286997
