rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/delta_std,rollout/return_std,train/step_size,train/iterations,train/learning_rate
671.7777777777778,2051,234,-26573520.468495112,480000,,,,,
649.5714285714286,2050,238,-25643113.214624573,490000,,,,,
509.5,2050,243,-19945626.403987,500000,0.05,19747694.0,1.1393735781239922e-11,10,0.0018
803.8,2050,248,-31901645.0018454,510000,,,,,
753.625,2050,253,-29887022.297170624,520000,,,,,
649.7142857142857,2050,258,-25671259.067945357,530000,,,,,
,2050,263,,540000,0.05,18885532.0,1.1913881339808974e-11,11,0.0018
753.0,2050,268,-29953563.690111,550000,,,,,
717.8571428571429,2051,272,-28541664.278107,560000,,,,,
578.6428571428571,2051,277,-22922662.714571364,570000,,,,,
,2051,282,,580000,0.05,19789060.0,1.136991802791476e-11,12,0.0018
754.25,2052,287,-29670253.47178125,590000,,,,,
629.875,2052,292,-24802276.681927375,600000,,,,,
,2052,297,,610000,0.05,20310718.0,1.1077894677968825e-11,13,0.0018
408.6,2052,302,-16010085.575331595,620000,,,,,
506.1,2052,307,-19938622.521919496,630000,,,,,
544.3076923076923,2052,311,-21481646.48642069,640000,,,,,
,2051,316,,650000,0.05,19809544.0,1.1358161806918066e-11,14,0.0018
669.6666666666666,2052,321,-26608245.903407667,660000,,,,,
834.8333333333334,2052,326,-33005262.658900168,670000,,,,,
702.9,2052,331,-27798854.605321996,680000,,,,,
752.4166666666666,2052,336,-29779979.73924041,690000,,,,,
,2052,341,,700000,0.05,17691532.0,1.271794908969115e-11,15,0.0018
677.6666666666666,2052,345,-26652011.772444334,710000,,,,,
838.8333333333334,2052,350,-33174655.657212336,720000,,,,,
879.125,2052,355,-34829183.2544855,730000,,,,,
774.7692307692307,2052,360,-30693786.480786003,740000,,,,,
,2052,365,,750000,0.05,17627318.0,1.2764278349564062e-11,16,0.0018
780.5,2052,370,-30525538.87382075,760000,,,,,
733.1428571428571,2052,375,-28866750.94305543,770000,,,,,
813.2,2052,380,-32107291.210780393,780000,,,,,
844.3333333333334,2052,384,-33343898.073737327,790000,,,,,
,2052,389,,800000,0.05,15517442.0,1.449981194140415e-11,17,0.0018
409.6,2052,394,-15872279.182430599,810000,,,,,
631.0,2052,399,-24683469.666302003,820000,,,,,
704.8,2052,404,-27694049.286092304,830000,,,,,
718.1428571428571,2052,409,-28317328.76997786,840000,,,,,
507.0,2052,414,-20047245.458825998,850000,0.05,18861224.0,1.1929236244656582e-11,18,0.0018
671.5,2052,418,-26524076.397184163,860000,,,,,
677.5555555555555,2052,423,-26735307.369616225,870000,,,,,
651.7857142857143,2052,428,-25733731.34158436,880000,,,,,
22.0,2052,433,-416771.042082,890000,0.05,18808582.0,1.1962624467398708e-11,19,0.0018
755.5,2052,438,-29940596.31309675,900000,,,,,
719.2857142857143,2052,443,-28527533.04844029,910000,,,,,
803.5,2052,448,-31935709.897646803,920000,,,,,
773.0,2052,453,-30618190.928995308,930000,,,,,
,2052,457,,940000,0.05,17644382.0,1.2751934057309011e-11,20,0.0018
1000.0,2052,462,-39840698.953407,950000,,,,,
1000.0,2053,467,-39786437.286610596,960000,,,,,
674.1666666666666,2053,472,-26653129.71734241,970000,,,,,
,2052,477,,980000,0.05,19705586.0,1.1418082625225257e-11,21,0.0018
1000.0,2052,482,-39652359.279655665,990000,,,,,
1000.0,2053,487,-39757431.6919158,1000000,,,,,
890.6666666666666,2053,491,-35457012.47197856,1010000,,,,,
774.6153846153846,2053,496,-30738181.37076693,1020000,,,,,
