train/n_updates,train/policy_objective,train/kl_divergence_loss,train/std,train/learning_rate,time/total_timesteps,time/time_elapsed,train/explained_variance,train/is_line_search_success,rollout/ep_len_mean,time/fps,train/value_loss,rollout/ep_rew_mean
35,0.03689074516296387,0.008526093326508999,0.7525451183319092,0.001,290000,218,-2.384185791015625e-07,1.0,18.14,1324,4508038132.8,113762.89289168
36,0.045022062957286835,0.009312120266258717,0.7568814754486084,0.001,300000,226,0.0,1.0,17.21,1324,4311020284.4,113984.10222771
37,0.03678265959024429,0.007617028430104256,0.7503892183303833,0.001,310000,234,0.0,1.0,17.22,1324,4677330365.6,115094.27306591
39,0.035506147891283035,0.007963302545249462,0.7392414808273315,0.001,320000,243,0.0,1.0,17.45,1315,4761022884.4,115174.9
40,0.02845153957605362,0.009150420315563679,0.7325958609580994,0.001,330000,250,0.0,1.0,16.82,1316,5136600886.4,117425.83149539001
41,0.02673359401524067,0.009458762593567371,0.7272626757621765,0.001,340000,258,1.1920928955078125e-07,1.0,18.76,1315,5047158763.2,111178.79491135999
42,0.036676112562417984,0.008805068209767342,0.728282630443573,0.001,350000,265,0.0,1.0,16.41,1316,5059621056.0,119558.91166347
43,0.04582589864730835,0.009171603247523308,0.7228824496269226,0.001,360000,273,0.0,1.0,16.2,1316,5244609207.2,119565.17807519
45,0.03325210511684418,0.008622853085398674,0.7072531580924988,0.001,370000,282,1.1920928955078125e-07,1.0,15.51,1309,5321110338.4,123218.44212902
46,0.03411082550883293,0.008952951990067959,0.7040207386016846,0.001,380000,290,1.7881393432617188e-07,1.0,16.35,1309,5518517689.6,123792.5
47,0.03672659397125244,0.009214422665536404,0.6992300152778625,0.001,390000,297,0.0,1.0,15.83,1309,5457655111.2,123108.76318365001
48,0.028639521449804306,0.006629698444157839,0.6968141794204712,0.001,400000,305,0.0,1.0,15.84,1309,5451779343.2,121397.9
