train/policy_objective,train/value_loss,time/fps,train/explained_variance,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/std,train/n_updates,rollout/ep_rew_mean,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed
0.06963401287794113,5174859896.8,1544,2.3245811462402344e-06,57.29,10000,0.001,0.9907724857330322,1,-277740.3023816,0.006205180659890175,1.0,6
0.04607647657394409,3770374419.2,1533,-1.1920928955078125e-07,53.08,20000,0.001,0.9838941097259521,2,-201347.80638229006,0.005106177646666765,1.0,13
0.03956812620162964,3342383085.6,1528,0.0,41.13,30000,0.001,0.9830578565597534,3,-168494.48643280996,0.0043715424835681915,1.0,19
0.045245613902807236,3329833506.0,1524,1.1920928955078125e-07,39.13,40000,0.001,0.9738157987594604,4,-155160.8540781,0.0042333840392529964,1.0,26
0.048443976789712906,2704756224.6,1463,0.0,52.93,50000,0.001,0.9603204727172852,6,-174234.48516195998,0.005049475934356451,1.0,34
0.041939496994018555,2868379462.4,1471,0.0,37.78,60000,0.001,0.9483625888824463,7,-132498.21582096998,0.005151320248842239,1.0,40
0.04828135296702385,2695022282.2,1477,5.960464477539063e-08,47.85,70000,0.001,0.9516867399215698,8,-154951.23935937998,0.005004209000617266,1.0,47
0.04127619415521622,2738295517.8,1480,0.0,46.59,80000,0.001,0.94060218334198,9,-146219.84733808003,0.004646414890885353,1.0,54
0.05356745421886444,2453096325.6,1482,5.960464477539063e-08,42.49,90000,0.001,0.9371613264083862,10,-146178.93481059998,0.005069877486675978,1.0,60
0.04684866964817047,2317823538.4,1455,0.0,43.71,100000,0.001,0.9365170001983643,12,-140764.34618774,0.00461444491520524,1.0,68
0.05356183648109436,2565107066.4,1460,-1.1920928955078125e-07,48.85,110000,0.001,0.9269011616706848,13,-148084.2837457,0.005270414985716343,1.0,75
0.05098221078515053,2359670031.2,1463,0.0,43.7,120000,0.001,0.9217100143432617,14,-126003.57767098,0.004813370294868946,1.0,81
0.05249696224927902,2430262886.8,1466,0.0,43.9,130000,0.001,0.9261423945426941,15,-132126.79597596,0.005305522587150335,1.0,88
0.05259337276220322,2248502113.0,1449,-1.1920928955078125e-07,50.03,140000,0.001,0.9141619801521301,17,-138403.72351989,0.004769184160977602,1.0,96
0.0558895468711853,2100950593.6,1452,0.0,50.99,150000,0.001,0.9132673740386963,18,-129444.42783976,0.004860622808337212,1.0,103
0.05655074119567871,2388593154.0,1455,-1.1920928955078125e-07,46.38,160000,0.001,0.9200597405433655,19,-122740.38169163,0.005549402441829443,1.0,109
0.05020660161972046,2174553059.8,1457,-1.1920928955078125e-07,60.71,170000,0.001,0.9161709547042847,20,-135012.805054,0.005606694612652063,1.0,116
0.056575942784547806,1890025339.4,1459,0.0,56.92,180000,0.001,0.91110759973526,21,-131180.40015978002,0.005588484462350607,1.0,123
0.056099437177181244,1746904559.4,1445,0.0,65.93,190000,0.001,0.9058002829551697,23,-128298.3005489,0.004845013841986656,1.0,131
0.05671281740069389,1680808192.2,1447,-1.1920928955078125e-07,69.66,200000,0.001,0.8996986746788025,24,-111448.38676336,0.005693821236491203,1.0,138
0.056387677788734436,1619838532.2,1449,0.0,75.56,210000,0.001,0.8920000791549683,25,-100634.57938597,0.005518652498722076,1.0,144
0.05950108915567398,1349265875.0,1452,0.0,81.02,220000,0.001,0.8862069249153137,26,-91983.39048858,0.00619890121743083,1.0,151
0.06061072275042534,1221454553.7,1441,-1.1920928955078125e-07,87.95,230000,0.001,0.8835880160331726,28,-67461.60333995,0.006759684067219496,1.0,159
0.05395524576306343,1387761318.8,1443,0.0,81.17,240000,0.001,0.8676192760467529,29,-49671.22110424999,0.006310197990387678,1.0,166
0.05623055621981621,1193258743.2,1444,0.0,81.87,250000,0.001,0.855465829372406,30,-47007.5270289,0.00685363681986928,1.0,173
0.06020902842283249,1258485951.8,1446,0.0,78.45,260000,0.001,0.854114830493927,31,-37766.84303524,0.006465723738074303,1.0,179
0.05801684036850929,1183353855.8,1447,0.0,88.01,270000,0.001,0.8492774963378906,32,-4006.579479629999,0.00796457938849926,1.0,186
0.05662990361452103,1167651120.0,1438,0.014217019081115723,92.55,280000,0.001,0.8374024629592896,34,-24601.292145550004,0.0071763452142477036,1.0,194
0.05769775062799454,976527452.2,1440,0.016027092933654785,99.55,290000,0.001,0.8379995822906494,35,42486.04761918,0.006884777918457985,1.0,201
0.05484585091471672,982781180.0,1442,0.019504964351654053,88.69,300000,0.001,0.839033842086792,36,18523.73375389,0.0072203585878014565,1.0,208
0.0548049658536911,1024714442.5,1443,0.020532548427581787,90.9,310000,0.001,0.8420793414115906,37,52735.52861769001,0.007112456485629082,1.0,214
