time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/return_std,train/delta_std,train/learning_rate,train/iterations,train/step_size
3414,231,505.9,790000,-15023901.635715002,,,,,
3414,234,619.9230769230769,800000,-18470201.970005773,,,,,
3414,237,670.6,810000,-19982462.310194068,,,,,
3414,240,404.4,820000,-12074096.278015401,14249695.0,0.05,0.02,16,1.754423412103634e-10
3414,243,449.22222222222223,830000,-13396927.441561446,,,,,
3415,245,549.3636363636364,840000,-16423111.248390002,,,,,
3412,249,603.4666666666667,850000,-18031300.881897137,,,,,
3412,251,338.6666666666667,860000,-10101343.687874334,14934975.0,0.05,0.02,17,1.6739229447004789e-10
3413,254,669.3333333333334,870000,-20053670.880799666,,,,,
3413,257,752.0,880000,-22507590.601406872,,,,,
3413,260,17.0,890000,-202120.474302,15290750.0,0.05,0.02,18,1.6349753495514818e-10
3413,263,293.2857142857143,900000,-8637038.618470144,,,,,
3413,266,459.90909090909093,910000,-13686009.663926817,,,,,
3413,269,,920000,,15276834.0,0.05,0.02,19,1.6364645749611384e-10
3413,272,431.85714285714283,930000,-12887319.131022573,,,,,
3413,275,503.1,940000,-15008196.6223871,,,,,
3413,278,536.4666666666667,950000,-16006144.066742335,,,,,
3413,281,339.3333333333333,960000,-10044532.128745,15271566.0,0.05,0.02,20,1.6370291233691603e-10
3413,284,574.7142857142857,970000,-17166212.888173573,,,,,
3414,287,669.2222222222222,980000,-20001293.437138334,,,,,
3414,289,694.4615384615385,990000,-20735376.615613382,,,,,
3414,292,7.0,1000000,-95638.347457,14274556.0,0.05,0.02,21,1.7513679395619874e-10
3414,295,751.75,1010000,-22477768.4330665,,,,,
3414,298,834.5,1020000,-24990464.421412166,,,,,
3414,301,619.2307692307693,1030000,-18466422.034877997,,,,,
3414,304,670.0,1040000,-19987913.605031665,,,,,
