train/ent_coef,time/episodes,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/learning_rate
1.977163314819336,1152,251363.8125,3.0,-35.40544509887695,2474,13177.564453125,10000,53,-113228.65198556,187,0.0003
4.624959468841553,4485,160504.09375,3.0,-81.41517639160156,4974,5765.748046875,20000,108,-113224.97183267999,185,0.0003
9.020410537719727,7818,189042.921875,3.0,-89.91289520263672,7474,5329.24072265625,30000,163,-113178.38185605999,183,0.0003
18.13007354736328,11152,189123.59375,3.0,-96.45379638671875,9974,4075.03564453125,40000,218,-113204.17869773,182,0.0003
35.69536209106445,14485,171385.6875,3.0,-88.1345443725586,12474,3298.19091796875,50000,274,-113200.58857115003,182,0.0003
67.66909790039062,17817,182956.125,3.01,-67.81137084960938,14974,6068.3583984375,60000,329,-113382.57032247,181,0.0003
124.1906509399414,20954,142703.140625,3.0,-41.43186569213867,17474,3799.01171875,70000,386,-113220.91222782001,180,0.0003
201.54498291015625,23681,175915.078125,3.01,-17.33942985534668,19974,4458.13525390625,80000,443,-113438.54130576999,180,0.0003
256.3679504394531,26832,183028.8125,4.15,0.801655113697052,22474,3784.628662109375,90000,500,-160043.36269562002,179,0.0003
289.3229064941406,28968,188541.90625,3.06,1.4057203531265259,24974,6141.00244140625,100000,556,-120214.29717662,179,0.0003
313.1075439453125,30176,308179.8125,3.14,0.42356234788894653,27474,11831.8173828125,110000,611,-120138.27150227003,179,0.0003
335.80487060546875,32646,317827.1875,3.05,1.7351984977722168,29974,12219.298828125,120000,667,-117330.13522252001,179,0.0003
363.7083435058594,35715,490272.03125,3.1,-2.5268328189849854,32474,18092.34375,130000,724,-117802.71254304003,179,0.0003
305.0003967285156,38958,438356.9375,3.05,1.045508623123169,34974,10009.83203125,140000,782,-116716.45778565001,179,0.0003
242.24722290039062,41579,429983.625,3.03,3.9693241119384766,37474,7382.63818359375,150000,838,-116378.08309669001,178,0.0003
190.3907928466797,44759,407900.53125,3.04,-2.086134910583496,39974,9844.3671875,160000,895,-115592.26128954999,178,0.0003
166.76104736328125,47892,475012.375,3.04,-2.1764020919799805,42474,6333.00439453125,170000,953,-114794.73866158999,178,0.0003
138.8163299560547,50187,514123.40625,3.0,3.98173451423645,44974,6713.96826171875,180000,1011,-113634.46426223,178,0.0003
