train/policy_gradient_loss,time/fps,train/loss,train/clip_fraction,rollout/ep_rew_mean,time/total_timesteps,train/approx_kl,train/explained_variance,train/value_loss,time/time_elapsed,train/learning_rate,train/clip_range,train/n_updates,rollout/ep_len_mean,train/std,train/entropy_loss
-0.0015817035735381068,1089,1072997504.0,0.0,-553486.6236225476,10000,0.00051303813,1.0132789611816406e-06,1965926617.3,9,0.0003,0.2,10,225.26190476190476,1.0000805854797363,-8.513780906796455
-0.0014433793869102374,1095,1112222720.0,0.0,-569315.8303220493,20000,0.00048999477,0.0,2080023542.7,18,0.0003,0.2,20,231.90123456790124,0.999980628490448,-8.513776651769877
-0.0016169284739589785,1070,845186624.0,0.0,-514538.4386903801,30000,0.0008144189,0.0,1816965477.7,28,0.0003,0.2,30,210.23,0.999514639377594,-8.512176051735878
-0.0010534644760809898,1065,1135694080.0,0.0,-432663.8489392701,40000,0.00042103598,0.0,1983202533.5,37,0.0003,0.2,40,177.6,0.9991869330406189,-8.509801103919745
-0.0017708293503346795,978,871370112.0,1.220703125e-05,-442980.55618024006,50000,0.0012381228,0.0,1818905530.45,51,0.0003,0.2,60,191.23,0.9983674883842468,-8.507286897301674
-0.0012967394968654844,1000,633834240.0,2.44140625e-05,-422226.88993593,60000,0.0011978118,-1.1920928955078125e-07,1527469785.25,59,0.0003,0.2,70,191.78,0.9979791045188904,-8.50261902064085
-0.0020954329962478368,1016,820180352.0,7.32421875e-05,-394223.03394412005,70000,0.0014800755,-1.1920928955078125e-07,1781878595.8,68,0.0003,0.2,80,175.68,0.9976195693016052,-8.500526230037213
-0.0013253359181362612,1029,842384064.0,1.220703125e-05,-364570.25337084004,80000,0.00080691476,1.1920928955078125e-07,1800906898.0,77,0.0003,0.2,90,164.7,0.9975728988647461,-8.49925226420164
-0.001730321733339224,1039,876068608.0,2.44140625e-05,-392544.62173511,90000,0.0011823152,-1.1920928955078125e-07,1493036511.2,86,0.0003,0.2,100,178.72,0.99626225233078,-8.495195929706096
-0.0011616548559686634,998,670255936.0,0.0,-370242.1721639,100000,0.00081679487,0.0,1606004180.0,100,0.0003,0.2,120,168.4,0.9957920908927917,-8.48903108984232
-0.0014693528873976902,1009,715585920.0,1.220703125e-05,-365012.09551362,110000,0.0012184505,-1.1920928955078125e-07,1490795756.05,108,0.0003,0.2,130,171.72,0.9956395030021667,-8.487799962610007
-0.0010044100089544373,1018,998436288.0,0.0,-393122.77400918,120000,0.0004493746,1.1920928955078125e-07,1578961848.4,117,0.0003,0.2,140,187.34,0.9949848055839539,-8.485550091415643
-0.0015722743584774435,1026,644196608.0,1.220703125e-05,-411721.52785838005,130000,0.0013473136,0.0,1523945779.9,126,0.0003,0.2,150,198.3,0.9953449368476868,-8.4845971763134
-0.0012653524601773825,999,920179008.0,0.0,-397568.75242238,140000,0.0010332528,0.0,1395677501.95,140,0.0003,0.2,170,193.17,0.9944772124290466,-8.482652832567691
-0.0008170877174052294,1006,587059712.0,0.0,-327768.20704264,150000,0.00031962866,5.960464477539063e-08,1587313938.3,149,0.0003,0.2,180,153.54,0.9933468699455261,-8.476978308707476
-0.000995178113498696,1013,721662208.0,0.0,-290821.52384170995,160000,0.00066373067,0.0,1528650385.95,157,0.0003,0.2,190,139.75,0.9926660656929016,-8.47142285555601
-0.0012752186114084907,1019,637584000.0,0.00020751953125,-283572.96649311,170000,0.001596529,0.0,1451060102.5,166,0.0003,0.2,200,138.28,0.9926446080207825,-8.46931096315384
