time/time_elapsed,train/policy_gradient_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/entropy_loss,train/loss,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/clip_range,train/value_loss,train/learning_rate
9,-0.006248408398278116,1108,-482370.34007967304,188.5,0.03125,0.0056825597,-8.559880875051022,851257856.0,7.152557373046875e-07,10000,1.0137497186660767,10,0.2,1630857398.65,0.0017
17,-0.006889841969314148,1113,-461576.47577301995,182.3,0.04520263671875,0.0060736127,-8.635375372320414,641844352.0,5.960464477539063e-08,20000,1.0261846780776978,20,0.2,1625151242.9,0.0017
26,-0.003834146019653417,1114,-418573.53154103993,177.06,0.0189453125,0.0038965782,-8.707609602063894,765953920.0,0.0,30000,1.0383433103561401,30,0.2,1290602823.95,0.0017
35,-0.0034863544322433883,1115,-358570.95541014994,160.03,0.0171630859375,0.0042423746,-8.779577952623367,647682880.0,0.0,40000,1.0510472059249878,40,0.2,1268104827.75,0.0017
49,-0.004155456973421678,1014,-322062.03234933,148.34,0.02994384765625,0.005068158,-8.935904314368964,508792736.0,-1.1920928955078125e-07,50000,1.0800738334655762,60,0.2,1178760506.0,0.0017
58,-0.0033078426546126138,1033,-283243.3587549201,130.59,0.01776123046875,0.0041927677,-9.016379676014186,473780352.0,0.0,60000,1.0938029289245605,70,0.2,1177063324.25,0.0017
66,-0.004107478458172409,1047,-310951.53782385,155.87,0.03416748046875,0.004665351,-9.101678318530322,460933376.0,0.0,70000,1.1109696626663208,80,0.2,1041975641.3,0.0017
75,-0.0049379369673260955,1058,-312729.13231380004,159.41,0.0295654296875,0.0054569887,-9.203342808783054,462578112.0,5.960464477539063e-08,80000,1.1304268836975098,90,0.2,1040936267.35,0.0017
84,-0.0038942275749832334,1067,-269481.77902871993,131.29,0.0300048828125,0.005205394,-9.299886173754931,345257632.0,5.960464477539063e-08,90000,1.1479154825210571,100,0.2,1049093855.3,0.0017
97,-0.0026829149745026372,1023,-251608.05301259,123.96,0.02327880859375,0.004975724,-9.468198189884424,677225792.0,0.0,100000,1.18313467502594,120,0.2,1071060442.225,0.0017
106,-0.0031850778355874353,1032,-226975.43426646,115.88,0.03194580078125,0.0050118477,-9.550278875976801,646751296.0,0.0,110000,1.1937150955200195,130,0.2,1097525719.85,0.0017
115,-0.003995283346012002,1040,-256779.91011857,140.26,0.03533935546875,0.0064252894,-9.644950170069933,358845984.0,5.960464477539063e-08,120000,1.2186280488967896,140,0.2,919075136.875,0.0017
124,-0.004278694129061478,1047,-252766.14223239,137.27,0.03504638671875,0.0059196176,-9.751936259865762,515704960.0,0.0,130000,1.237855315208435,150,0.2,960264485.925,0.0017
137,-0.0029789122356305596,1017,-236252.81354197004,133.19,0.03504638671875,0.005610939,-9.964249901473522,515099040.0,0.0,140000,1.2822275161743164,170,0.2,897792738.175,0.0017
146,-0.00345036888429604,1024,-255732.37353069,151.86,0.03173828125,0.0048227627,-10.043848571181297,450033280.0,0.0,150000,1.2979437112808228,180,0.2,847456974.5,0.0017
155,-0.00297012919527333,1030,-252607.68208768003,157.55,0.03182373046875,0.0058041825,-10.127612128853798,383017568.0,5.960464477539063e-08,160000,1.3182481527328491,190,0.2,822013407.525,0.0017
164,-0.0028740501211359515,1036,-205843.33613831,113.59,0.0281982421875,0.00527607,-10.243688751757144,421130912.0,-1.1920928955078125e-07,170000,1.3480600118637085,200,0.2,885362008.225,0.0017
172,-0.002177834551912383,1040,-223739.95611035,121.48,0.0115478515625,0.0032925243,-10.340329607576132,666629248.0,0.0,180000,1.3635197877883911,210,0.2,1027302192.925,0.0017
186,-0.0016520718312676764,1018,-216749.52764620003,136.08,0.0203857421875,0.004338095,-10.552569042891264,208016992.0,0.0,190000,1.4174200296401978,230,0.2,805278674.3,0.0017
195,-0.0014961175967982854,1023,-207559.56438561,118.28,0.01820068359375,0.003930277,-10.65719688013196,589821184.0,0.0,200000,1.4408174753189087,240,0.2,960143869.425,0.0017
204,-0.0036315697090685715,1028,-215521.32733576,131.58,0.030859375,0.0060832575,-10.77622580677271,325617600.0,0.0,210000,1.4714933633804321,250,0.2,767888756.4625,0.0017
213,-0.003140501089001191,1032,-218725.77769130998,127.26,0.0328369140625,0.006498742,-10.898257268220187,569058752.0,0.0,220000,1.5031887292861938,260,0.2,810423028.675,0.0017
226,-0.0031320228126787697,1015,-205405.02095441002,120.92,0.0244384765625,0.0053860196,-11.13018196001649,354568544.0,0.0,230000,1.5616308450698853,280,0.2,837658693.975,0.0017
