rollout/ep_len_mean,time/episodes,time/total_timesteps,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/n_updates,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,rollout/ep_rew_mean
79.41,125,10000,98667.65625,81.26020812988281,0.2640615701675415,2474,4685.3486328125,189,52,0.0064,-1217246.32688652
86.95,222,20000,53005.66796875,49.19720458984375,1.3713128566741943,4974,3731.418701171875,186,107,0.0064,-188927.46639319
65.19,336,30000,34881.29296875,29.0127010345459,0.36686021089553833,7474,3037.469482421875,185,161,0.0064,-100446.39012758998
137.14,344,40000,24052.6953125,21.834871292114258,0.46656763553619385,9974,3012.681640625,184,216,0.0064,-96844.04826675
223.66,356,50000,17909.41015625,13.965386390686035,-2.0655038356781006,12474,1923.6375732421875,184,271,0.0064,-91040.10396477
306.43,367,60000,13719.9326171875,14.076637268066406,-2.160672664642334,14974,1833.2872314453125,183,326,0.0064,-86735.98897637999
