rollout/ep_len_mean,time/total_timesteps,train/is_line_search_success,train/explained_variance,train/learning_rate,rollout/ep_rew_mean,train/policy_objective,time/fps,time/time_elapsed,train/n_updates,train/kl_divergence_loss,train/std,train/value_loss
5.43,210000,1.0,1.7881393432617188e-07,0.0013,-140616.58047671,0.06994133442640305,1301,161,25,0.00643965695053339,0.8520854115486145,12031415744.0
5.23,220000,1.0,0.0,0.0013,-135381.16335159,0.04395579174160957,1300,169,26,0.005791743751615286,0.8517327904701233,11723163598.4
5.35,230000,1.0,2.980232238769531e-07,0.0013,-137156.17879663,0.06849369406700134,1290,178,28,0.005419139284640551,0.8398770093917847,11767981547.2
4.95,240000,1.0,0.0,0.0013,-134589.32955584998,0.05454394966363907,1289,186,29,0.008038441650569439,0.8389261960983276,12306929144.0
5.27,250000,1.0,-2.384185791015625e-07,0.0013,-137433.16104517,0.036176614463329315,1289,193,30,0.006450184155255556,0.8377955555915833,11931221075.2
5.11,260000,1.0,1.7881393432617188e-07,0.0013,-134377.82270588,0.05092950910329819,1289,201,31,0.00569901941344142,0.8365811109542847,12862567286.4
5.01,270000,1.0,0.0,0.0013,-132239.59492773,0.04317385330796242,1289,209,32,0.008981692604720592,0.8337743878364563,12229404094.4
5.1,280000,1.0,-1.1920928955078125e-07,0.0013,-133913.44541870002,0.04890986531972885,1281,218,34,0.006242262199521065,0.8298399448394775,12421040550.4
5.12,290000,1.0,0.0,0.0013,-134978.07906825998,0.05177295207977295,1281,226,35,0.0075997342355549335,0.8284504413604736,14444878352.0
4.94,300000,1.0,1.7881393432617188e-07,0.0013,-134336.05976673,0.0461251474916935,1281,234,36,0.005176581908017397,0.8281906247138977,13277201603.2
4.83,310000,1.0,0.0,0.0013,-131481.60866575,0.0566316656768322,1281,241,37,0.006155743729323149,0.82701176404953,13375962425.6
4.65,320000,1.0,0.0,0.0013,-129270.17633822002,0.0722183808684349,1274,251,39,0.008388656191527843,0.8248118162155151,14974163456.0
5.14,330000,1.0,1.1920928955078125e-07,0.0013,-136586.88043535,0.056224193423986435,1273,259,40,0.00684200506657362,0.8176692724227905,11452400350.4
5.1,340000,1.0,1.1920928955078125e-07,0.0013,-133727.06443632997,0.06535317003726959,1273,266,41,0.007954979315400124,0.8181708455085754,11837988488.0
4.93,350000,1.0,0.0,0.0013,-130987.30907406998,0.06078977882862091,1273,274,42,0.00853433832526207,0.8153279423713684,11202692180.8
5.04,360000,1.0,0.0,0.0013,-132164.52669126,0.058247290551662445,1273,282,43,0.007569372188299894,0.813205361366272,11054213568.0
4.73,370000,1.0,0.0,0.0013,-129346.79783763,0.06096021085977554,1267,291,45,0.008614687249064445,0.8082224726676941,11151694305.6
4.89,380000,1.0,-2.384185791015625e-07,0.0013,-130134.07625638001,0.02736842818558216,1267,299,46,0.00734964432194829,0.8032036423683167,10583343651.2
4.83,390000,1.0,0.0,0.0013,-127754.79738815001,0.034022003412246704,1266,307,47,0.008884673938155174,0.8009268641471863,11011328886.4
4.9,400000,1.0,0.0,0.0013,-128800.819122,0.0648711621761322,1266,315,48,0.00973521638661623,0.7978746891021729,10296852100.8
5.53,410000,1.0,0.0,0.0013,-137307.41578057,0.03519289195537567,1261,324,50,0.006674113683402538,0.7969407439231873,11581024622.4
5.01,420000,1.0,0.0,0.0013,-130946.40858656,0.0513315312564373,1262,332,51,0.008237557485699654,0.7956293225288391,11330186542.4
4.91,430000,1.0,1.7881393432617188e-07,0.0013,-129619.69690353,0.047081172466278076,1261,340,52,0.007934105582535267,0.7937549352645874,11037275616.0
4.61,440000,1.0,0.0,0.0013,-126377.44443168,0.032013777643442154,1261,348,53,0.0062598674558103085,0.7923132181167603,10655694470.4
5.26,450000,1.0,0.0,0.0013,-129941.46614563998,0.01941435970366001,1262,356,54,0.005838991142809391,0.7903393507003784,10109698254.4
5.27,460000,1.0,-1.1920928955078125e-07,0.0013,-130837.54331557002,0.04520076885819435,1257,365,56,0.006697844248265028,0.7895715236663818,10988818723.2
5.31,470000,1.0,5.960464477539063e-08,0.0013,-131053.05302397998,0.0256667397916317,1257,373,57,0.00788634829223156,0.7884305715560913,10776233505.6
5.48,480000,1.0,0.0,0.0013,-133329.34273408,0.039902426302433014,1257,381,58,0.009832826443016529,0.7859527468681335,10305329684.8
5.31,490000,1.0,-1.1920928955078125e-07,0.0013,-130810.90745717,0.16195525228977203,1257,389,59,0.008982637897133827,0.7859298586845398,10354127723.2
5.07,500000,1.0,-1.1920928955078125e-07,0.0013,-130109.01343133999,0.04219227284193039,1254,398,61,0.0073052565567195415,0.7861061692237854,10451897459.2
6.13,510000,1.0,0.0,0.0013,-141823.09297573,0.0450759120285511,1254,406,62,0.00864771194756031,0.7868792414665222,11391700233.6
5.03,520000,1.0,0.0,0.0013,-129183.33887323,0.051772747188806534,1254,414,63,0.006475257687270641,0.7868138551712036,10917617217.6
5.12,530000,1.0,-1.1920928955078125e-07,0.0013,-132996.31290869,0.044721297919750214,1254,422,64,0.006783453281968832,0.7808190584182739,10368223369.6
4.64,540000,1.0,5.960464477539063e-08,0.0013,-125979.69560442,0.03724442049860954,1254,430,65,0.0075059253722429276,0.7788235545158386,10642591169.6
4.82,550000,1.0,0.0,0.0013,-125329.54168207999,0.03464924916625023,1251,439,67,0.007822415791451931,0.7738855481147766,10348461625.6
4.97,560000,1.0,0.0,0.0013,-129254.77214584,0.0390760637819767,1251,447,68,0.007699200883507729,0.7724966406822205,11535681260.8
5.35,570000,1.0,0.0,0.0013,-132182.75474059998,0.048576001077890396,1251,455,69,0.00881891418248415,0.773396909236908,12329155246.4
5.81,580000,1.0,0.0,0.0013,-139000.74628962003,0.05147022753953934,1251,463,70,0.009242256172001362,0.7695684432983398,11075680937.6
4.84,590000,1.0,-1.1920928955078125e-07,0.0013,-127425.07922120001,0.05683541297912598,1248,472,72,0.007728008087724447,0.7684260010719299,11454855752.0
5.08,600000,1.0,-1.1920928955078125e-07,0.0013,-130785.29810182,0.1258990317583084,1248,480,73,0.00828786101192236,0.7689457535743713,10323995702.4
5.21,610000,1.0,5.960464477539063e-08,0.0013,-129334.22213019,0.06963329017162323,1249,488,74,0.007521077059209347,0.7681106328964233,10795047675.2
4.53,620000,1.0,5.960464477539063e-08,0.0013,-124440.57537989001,0.05622619017958641,1249,496,75,0.008799404837191105,0.7675036787986755,10104053379.2
