time/total_timesteps,train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,time/episodes,time/time_elapsed,time/fps,train/n_updates,train/critic_loss,rollout/ep_len_mean,train/learning_rate
10000,96.58358764648438,-256213.10027711,53606.875,-191.75595092773438,434,16,594,2474,172652672.0,10.39,0.0055
20000,141.36146545410156,-136304.84986357,88000.125,14.51467514038086,1961,33,588,4974,54477108.0,5.31,0.0055
30000,111.04280090332031,-127771.41686628,86980.953125,18.12839126586914,3914,51,584,7474,40399640.0,4.74,0.0055
40000,57.61769104003906,-175176.30282064003,99643.109375,12.942268371582031,5475,68,582,9974,59861456.0,10.5,0.0055
50000,35.38148880004883,-159619.96346761,90048.0625,-12.506072044372559,6511,85,582,12474,45632784.0,15.3,0.0055
60000,80.99993133544922,18217.297812009998,28811.8203125,-9.597190856933594,7311,103,581,14974,154028672.0,10.81,0.0055
70000,102.55162048339844,46262.95540122,-5625.4619140625,2.3672540187835693,8392,120,580,17474,188634864.0,8.66,0.0055
80000,110.15128326416016,46747.66674221,-36531.375,3.976547956466675,9593,137,579,19974,66746840.0,8.23,0.0055
90000,80.49169158935547,52960.1,-50414.5625,4.265582084655762,10766,155,579,22474,40670444.0,8.0,0.0055
100000,61.43791961669922,52855.1,-49534.59375,-3.9298899173736572,11858,172,579,24974,34327032.0,8.01,0.0055
110000,147.1313018798828,-153387.63168509,-17312.44140625,19.30396842956543,12751,189,579,27474,167830144.0,15.51,0.0055
120000,83.7982406616211,52452.98790508,-41605.6484375,7.854447841644287,13857,207,579,29974,81106208.0,8.05,0.0055
130000,51.921241760253906,52961.0,-33843.29296875,-3.370486259460449,15029,224,579,32474,31751432.0,8.0,0.0055
140000,52.66732406616211,52966.4,-48408.6171875,3.5118837356567383,16240,241,578,34974,62225496.0,8.0,0.0055
150000,68.44188690185547,45726.44657515,-45666.953125,10.571647644042969,17372,259,578,37474,34942888.0,8.09,0.0055
160000,65.17033386230469,28821.22304782,-31133.23046875,6.59376335144043,18468,276,578,39974,99043168.0,9.59,0.0055
170000,67.61768341064453,50209.68270896,-37062.05859375,0.04313004016876221,19593,293,578,42474,47994232.0,8.25,0.0055
180000,213.72706604003906,-118862.21499005001,-23169.181640625,39.10139465332031,20574,310,578,44974,61363624.0,17.56,0.0055
190000,85.26040649414062,19675.26408386,-32934.9921875,-14.49686050415039,21785,328,579,47474,147785824.0,9.38,0.0055
200000,62.29104995727539,52957.4,-47269.9765625,4.03162956237793,22937,345,579,49974,82297520.0,8.0,0.0055
210000,146.0351104736328,52450.4,-39952.84375,36.820472717285156,23984,362,579,52474,60394036.0,8.05,0.0055
220000,139.62997436523438,52754.6,-27456.28125,23.569698333740234,25035,379,579,54974,32471628.0,8.02,0.0055
230000,58.541954040527344,-55108.40724762,-41257.8046875,-17.96278190612793,26219,397,579,57474,36781756.0,12.43,0.0055
240000,68.83450317382812,10061.50610945,-42983.1875,9.341787338256836,27429,414,579,59974,17080324.0,7.99,0.0055
250000,51.436309814453125,52966.4,-43186.859375,4.955333709716797,28507,431,578,62474,42398748.0,8.0,0.0055
260000,148.68246459960938,-111956.64371177,-44781.8515625,-45.31828308105469,29502,449,578,64974,132885344.0,12.54,0.0055
270000,143.9932861328125,48192.30951326,-27261.41796875,23.976774215698242,30554,466,578,67474,77372000.0,8.4,0.0055
280000,109.4928207397461,-988.3358168099984,-8386.076171875,0.4654207229614258,31681,483,578,69974,136971312.0,10.57,0.0055
290000,65.35917663574219,51748.1,-39259.6015625,-5.000236511230469,32930,500,578,72474,22292516.0,8.06,0.0055
300000,58.68768310546875,52657.8,-41826.375,10.425596237182617,34172,518,579,74974,68372192.0,8.01,0.0055
310000,53.05950927734375,52960.1,-41007.359375,2.0157535076141357,35289,535,579,77474,33955520.0,8.0,0.0055
320000,100.0660629272461,40212.6160838,-30619.8359375,-93.28865814208984,36296,552,579,79974,92403232.0,8.44,0.0055
330000,69.35857391357422,-52856.9858281,-20263.80078125,-1.2228469848632812,37383,569,579,82474,77387736.0,12.04,0.0055
340000,76.7258071899414,52547.3,-28095.10546875,8.842015266418457,38597,586,579,84974,42208420.0,8.04,0.0055
350000,47.613529205322266,52954.7,-44322.4921875,3.863128662109375,39846,604,579,87474,13287549.0,8.0,0.0055
360000,1411.388671875,-353542.7611791499,-267190.5,-30.232816696166992,40865,621,579,89974,1010388096.0,15.4,0.0055
370000,711.4431762695312,17295.82321441,63609.234375,67.01537322998047,41549,638,579,92474,526732096.0,9.77,0.0055
380000,424.8701477050781,-122349.47585090999,77230.984375,48.21479034423828,42171,655,579,94974,1039010432.0,14.96,0.0055
390000,117.96675872802734,46366.15941485,53999.13671875,-17.717056274414062,43363,672,579,97474,202686848.0,8.58,0.0055
400000,118.42948913574219,52336.218228679994,7086.6416015625,-1.2993236780166626,44599,689,579,99974,175233200.0,8.06,0.0055
410000,183.82339477539062,49015.9,3059.8984375,-12.595528602600098,45696,708,578,102474,193694832.0,8.2,0.0055
420000,231.70159912109375,47281.7,-22023.671875,18.235151290893555,46684,727,577,104974,76150376.0,8.56,0.0055
430000,172.25901794433594,49510.7,-21384.3359375,42.150733947753906,47822,745,576,107474,44250852.0,8.34,0.0055
440000,56.002716064453125,52956.5,-37733.0078125,9.826973915100098,48776,764,575,109974,23564316.0,8.0,0.0055
450000,78.78349304199219,52660.4,-21191.814453125,-0.8328151106834412,49992,783,574,112474,83036952.0,8.03,0.0055
460000,37.400115966796875,52957.4,-46972.99609375,5.859842777252197,51105,801,573,114974,42011480.0,8.0,0.0055
470000,191.96018981933594,1280.7324815399995,-78976.8359375,-347.4433898925781,52305,820,572,117474,570446336.0,9.13,0.0055
480000,164.82418823242188,50931.94331567,-33464.984375,23.572551727294922,53215,839,571,119974,17928372.0,8.2,0.0055
490000,211.1971893310547,-15785.630724480003,25875.76953125,17.400815963745117,53764,858,571,122474,247162208.0,10.94,0.0055
500000,132.66104125976562,38064.49438348,-5235.1171875,5.824277400970459,54793,876,570,124974,51664176.0,9.21,0.0055
510000,88.74456024169922,39246.76423611,-16455.41796875,-1.556142807006836,56017,895,569,127474,30672520.0,8.19,0.0055
520000,111.90272521972656,48596.4,-38131.671875,17.79524040222168,57178,914,568,129974,26979788.0,8.41,0.0055
530000,960.00927734375,-41154.05789111,920.674072265625,69.26982879638672,57956,932,568,132474,265485760.0,11.71,0.0055
540000,125.37950134277344,52748.3,-28875.10546875,26.053325653076172,59035,951,567,134974,58324064.0,8.02,0.0055
550000,65.05538940429688,52948.4,-20436.47265625,4.792848110198975,60265,970,566,137474,46714408.0,8.0,0.0055
560000,90.47361755371094,52949.3,-25980.3359375,19.211292266845703,61207,988,566,139974,36149808.0,8.0,0.0055
570000,411.2908020019531,-28674.07759661,19010.275390625,59.71002197265625,62098,1007,565,142474,85745608.0,11.44,0.0055
580000,135.24188232421875,34935.87831298,-9041.9482421875,-2.604832410812378,63163,1026,565,144974,69734504.0,9.4,0.0055
590000,50.11776351928711,52955.6,-32915.42578125,-3.4553613662719727,64412,1044,564,147474,34668224.0,8.0,0.0055
600000,67.03714752197266,52943.0,-40435.58203125,2.63741397857666,65658,1063,564,149974,22044084.0,8.0,0.0055
610000,1025.41015625,-509858.85146192,31383.181640625,29.494766235351562,66610,1081,563,152474,1429260160.0,24.6,0.0055
620000,537.4755859375,-373841.04897692,25555.16015625,56.48100280761719,67328,1100,563,154974,240562816.0,21.23,0.0055
630000,65.04103088378906,52945.7,-17979.28125,6.968311309814453,68530,1119,562,157474,39858320.0,8.0,0.0055
640000,47.227684020996094,52957.4,-21676.4921875,2.8408102989196777,69780,1137,562,159974,12970222.0,8.0,0.0055
650000,112.82782745361328,-61005.5621326,-22007.666015625,-23.237287521362305,70879,1156,561,162474,57988648.0,14.13,0.0055
660000,102.93248748779297,52940.3,-31777.4375,22.519393920898438,71765,1175,561,164974,69631856.0,8.0,0.0055
670000,105.38088989257812,52930.4,-31113.96484375,26.20991325378418,72884,1193,561,167474,81437792.0,8.0,0.0055
680000,43.46001052856445,52955.6,-33941.421875,2.50644850730896,74105,1212,560,169974,36568684.0,8.0,0.0055
690000,58.931678771972656,49000.48656758,-42092.640625,6.8787689208984375,75302,1231,560,172474,20944586.0,8.01,0.0055
700000,726.7298583984375,-149954.40035725,68971.7265625,95.50633239746094,75882,1250,559,174974,177332688.0,14.71,0.0055
710000,66.06993865966797,52950.2,-22182.04296875,12.630508422851562,77115,1268,559,177474,40345008.0,8.0,0.0055
720000,49.793968200683594,52959.2,-29467.583984375,7.112741470336914,78313,1287,559,179974,123160208.0,8.0,0.0055
730000,65.36811828613281,26270.401482209996,-41342.5703125,-10.100902557373047,79510,1306,558,182474,73873320.0,8.18,0.0055
740000,309.4820251464844,9782.608196109999,-13810.248046875,37.69948196411133,80304,1324,558,184974,120389344.0,11.01,0.0055
750000,79.66880798339844,52951.1,-42642.0625,17.561420440673828,81358,1343,558,187474,34043832.0,8.0,0.0055
760000,74.0324478149414,52940.3,-44280.828125,13.800622940063477,82605,1362,557,189974,48885936.0,8.0,0.0055
770000,230.91958618164062,32351.614740009998,-37075.3984375,24.66594696044922,83708,1380,557,192474,50717020.0,9.72,0.0055
780000,723.5828857421875,-221441.65168846,35966.7578125,90.47639465332031,84345,1399,557,194974,212210384.0,16.95,0.0055
790000,80.79867553710938,39954.2,-16770.392578125,-32.85688781738281,85512,1418,557,197474,57530272.0,9.22,0.0055
800000,113.44314575195312,33392.57494628,-25165.828125,16.57549476623535,86709,1436,556,199974,17909510.0,8.41,0.0055
810000,87.50320434570312,17079.644270950004,-25031.20703125,-201.1922149658203,87912,1455,556,202474,76750048.0,9.08,0.0055
820000,619.918701171875,19886.379292529997,8616.607421875,29.52205467224121,88690,1473,556,204974,111487768.0,9.86,0.0055
830000,289.4757995605469,43407.51587301,-7363.203125,5.466054916381836,89571,1492,556,207474,65189496.0,8.62,0.0055
840000,194.34088134765625,42595.90339169,-18416.55859375,35.978492736816406,90609,1511,555,209974,60850380.0,8.96,0.0055
850000,220.79368591308594,51213.72364766,-25937.361328125,10.434051513671875,91703,1529,555,212474,97137232.0,8.17,0.0055
860000,726.6928100585938,-37933.79036536,16833.4375,70.26109313964844,92655,1548,555,214974,338417280.0,12.23,0.0055
870000,40.609378814697266,52936.7,-39544.98046875,-37.665008544921875,93871,1567,555,217474,51462048.0,8.0,0.0055
880000,212.828369140625,40568.63450539,-36320.6015625,-6.744378089904785,95086,1585,554,219974,41431456.0,9.0,0.0055
890000,46.05295181274414,52952.0,-47514.21875,4.826748371124268,96157,1604,554,222474,48737280.0,8.0,0.0055
900000,202.42626953125,22526.0,-44827.8984375,26.278276443481445,97256,1623,554,224974,40276304.0,10.31,0.0055
910000,42.726402282714844,52956.5,-50257.3359375,4.054288864135742,98484,1642,554,227474,12959623.0,8.0,0.0055
920000,347.18701171875,48492.1934456,-44996.890625,80.05596923828125,99505,1660,553,229974,38681688.0,8.42,0.0055
930000,84.08883666992188,-11071.70574937,-35153.1015625,-344.257080078125,100677,1679,553,232474,137208400.0,10.04,0.0055
940000,191.99195861816406,52333.55879919,-36742.7890625,31.04671859741211,101727,1698,553,234974,44756872.0,8.06,0.0055
950000,1260.44091796875,-576327.4567922299,36296.453125,84.26920318603516,102455,1716,553,237474,322634528.0,30.56,0.0055
960000,349.9842834472656,-170716.04447951997,12838.232421875,3.638833999633789,103427,1735,553,239974,130579544.0,19.72,0.0055
970000,638.0489501953125,19086.144110049998,36102.140625,89.42791748046875,104020,1753,553,242474,321531936.0,10.96,0.0055
980000,258.3408508300781,49690.42844869,25640.341796875,58.84452819824219,104853,1772,552,244974,207018080.0,8.31,0.0055
990000,73.14179229736328,52932.2,-26352.5625,11.144160270690918,106109,1791,552,247474,33988704.0,8.0,0.0055
1000000,396.98602294921875,17730.30733765,10714.724609375,-52.24081802368164,107102,1809,552,249974,206117184.0,9.86,0.0055
