rollout/ep_rew_mean,train/learning_rate,time/time_elapsed,time/total_timesteps,train/policy_objective,train/n_updates,train/std,train/value_loss,train/kl_divergence_loss,time/fps,rollout/ep_len_mean,train/is_line_search_success,train/explained_variance
-394860.80166454,0.001,8,10000,0.0685349553823471,1,1.0009137392044067,39685511603.2,0.007060939911752939,1156,21.56,1.0,1.7881393432617188e-06
-278607.88926391996,0.001,16,20000,0.05349628999829292,2,0.9975741505622864,30121608934.4,0.0053238761611282825,1180,14.77,1.0,0.0
-260778.93296207994,0.001,25,30000,0.04851652681827545,3,0.9975916743278503,26943017187.2,0.0037119502667337656,1197,13.88,1.0,0.0
-251512.75044722,0.001,33,40000,0.04820895195007324,4,0.9913432002067566,24338003728.0,0.0037830988876521587,1195,13.51,1.0,-1.1920928955078125e-07
-266732.20836277003,0.001,43,50000,0.053817328065633774,6,0.9808064103126526,22678925910.4,0.005219677928835154,1152,15.0,1.0,0.0
-233536.54852308,0.001,51,60000,0.05577852204442024,7,0.9755919575691223,21412692457.6,0.004307111259549856,1156,12.5,1.0,0.0
-227232.33224653,0.001,60,70000,0.05514711141586304,8,0.9714651107788086,20374281371.2,0.005057820118963718,1163,12.24,1.0,0.0
-196608.07568462004,0.001,68,80000,0.056883927434682846,9,0.9713736176490784,21048812070.4,0.004934036172926426,1165,10.12,1.0,0.0
-202159.33680340005,0.001,77,90000,0.0630340576171875,10,0.9673454165458679,18571629603.2,0.005765144247561693,1167,10.31,1.0,-2.384185791015625e-07
-164879.16636145997,0.001,86,100000,0.06460198014974594,12,0.9562307000160217,17680856369.6,0.005522012244910002,1151,7.73,1.0,0.0
-187421.99908862007,0.001,95,110000,0.06737785041332245,13,0.9489856958389282,16705311161.6,0.00555162550881505,1154,9.28,1.0,-1.1920928955078125e-07
-184727.00400745004,0.001,103,120000,0.07555702328681946,14,0.9497263431549072,22028584256.0,0.0065943775698542595,1156,9.26,1.0,0.0
-160042.2816691,0.001,112,130000,0.09014137834310532,15,0.9426025152206421,15889475748.8,0.006153218913823366,1157,7.22,1.0,-2.384185791015625e-07
-148856.28316674,0.001,122,140000,0.059336062520742416,17,0.9365968108177185,14987492566.4,0.006158319767564535,1145,6.42,1.0,1.1920928955078125e-07
-153114.52038213002,0.001,130,150000,0.0630907192826271,18,0.9323492050170898,13512376902.4,0.0053367591463029385,1147,6.95,1.0,0.0
-156138.40423456,0.001,139,160000,0.06526166200637817,19,0.9251478910446167,13950456081.6,0.0060808490961790085,1147,6.98,1.0,-1.1920928955078125e-07
-142260.02313845002,0.001,148,170000,0.06629392504692078,20,0.9217762351036072,12619734566.4,0.005384461022913456,1148,6.05,1.0,-1.1920928955078125e-07
-141495.82984889,0.001,156,180000,0.0644187405705452,21,0.914091169834137,12726777769.6,0.006495256908237934,1149,5.8,1.0,-1.1920928955078125e-07
-144805.02868579,0.001,166,190000,0.044370606541633606,23,0.8981167078018188,12678603766.4,0.0065539260394871235,1139,6.04,1.0,1.1920928955078125e-07
