train/ent_coef_loss,train/actor_loss,train/n_updates,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,train/ent_coef,eval/mean_ep_length,eval/mean_reward
0.0,0.21174870431423187,3,0.001,-1031.754939,34657.3125,9.0,0,4,240,128,1.0,,
-0.01247945986688137,-3.252729892730713,7,0.001,-1187.6087284999999,55421.546875,11.5,0,8,242,160,0.9980006814002991,,
-0.2480982542037964,1.6558761596679688,54,0.001,-1982.023702307692,30641.65234375,17.23076923076923,1,12,317,536,0.9829543828964233,,
-0.33387866616249084,28.376018524169922,83,0.001,-2256.7398348750003,15512.302734375,20.9375,2,16,329,768,0.9730262160301208,,
-0.49726253747940063,53.47418212890625,113,0.001,-2291.42755875,21561.26171875,22.9,2,20,337,1008,0.9633890986442566,,
-0.4690724015235901,51.146522521972656,134,0.001,-2569.7928450833333,20477.826171875,24.541666666666668,3,24,339,1176,0.9568843245506287,,
0.7829513549804688,-153.9600372314453,255,0.001,-3717.9447368928572,11032.4765625,36.607142857142854,6,28,343,2144,0.944176435470581,,
0.8162472248077393,-69.2524185180664,277,0.001,-3738.02975578125,10150.1181640625,36.5625,6,32,343,2320,0.9511023759841919,,
0.6620860695838928,-71.54324340820312,285,0.001,-3436.3254498055553,11460.08984375,32.72222222222222,6,36,343,2384,0.953187882900238,,
0.7236078977584839,-51.34717559814453,290,0.001,-3403.6126925000003,10897.96484375,32.175,7,40,343,2424,0.9553173780441284,,
0.7433153390884399,-70.82528686523438,294,0.001,-3186.6598842045455,9386.84765625,29.431818181818183,7,44,342,2456,0.9564136862754822,,
0.5511963367462158,-212.96859741210938,311,0.001,-3023.7658655833334,5926.197265625,27.666666666666668,7,48,344,2592,0.963285505771637,,
0.4137578010559082,-184.89779663085938,337,0.001,-3013.4020304230776,8302.6962890625,27.25,8,52,343,2800,0.9736543297767639,,
0.376941055059433,-153.79696655273438,344,0.001,-3509.529419071429,9712.904296875,31.767857142857142,8,56,344,2856,0.9759455323219299,,
0.3692244291305542,-170.95767211914062,349,0.001,-3831.269767966667,10667.0458984375,34.46666666666667,8,60,343,2896,0.9782233834266663,,
0.2839152216911316,-202.78994750976562,356,0.001,-3657.756260140625,12804.2822265625,32.546875,8,64,343,2952,0.9805137515068054,,
0.2827628254890442,-110.56727600097656,361,0.001,-3577.844918632353,7877.9677734375,31.58823529411765,8,68,343,2992,0.9827885627746582,,
0.24617667496204376,-154.83294677734375,365,0.001,-3438.592702638889,7649.6181640625,30.069444444444443,8,72,343,3024,0.9839248061180115,,
0.24368056654930115,-120.14788055419922,370,0.001,-3547.8823798289477,6774.6279296875,31.026315789473685,8,76,343,3064,0.9862141609191895,,
0.21769219636917114,-98.65872955322266,374,0.001,-3422.89723765,10740.521484375,29.6375,9,80,343,3096,0.9873697757720947,,
0.1521887481212616,-136.58934020996094,384,0.001,-3366.8665309285716,7543.6083984375,29.11904761904762,9,84,343,3176,0.9909096360206604,,
0.14478924870491028,-155.07217407226562,389,0.001,-3622.988395159091,5782.2265625,31.181818181818183,9,88,344,3216,0.9933177828788757,,
0.07342696934938431,-90.37358856201172,396,0.001,-3933.341934206522,8309.3359375,34.380434782608695,9,92,344,3272,0.9957467317581177,,
0.030531011521816254,-125.30908966064453,403,0.001,-3816.1995743437496,9114.708984375,33.166666666666664,9,96,344,3328,0.9994110465049744,,
-0.010129459202289581,-103.83512878417969,409,0.001,-3712.5471894300003,11007.6513671875,32.02,9,100,344,3376,1.0018579959869385,,
-0.030315233394503593,-112.99859619140625,413,0.001,-3712.3607616399995,8936.146484375,31.92,9,104,344,3408,1.003082036972046,,
-0.09578155726194382,-166.8592529296875,420,0.001,-3816.2446713599998,14877.4609375,32.59,10,108,343,3464,1.0055447816848755,,
-0.12302039563655853,-153.79385375976562,425,0.001,-3755.633943679999,19843.34765625,31.95,10,112,344,3504,1.008042573928833,,
-0.23493139445781708,-192.0830535888672,450,0.001,-3692.18593782,12635.0947265625,31.11,10,116,344,3704,1.0179052352905273,,
-0.362606406211853,-120.55140686035156,486,0.001,-3830.1223312299994,34310.3671875,32.19,11,120,344,3992,1.0311599969863892,,
-0.4954604506492615,0.3948078155517578,568,0.001,-3875.8187147999997,12756.53515625,33.48,13,124,345,4648,1.057025671005249,,
-0.37505802512168884,76.77216339111328,590,0.001,-3660.6131115099997,9248.9873046875,32.25,13,128,346,4824,1.0622189044952393,,
-0.36716151237487793,-36.165985107421875,608,0.001,-3843.4537381,14006.40625,35.45,14,132,345,4968,1.0661364793777466,,
-0.39777737855911255,5.268624305725098,629,0.001,-3862.0948230999998,10792.560546875,36.48,14,136,345,5136,1.0701754093170166,,
-0.4896083176136017,59.392852783203125,648,0.001,-3791.13779501,12384.490234375,36.38,15,140,346,5288,1.0734844207763672,,
-0.6189936399459839,53.90790939331055,684,0.001,-3797.63822768,13221.9189453125,37.25,16,144,347,5576,1.0803980827331543,,
-0.3184254765510559,69.01200866699219,739,0.001,-3879.2149181800005,10633.2548828125,40.32,17,148,348,6016,1.0912525653839111,,
-0.2686455547809601,182.57162475585938,790,0.001,-4123.618987140001,11289.8115234375,45.91,18,152,348,6424,1.0979045629501343,,
-0.25710177421569824,177.98794555664062,827,0.001,-3966.88716454,11512.3251953125,47.32,19,156,348,6720,1.1017634868621826,,
-0.37426286935806274,220.13424682617188,858,0.001,-3742.0800655999997,10216.78515625,46.08,20,160,348,6968,1.1048024892807007,,
-0.42218226194381714,178.16575622558594,879,0.001,-3828.5739268000007,13703.048828125,48.83,20,164,349,7136,1.1071768999099731,,
-0.33339235186576843,171.08029174804688,897,0.001,-3788.1588229399995,9570.9013671875,50.01,20,168,349,7280,1.1094045639038086,,
-0.2908027768135071,237.33169555664062,949,0.001,-3806.01695667,10912.15625,51.48,22,172,348,7696,1.1160414218902588,,
-0.22287675738334656,232.47698974609375,980,0.001,-3644.8672634399995,23016.912109375,51.74,22,176,348,7944,1.1192045211791992,,
-0.23956742882728577,293.5242919921875,1014,0.001,-3714.8448214399996,11533.3447265625,54.78,23,180,347,8216,1.1222374439239502,,
-0.14494994282722473,275.7570495605469,1032,0.001,-3684.7594907499997,11974.599609375,56.54,24,184,347,8360,1.123619794845581,,
-0.06115425378084183,258.26641845703125,1052,0.001,-3419.5584535999997,6546.5693359375,55.84,24,188,347,8520,1.1248548030853271,,
-0.03240484371781349,244.539306640625,1063,0.001,-3018.51480278,6898.96484375,53.1,24,192,347,8608,1.1253501176834106,,
-0.15149766206741333,258.2330627441406,1086,0.001,-2998.69632845,12067.2919921875,53.94,25,196,347,8792,1.1260855197906494,,
-0.08139538764953613,181.10714721679688,1114,0.001,-2977.8135553900006,5037.85791015625,55.77,25,200,347,9016,1.1271625757217407,,
-0.10243406146764755,217.9595947265625,1133,0.001,-2965.06407791,10216.859375,56.81,26,204,347,9168,1.127697229385376,,
-0.23164527118206024,223.39035034179688,1175,0.001,-2856.010487069999,6185.66650390625,57.23,27,208,348,9504,1.1290132999420166,,
-0.160409078001976,241.80152893066406,1232,0.001,-2902.6516561099997,5086.05078125,59.57,28,212,348,9960,1.1308386325836182,,
-0.1601915955543518,271.4040222167969,1237,0.001,-2902.6516561099997,4279.3603515625,59.57,28,212,347,10000,1.1310362815856934,,
,,,,,,,,,,10000,,817.8,-34870.340045000004
-0.029708772897720337,250.1837615966797,1257,0.001,-2919.10575771,16752.212890625,63.21,35,216,286,10160,1.1316099166870117,,
-0.12703001499176025,231.78265380859375,1282,0.001,-2710.469334379999,5809.20166015625,62.65,36,220,286,10360,1.1324864625930786,,
-0.24365350604057312,301.4618225097656,1373,0.001,-2689.86354351,7529.84912109375,66.29,38,224,286,11088,1.137638807296753,,
