rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_objective,train/explained_variance,train/kl_divergence_loss,train/is_line_search_success,time/time_elapsed,train/std,train/learning_rate,train/n_updates,train/value_loss,time/total_timesteps,time/fps
-299599.67825351,74.87,0.038460873067379,-5.960464477539062e-07,0.0063432916067540646,1.0,5,1.014201283454895,0.0013,1,4465936913.2,10000,1705
-233401.11116839005,62.99,0.026396460831165314,0.0,0.006835386157035828,1.0,11,1.0230445861816406,0.0013,2,3737278297.2,20000,1711
-199877.65552905,56.12,0.0271749310195446,-2.384185791015625e-07,0.006429556757211685,1.0,17,1.0276038646697998,0.0013,3,3582559580.4,30000,1711
-188486.92055508003,54.51,0.018895573914051056,0.0,0.006070273462682962,1.0,23,1.0111135244369507,0.0013,4,3101905340.8,40000,1711
-192082.75367851995,55.37,0.023907428607344627,5.960464477539063e-08,0.00960624124854803,1.0,30,0.9938825964927673,0.0013,6,3068961356.8,50000,1631
-216212.09495380998,73.73,0.030706439167261124,-1.1920928955078125e-07,0.006495480891317129,1.0,36,0.9799802899360657,0.0013,7,2960250950.0,60000,1642
-184197.05404037997,62.56,0.019366590306162834,0.0,0.005002484191209078,1.0,42,0.9608726501464844,0.0013,8,2546952168.8,70000,1652
-179227.60100014,62.07,0.02071651630103588,0.0,0.005916094873100519,1.0,48,0.9586231112480164,0.0013,9,2477291634.2,80000,1659
-181450.48590041004,67.84,0.026050511747598648,0.0,0.0071144080720841885,1.0,54,0.9591059684753418,0.0013,10,2599644314.8,90000,1664
-175438.51050186998,61.91,0.03503212705254555,0.0,0.00791588332504034,1.0,61,0.9477362632751465,0.0013,12,2653642804.2,100000,1630
-168999.92581509,70.63,0.026244474574923515,5.960464477539063e-08,0.0069417147897183895,1.0,67,0.9307407736778259,0.0013,13,2108084275.8,110000,1637
-174803.88132316002,73.68,0.027255844324827194,0.0,0.005637045484036207,1.0,73,0.9256153106689453,0.0013,14,2270373262.6,120000,1643
-163783.3261008,75.06,0.034771859645843506,0.0,0.00849646981805563,1.0,78,0.9200360774993896,0.0013,15,2220537786.8,130000,1647
-178058.09659972,98.93,0.024432705715298653,0.0,0.007083941251039505,1.0,86,0.9083248972892761,0.0013,17,1693270750.2,140000,1626
-183464.83143023003,103.71,0.025961723178625107,0.0,0.005998561624437571,1.0,91,0.8867464065551758,0.0013,18,1679768930.4,150000,1631
-157888.303928,98.37,0.03824584558606148,-1.1920928955078125e-07,0.008491527289152145,1.0,97,0.8777069449424744,0.0013,19,1781714102.0,160000,1637
-176651.24846129,122.09,0.03728780150413513,0.0,0.008314982987940311,1.0,103,0.8718305230140686,0.0013,20,1510157425.9,170000,1641
-198723.02970579002,146.94,0.036240339279174805,-1.1920928955078125e-07,0.00746329128742218,1.0,109,0.8653400540351868,0.0013,21,1273151712.0,180000,1646
-221418.83581825,168.47,0.031620290130376816,0.0,0.007711219135671854,1.0,116,0.866978108882904,0.0013,23,1028088392.2,190000,1631
-244969.94090598,205.19,0.017192475497722626,0.0,0.008926616050302982,1.0,122,0.8620848655700684,0.0013,24,910113035.2,200000,1635
-258237.94137585003,212.04,0.04941302165389061,5.960464477539063e-08,0.009575818665325642,1.0,128,0.8634933829307556,0.0013,25,1193078986.3,210000,1639
-340959.12681781,261.72,0.0283956378698349,0.0,0.0062842839397490025,1.0,133,0.8591411113739014,0.0013,26,1335311834.0,220000,1644
-320945.0685783,264.62,0.03529536724090576,-1.1920928955078125e-07,0.006994212511926889,1.0,140,0.8520100712776184,0.0013,28,702274587.8,230000,1631
-382929.78385567,322.27,0.04965970665216446,0.0,0.009592496789991856,1.0,146,0.8452422618865967,0.0013,29,767377032.3,240000,1636
-360394.13472583995,352.4,0.03881576657295227,0.0,0.006894974038004875,1.0,152,0.8381909728050232,0.0013,30,594101000.25,250000,1639
