time/total_timesteps,train/std,train/explained_variance,train/n_updates,rollout/ep_rew_mean,train/policy_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/value_loss,train/entropy_loss,time/fps
10000,1.017601490020752,0.0,499,-513431.76928459,-689260.125,30.26,0.0007,9,2184075776.0,-21.54517936706543,1084
20000,1.0277899503707886,5.960464477539063e-08,999,-231899.71889026999,-574397.0,27.48,0.0007,18,2338641408.0,-21.684982299804688,1103
30000,1.0296099185943604,-1.1920928955078125e-07,1499,-269038.80050823005,-412918.1875,28.66,0.0007,27,1098821888.0,-21.71772575378418,1110
40000,1.0359044075012207,5.960464477539063e-08,1999,-230660.12504101,-486715.1875,29.23,0.0007,35,859497280.0,-21.812206268310547,1116
50000,1.0435751676559448,0.0,2499,-247857.51156399996,-431275.6875,26.87,0.0007,44,1200090624.0,-21.915163040161133,1119
60000,1.0518079996109009,1.7881393432617188e-07,2999,-191001.45006125004,-187507.453125,24.67,0.0007,53,168892288.0,-22.036849975585938,1121
70000,1.060888409614563,-1.1920928955078125e-07,3499,-205039.88161132002,-739796.4375,25.7,0.0007,62,2332364288.0,-22.171875,1125
80000,1.0672882795333862,0.0,3999,-180093.48218795002,-232267.703125,24.05,0.0007,71,314908128.0,-22.255826950073242,1125
90000,1.0767004489898682,-1.1920928955078125e-07,4499,-157524.29089199996,-474415.0625,20.0,0.0007,79,926643520.0,-22.38552474975586,1128
100000,1.0849770307540894,-1.1920928955078125e-07,4999,-136399.89796375,-605734.375,18.72,0.0007,88,2452205056.0,-22.498823165893555,1127
110000,1.087312936782837,-1.1920928955078125e-07,5499,-191383.33449828,-73979.921875,29.38,0.0007,97,109366912.0,-22.527891159057617,1127
120000,1.0936284065246582,0.0,5999,-161438.02948951002,-317993.84375,23.57,0.0007,106,266133888.0,-22.613157272338867,1128
130000,1.0996958017349243,0.0,6499,-165748.86880593,-214543.40625,22.37,0.0007,115,586958208.0,-22.69601821899414,1127
140000,1.1015797853469849,0.0,6999,-301093.97553244996,-780056.25,27.36,0.0007,124,2455647232.0,-22.712404251098633,1126
150000,1.1080974340438843,0.0,7499,-182777.2115486,-166765.078125,26.09,0.0007,133,178284352.0,-22.801660537719727,1126
160000,1.1174228191375732,-1.1920928955078125e-07,7999,-180407.09751358003,-525919.1875,25.02,0.0007,142,2000896256.0,-22.927526473999023,1123
170000,1.1210500001907349,1.1920928955078125e-07,8499,-237780.2659674,-550223.9375,28.55,0.0007,151,808801728.0,-22.978471755981445,1123
180000,1.1203607320785522,-1.1920928955078125e-07,8999,-132613.94336575,-160292.109375,19.84,0.0007,160,114558384.0,-22.962732315063477,1122
190000,1.1373283863067627,0.0,9499,-173748.95173122003,-302472.3125,23.8,0.0007,169,495779136.0,-23.189512252807617,1120
200000,1.1479066610336304,0.0,9999,-151741.82898274998,-502673.59375,20.49,0.0007,178,2008111104.0,-23.31903076171875,1118
210000,1.161935567855835,0.0,10499,-129401.33587569,-958156.1875,15.95,0.0007,188,3662920448.0,-23.506772994995117,1116
220000,1.1646493673324585,0.0,10999,-172169.33865185,-441187.0625,24.27,0.0007,196,683825536.0,-23.539182662963867,1116
230000,1.178009033203125,1.1920928955078125e-07,11499,-166768.41617959,-525123.8125,24.08,0.0007,205,1961582592.0,-23.69505500793457,1117
240000,1.1940476894378662,0.0,11999,-150679.51436728,-242732.453125,21.26,0.0007,214,598126720.0,-23.89344596862793,1116
250000,1.1921679973602295,-1.1920928955078125e-07,12499,-166174.57292525002,-865528.8125,19.19,0.0007,224,3360921344.0,-23.854158401489258,1115
260000,1.2040666341781616,0.0,12999,-118698.03266977999,-250478.21875,15.1,0.0007,233,621247296.0,-23.994487762451172,1114
270000,1.216107964515686,0.0,13499,-158552.60065592,-326861.5625,23.19,0.0007,242,251685984.0,-24.127090454101562,1114
280000,1.219946265220642,0.0,13999,-205566.3652939,-421927.09375,28.26,0.0007,251,425847104.0,-24.17243766784668,1112
290000,1.226904273033142,0.0,14499,-119192.75998067,-231040.53125,16.78,0.0007,260,247121920.0,-24.251359939575195,1111
300000,1.2351588010787964,0.0,14999,-157342.46614763996,-216843.578125,18.3,0.0007,269,211986112.0,-24.350875854492188,1111
310000,1.2404929399490356,-1.1920928955078125e-07,15499,-180176.20411140003,-329017.65625,25.24,0.0007,281,360400192.0,-24.411243438720703,1102
320000,1.2451039552688599,0.0,15999,-192927.88052094996,-271384.375,27.05,0.0007,292,654555776.0,-24.47120475769043,1094
330000,1.2479994297027588,1.7881393432617188e-07,16499,-159399.01972311002,-21362.0859375,25.84,0.0007,303,13760408.0,-24.506208419799805,1087
340000,1.2546272277832031,0.0,16999,-165354.64360446998,-216896.84375,21.61,0.0007,312,586734208.0,-24.594524383544922,1086
350000,1.2640544176101685,0.0,17499,-181507.1067588,-312299.375,22.28,0.0007,322,1589437184.0,-24.695890426635742,1086
360000,1.2753101587295532,0.0,17999,-165496.34497796002,-599810.1875,21.19,0.0007,331,1969083776.0,-24.824811935424805,1086
370000,1.2844321727752686,0.0,18499,-200851.41116773998,-286492.9375,24.83,0.0007,340,437823040.0,-24.93751335144043,1086
380000,1.2878170013427734,0.0,18999,-171233.17870853,-660063.25,17.69,0.0007,349,1854075136.0,-24.978845596313477,1085
390000,1.2876070737838745,0.0,19499,-140124.56921411998,-1006933.8125,19.46,0.0007,359,2857703936.0,-24.9801082611084,1086
400000,1.2926987409591675,1.1920928955078125e-07,19999,-187529.59585699,-565349.25,23.32,0.0007,368,1203196672.0,-25.05055046081543,1086
410000,1.3123812675476074,-1.1920928955078125e-07,20499,-225702.82901306,-158257.90625,25.15,0.0007,377,219476960.0,-25.274442672729492,1086
420000,1.3281819820404053,0.0,20999,-161610.53492353,-1739190.25,22.23,0.0007,386,7550225408.0,-25.444534301757812,1086
430000,1.3445470333099365,-1.1920928955078125e-07,21499,-182059.40698623002,-821943.125,20.44,0.0007,395,2072118272.0,-25.63492202758789,1086
440000,1.356950283050537,0.0,21999,-151858.02546044003,-894368.875,19.85,0.0007,404,2175220480.0,-25.765857696533203,1087
450000,1.3616026639938354,-1.1920928955078125e-07,22499,-173075.07338027994,-690330.125,21.28,0.0007,413,2035976192.0,-25.81402587890625,1087
460000,1.3693873882293701,0.0,22999,-194649.91916862,-324117.9375,24.77,0.0007,423,531740480.0,-25.907390594482422,1086
470000,1.3741027116775513,0.0,23499,-204771.53487007,-713818.625,24.61,0.0007,432,2106229504.0,-25.965824127197266,1086
480000,1.3851070404052734,0.0,23999,-168612.4405248,-69317.5625,21.12,0.0007,441,529414912.0,-26.07767105102539,1086
490000,1.3932470083236694,0.0,24499,-131302.55179569998,-382374.0625,17.99,0.0007,451,377785664.0,-26.17111587524414,1085
500000,1.4115289449691772,1.1920928955078125e-07,24999,-180102.93080005006,-992011.1875,21.83,0.0007,460,2649868800.0,-26.362323760986328,1085
510000,1.424900770187378,0.0,25499,-151546.38696379997,-289966.15625,20.01,0.0007,469,668607360.0,-26.506954193115234,1085
520000,1.445139765739441,0.0,25999,-199439.71787756003,-570584.5,24.59,0.0007,479,1613703936.0,-26.71951675415039,1085
530000,1.4540387392044067,0.0,26499,-150241.5777328,-822596.0625,20.62,0.0007,489,3333264384.0,-26.813522338867188,1082
540000,1.4595927000045776,0.0,26999,-132225.20958503,-93096.1171875,17.0,0.0007,501,65612948.0,-26.866378784179688,1077
550000,1.4724870920181274,-1.1920928955078125e-07,27499,-163406.11752792998,-388442.40625,23.64,0.0007,512,832656576.0,-27.01456069946289,1073
560000,1.4822322130203247,0.0,27999,-199832.97128648998,-378312.59375,24.21,0.0007,523,1465333504.0,-27.12222671508789,1070
570000,1.5047805309295654,-1.1920928955078125e-07,28499,-129105.41106806003,-612148.1875,16.48,0.0007,532,766213568.0,-27.355899810791016,1070
580000,1.519432783126831,-2.384185791015625e-07,28999,-208100.33191987,-434936.0,26.73,0.0007,541,1480542208.0,-27.479476928710938,1070
590000,1.5141125917434692,0.0,29499,-159122.8326194,-169238.171875,19.67,0.0007,551,565633024.0,-27.434906005859375,1070
600000,1.5176959037780762,-1.1920928955078125e-07,29999,-166474.34653441998,-328088.75,23.28,0.0007,560,360129056.0,-27.470523834228516,1070
610000,1.5157101154327393,0.0,30499,-131063.30476963999,-792514.375,20.1,0.0007,569,2407968256.0,-27.442638397216797,1071
620000,1.527058482170105,0.0,30999,-167229.24589238997,-482887.6875,21.68,0.0007,578,478748416.0,-27.55526351928711,1071
630000,1.5348831415176392,0.0,31499,-157172.4136934,-1067022.875,20.8,0.0007,587,2621670144.0,-27.629398345947266,1071
640000,1.541764497756958,-1.1920928955078125e-07,31999,-166459.18989228,464058.9375,24.41,0.0007,597,2107071232.0,-27.68905258178711,1071
650000,1.561338186264038,0.0,32499,-182536.6221326,-1051148.25,23.73,0.0007,606,3879845376.0,-27.874340057373047,1071
660000,1.581478476524353,0.0,32999,-153124.08942747,-120106.3359375,20.71,0.0007,615,519076768.0,-28.059696197509766,1072
670000,1.589904546737671,0.0,33499,-196988.42235259005,-452577.34375,23.98,0.0007,624,1313358208.0,-28.128368377685547,1072
680000,1.6070969104766846,0.0,33999,-226945.45205442,-861566.8125,22.99,0.0007,633,2839539200.0,-28.294315338134766,1073
690000,1.6214505434036255,1.1920928955078125e-07,34499,-238990.49736400004,-890225.1875,29.04,0.0007,642,2228182528.0,-28.42056655883789,1073
