time/total_timesteps,train/std,train/explained_variance,train/n_updates,rollout/ep_rew_mean,train/policy_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/value_loss,train/entropy_loss,time/fps
700000,1.6343685388565063,0.0,34999,-117284.43305202998,-667812.375,14.02,0.0007,651,2089461504.0,-28.550357818603516,1073
710000,1.6431876420974731,0.0,35499,-195197.1169102,-733965.375,21.04,0.0007,660,1461706240.0,-28.63226318359375,1074
720000,1.6628952026367188,0.0,35999,-148557.82083751,-593748.125,17.6,0.0007,670,553129408.0,-28.806072235107422,1074
730000,1.6782118082046509,0.0,36499,-174073.65607745,-541499.1875,21.97,0.0007,679,1530730496.0,-28.943328857421875,1074
740000,1.6902598142623901,0.0,36999,-139722.41907756,-339022.875,17.0,0.0007,688,989031104.0,-29.044879913330078,1074
750000,1.7008247375488281,-1.1920928955078125e-07,37499,-131233.22362931998,-861136.6875,14.94,0.0007,698,3343381504.0,-29.162914276123047,1074
760000,1.719970941543579,5.960464477539063e-08,37999,-155824.17071310003,-862833.125,18.4,0.0007,707,3070586880.0,-29.325328826904297,1073
770000,1.737669587135315,5.960464477539063e-08,38499,-170438.94407818996,-1000434.875,21.3,0.0007,717,3053102848.0,-29.487422943115234,1073
780000,1.7422881126403809,0.0,38999,-162676.95869901,-202825.359375,21.13,0.0007,726,1009419136.0,-29.503856658935547,1073
790000,1.7560619115829468,0.0,39499,-143139.34478025002,-466396.09375,17.94,0.0007,735,585101184.0,-29.62954330444336,1073
800000,1.7566416263580322,0.0,39999,-239964.74679781002,-190328.578125,23.57,0.0007,745,93239616.0,-29.618295669555664,1073
810000,1.7762362957000732,0.0,40499,-206487.19350219,-281575.125,24.05,0.0007,754,214701200.0,-29.788753509521484,1073
820000,1.7868131399154663,0.0,40999,-256987.22664933003,-207683.90625,28.01,0.0007,763,242653600.0,-29.880245208740234,1073
830000,1.8083735704421997,-2.384185791015625e-07,41499,-141196.48878878,-620969.3125,17.93,0.0007,772,1811474432.0,-30.055553436279297,1074
840000,1.8193533420562744,0.0,41999,-157799.47412062998,-974977.0,18.63,0.0007,781,3639900160.0,-30.14752197265625,1074
850000,1.8326712846755981,-1.1920928955078125e-07,42499,-138894.93290843998,-1517432.75,17.42,0.0007,791,3962141184.0,-30.263065338134766,1074
860000,1.8463116884231567,0.0,42999,-166657.42640062998,-532359.1875,22.87,0.0007,800,908856832.0,-30.377254486083984,1074
870000,1.8513331413269043,1.1920928955078125e-07,43499,-162729.33549279004,-1666149.875,21.09,0.0007,809,5460978688.0,-30.423274993896484,1074
880000,1.8679509162902832,1.1920928955078125e-07,43999,-149668.81500732002,-246057.28125,20.18,0.0007,819,152035712.0,-30.564422607421875,1074
890000,1.8859187364578247,-1.1920928955078125e-07,44499,-163501.18892404,-997823.375,19.96,0.0007,828,3110261504.0,-30.709461212158203,1074
900000,1.9085462093353271,0.0,44999,-156731.9520881,-1535156.25,18.21,0.0007,838,4683478528.0,-30.88125228881836,1073
910000,1.9187873601913452,0.0,45499,-177229.69577336003,-339345.65625,22.0,0.0007,847,243084320.0,-30.961620330810547,1073
920000,1.9430557489395142,0.0,45999,-187324.67625897002,-306513.8125,23.29,0.0007,857,401519552.0,-31.139892578125,1073
930000,1.9523910284042358,0.0,46499,-195368.26056187003,-1479319.25,22.07,0.0007,866,4452912640.0,-31.228687286376953,1073
940000,1.967061996459961,0.0,46999,-195842.4674596,-750753.1875,24.3,0.0007,875,873267584.0,-31.33573341369629,1073
950000,1.9720715284347534,0.0,47499,-175351.02058730004,-649296.875,22.8,0.0007,885,1258626432.0,-31.36868667602539,1073
960000,1.9857922792434692,-1.1920928955078125e-07,47999,-259195.67169674995,-768302.3125,30.02,0.0007,894,1966504960.0,-31.480274200439453,1073
970000,2.020989179611206,0.0,48499,-171679.18526018,-414570.9375,20.62,0.0007,904,344096960.0,-31.75187110900879,1072
980000,2.037074327468872,0.0,48999,-149769.17064266,-2020811.25,20.06,0.0007,913,6466833408.0,-31.862850189208984,1072
990000,2.0563504695892334,-1.1920928955078125e-07,49499,-261894.26675240003,-1370698.375,27.74,0.0007,923,3395875328.0,-32.03177261352539,1072
1000000,2.07214617729187,0.0,49999,-148189.74983627998,-593327.625,17.55,0.0007,932,1034346624.0,-32.138492584228516,1071
