time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/std,train/n_updates,time/total_timesteps,train/value_loss,train/kl_divergence_loss,train/is_line_search_success,time/fps,rollout/ep_rew_mean,train/policy_objective
3,-1.1920928955078125e-07,130.6,0.001,0.9991881251335144,1,10000,2549278041.6,0.006541816983371973,1.0,2777,-383529.42195190676,0.04367457702755928
7,0.0,129.8,0.001,1.0009474754333496,2,20000,1768711725.2,0.005321629345417023,1.0,2798,-297994.64285164,0.029772039502859116
10,0.0,90.11,0.001,0.9992955327033997,3,30000,1701711541.6,0.006419401615858078,1.0,2810,-211044.10577458,0.03283747658133507
14,1.7881393432617188e-07,104.31,0.001,0.9951538443565369,4,40000,1784697210.0,0.004627743270248175,1.0,2814,-220514.77027232,0.028380241245031357
18,0.0,102.63,0.001,0.9929103851318359,6,50000,1458441345.9,0.0060726553201675415,1.0,2675,-200019.57650603994,0.03066295199096203
22,-2.384185791015625e-07,104.02,0.001,0.9909362196922302,7,60000,1633039040.4,0.005220605526119471,1.0,2698,-207450.38283968,0.030897758901119232
25,0.0,110.38,0.001,0.9800340533256531,8,70000,1361217734.7,0.004811882507055998,1.0,2715,-193476.47411677,0.030648179352283478
29,1.1920928955078125e-07,111.43,0.001,0.9672482013702393,9,80000,1356918003.9,0.007954387925565243,1.0,2727,-181665.70750832,0.03474567085504532
33,0.0,134.7,0.001,0.9623754620552063,10,90000,1260846247.9,0.005853990558534861,1.0,2713,-207383.93482237,0.0341133251786232
37,0.0,119.74,0.001,0.9647727012634277,12,100000,1439046325.4,0.0057345242239534855,1.0,2651,-195254.90149225,0.03286273777484894
41,0.0,134.21,0.001,0.9477742314338684,13,110000,1032804007.4,0.005457764957100153,1.0,2664,-187833.86624791997,0.030245058238506317
44,1.1920928955078125e-07,136.67,0.001,0.9345800876617432,14,120000,890285878.7,0.0057665519416332245,1.0,2675,-148010.39518530996,0.03438355773687363
48,0.0,148.7,0.001,0.9171059131622314,15,130000,894584347.25,0.005932547152042389,1.0,2685,-153637.94503866,0.03473939001560211
52,0.0,183.13,0.001,0.8983571529388428,17,140000,591707280.05,0.007769284304231405,1.0,2645,-156541.31300421,0.03292832896113396
56,0.0,213.15,0.001,0.8935853838920593,18,150000,486612532.95,0.007094135973602533,1.0,2655,-161643.89575979003,0.034062549471855164
60,-1.1920928955078125e-07,262.27,0.001,0.8832008838653564,19,160000,522528939.875,0.007688818033784628,1.0,2666,-180819.00095125998,0.03363674879074097
63,0.0,321.31,0.001,0.8770291805267334,20,170000,298699979.7375,0.00731259398162365,1.0,2677,-191915.18386253004,0.03442178666591644
67,5.960464477539063e-08,363.11,0.001,0.8713395595550537,21,180000,232455644.8875,0.007818438112735748,1.0,2685,-169378.33451008002,0.04641932249069214
71,0.0,390.59,0.001,0.8665368556976318,23,190000,292283431.575,0.008088727481663227,1.0,2654,-138690.93557251,0.03445616364479065
75,0.0,413.69,0.001,0.8559682965278625,24,200000,158340475.5375,0.006971033755689859,1.0,2663,-91638.20455113001,0.03346780315041542
78,0.0,412.07,0.001,0.8459165692329407,25,210000,313949559.1,0.007439098786562681,1.0,2672,-71886.57006235,0.0320301353931427
82,5.960464477539063e-08,416.36,0.001,0.8317145705223083,26,220000,126555086.75625,0.008129695430397987,1.0,2679,-48295.44843819001,0.03631323203444481
86,5.960464477539063e-08,471.42,0.001,0.8264195919036865,28,230000,138935140.925,0.009027066640555859,1.0,2654,-64785.60609729,0.05082376301288605
90,0.0,515.14,0.001,0.8139660954475403,29,240000,113841710.146875,0.00607452355325222,1.0,2662,-53315.693668210006,0.03747628629207611
93,0.0,515.41,0.001,0.8187821507453918,30,250000,148256333.94375,0.006942207459360361,1.0,2668,-38139.34223717,0.0288524366915226
97,0.0,553.78,0.001,0.816866934299469,31,260000,164046647.190625,0.009461048059165478,1.0,2673,-21685.30430046,0.03484842926263809
100,0.0,571.24,0.001,0.8045263290405273,32,270000,104251636.515625,0.007504263427108526,1.0,2679,-16843.102349790002,0.02980630472302437
105,-1.1920928955078125e-07,624.63,0.001,0.7943310141563416,34,280000,38364258.5984375,0.007272677030414343,1.0,2659,-17885.49690584,0.02867303602397442
108,0.0,666.5,0.001,0.7867279052734375,35,290000,36920851.9578125,0.006103875581175089,1.0,2665,-23268.43940227,0.019970789551734924
112,1.1920928955078125e-07,683.24,0.001,0.7813849449157715,36,300000,23896367.81484375,0.009175804443657398,1.0,2671,-17282.89259726,0.048734381794929504
115,-2.384185791015625e-07,697.64,0.001,0.7769980430603027,37,310000,89840393.69960937,0.005635613575577736,1.0,2675,-17764.828065040005,0.0251582320779562
120,0.0,753.02,0.001,0.7639723420143127,39,320000,42867439.3546875,0.00816951785236597,1.0,2662,-34749.8858706,0.04775566980242729
123,0.0,801.3,0.001,0.7624685168266296,40,330000,32442269.435253907,0.007871119305491447,1.0,2667,-52050.86633846999,0.03427229821681976
127,5.960464477539063e-08,846.96,0.001,0.7688265442848206,41,340000,27178861.283203125,0.00805686879903078,1.0,2673,-62817.092702040005,0.05063176900148392
130,-1.1920928955078125e-07,852.89,0.001,0.7679836750030518,42,350000,1555216460.3,0.0063918232917785645,1.0,2677,-172937.427832,0.03226613998413086
134,0.0,809.86,0.001,0.7632082104682922,43,360000,170402283.04375,0.009503963403403759,1.0,2681,-165257.88136895,0.052335482090711594
138,1.1920928955078125e-07,727.46,0.001,0.7482774257659912,45,370000,144094058.1375,0.008835908025503159,1.0,2664,-146591.5011272,0.04221215099096298
142,0.0,685.95,0.001,0.746119499206543,46,380000,172505390.615625,0.006978036370128393,1.0,2669,-137871.28590259998,0.0254999790340662
145,0.0,651.05,0.001,0.7463827729225159,47,390000,139344858.9875,0.008935499005019665,1.0,2673,-117839.78518015001,0.035803209990262985
149,0.0,641.06,0.001,0.745265007019043,48,400000,86477080.7109375,0.008142195641994476,1.0,2677,-121332.50622676,0.03234110772609711
153,0.0,628.31,0.001,0.7514671683311462,50,410000,40084968.93710937,0.006712351460009813,1.0,2666,-6181.240759769999,0.028187232092022896
157,0.0,592.3,0.001,0.7470245957374573,51,420000,161681705.43125,0.009124936535954475,1.0,2670,19843.32774387,0.03622421249747276
160,0.0,542.49,0.001,0.7459012866020203,52,430000,207973990.10625,0.008559785783290863,1.0,2674,24110.798932330003,0.03511130064725876
164,0.0,492.73,0.001,0.7385647892951965,53,440000,247665174.6375,0.00853728037327528,1.0,2678,25263.59808805,0.034054338932037354
167,0.0,365.75,0.001,0.7356314063072205,54,450000,266534583.7375,0.008650071918964386,1.0,2680,54892.15192274,0.031065966933965683
172,1.1920928955078125e-07,378.48,0.001,0.7323134541511536,56,460000,157511677.890625,0.007000882178544998,1.0,2668,39963.44876486,0.026282016187906265
175,-1.1920928955078125e-07,364.54,0.001,0.7376824021339417,57,470000,268057297.61875,0.006451243069022894,1.0,2671,57630.03188614001,0.02504550665616989
179,0.0,363.7,0.001,0.7367338538169861,58,480000,237978359.396875,0.006357003469020128,1.0,2674,55240.85935312,0.025266502052545547
183,0.0,284.55,0.001,0.7472546696662903,59,490000,291244724.175,0.007765788584947586,1.0,2676,67592.75771996999,0.03258511796593666
187,5.960464477539063e-08,260.91,0.001,0.7449045777320862,61,500000,399578976.45,0.008836783468723297,1.0,2665,54289.325136789994,0.033165592700242996
191,-1.1920928955078125e-07,248.82,0.001,0.7411230206489563,62,510000,289733255.075,0.008533942513167858,1.0,2668,72388.37698311,0.02204905077815056
194,0.0,301.08,0.001,0.7369323372840881,63,520000,227948948.45625,0.007818621583282948,1.0,2672,57695.65348660001,0.0316823311150074
198,0.0,327.76,0.001,0.7333031296730042,64,530000,197989032.484375,0.00783140491694212,1.0,2675,52823.20236408001,0.03733992949128151
201,0.0,306.09,0.001,0.7328198552131653,65,540000,450387576.075,0.007571406662464142,1.0,2677,61786.78289309001,0.0357927568256855
206,0.0,219.48,0.001,0.7257333397865295,67,550000,495157392.975,0.008850430138409138,1.0,2666,70640.52155174,0.03181269019842148
209,5.960464477539063e-08,201.27,0.001,0.7137963771820068,68,560000,460539143.425,0.007467469200491905,1.0,2669,75753.28362515001,0.030025463551282883
213,1.1920928955078125e-07,225.95,0.001,0.7104197144508362,69,570000,288335450.625,0.00544395437464118,1.0,2671,72411.86302703,0.024593941867351532
216,0.0,284.37,0.001,0.7050742506980896,70,580000,276040283.65,0.008724640123546124,1.0,2674,64451.403067340005,0.0318509079515934
221,0.0,288.68,0.001,0.7092483639717102,72,590000,431456200.2875,0.006287326570600271,1.0,2664,71607.79273032,0.029538750648498535
225,-1.1920928955078125e-07,229.45,0.001,0.7118277549743652,73,600000,369404485.2,0.006436808500438929,1.0,2666,91229.42081782,0.0337633453309536
228,0.0,205.79,0.001,0.7115371823310852,74,610000,506090962.15,0.007184936199337244,1.0,2668,84688.66312372,0.02979457750916481
232,1.1920928955078125e-07,198.79,0.001,0.7093889117240906,75,620000,388429243.6625,0.008104879409074783,1.0,2670,72830.44813999,0.026661967858672142
235,0.0,223.04,0.001,0.6968517899513245,76,630000,372285489.6375,0.00964315328747034,1.0,2672,70840.6292736,0.03355083614587784
240,0.0,239.68,0.001,0.6921258568763733,78,640000,322358655.225,0.009495250880718231,1.0,2663,77254.1415953,0.025216521695256233
243,1.1920928955078125e-07,237.15,0.001,0.695166826248169,79,650000,321684306.575,0.005486545618623495,1.0,2666,86396.40739506,0.018860120326280594
247,0.0,278.92,0.001,0.7011842131614685,80,660000,224413869.8625,0.006571834906935692,1.0,2668,75928.56643322,0.03253665938973427
250,0.0,292.42,0.001,0.7013848423957825,81,670000,294565407.3,0.00943764578551054,1.0,2670,65216.58115504,0.03205380588769913
255,1.1920928955078125e-07,285.74,0.001,0.6945709586143494,83,680000,323953231.575,0.008039992302656174,1.0,2662,68509.26570928,0.029928551986813545
259,-1.1920928955078125e-07,186.76,0.001,0.6983413696289062,84,690000,550695572.75,0.007026514038443565,1.0,2663,97333.73977831,0.026393216103315353
