rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/step_size,train/learning_rate,rollout/return_std,train/delta_std,train/iterations
1000.0,3,3194,10000,-19825895.0,,,,,
1000.0,6,3214,20000,-19740296.949858,,,,,
876.25,9,3235,30000,-17317546.388644747,,,,,
901.0,12,3251,40000,-17800785.3489336,,,,,
923.8461538461538,15,3273,50000,-17463598.915136077,,,,,
934.0,18,3276,60000,-17745089.134261064,,,,,
1000.0,21,3277,70000,-19828141.7193095,4.699306499489353e-10,0.02,5319934.0,0.05,0
1000.0,24,3281,80000,-19816360.85965475,,,,,
1000.0,27,3283,90000,-19762237.157598,,,,,
901.2,30,3285,100000,-17813413.6064144,,,,,
924.0,33,3286,110000,-18248932.021698233,,,,,
934.1333333333333,36,3287,120000,-18466024.756461333,,,,,
669.6666666666666,39,3288,130000,-13128779.22656233,5.078705789252069e-10,0.02,4922513.5,0.05,1
801.8,42,3289,140000,-15810389.535937399,,,,,
876.125,45,3291,150000,-17312744.709960874,,,,,
900.9,48,3292,160000,-17794176.1445761,,,,,
923.7692307692307,51,3293,170000,-18272324.99020054,,,,,
933.9333333333333,54,3294,180000,-18480998.4145136,,,,,
1000.0,57,3295,190000,-19793391.772705,5.075922460129334e-10,0.02,4925213.0,0.05,2
1000.0,60,3296,200000,-19778036.69788725,,,,,
1000.0,63,3294,210000,-19796619.541649856,,,,,
1000.0,66,3295,220000,-19809790.342532225,,,,,
924.2307692307693,69,3295,230000,-18302339.138480462,,,,,
934.3333333333334,72,3296,240000,-18509599.2338138,,,,,
340.3333333333333,75,3296,250000,-6643390.061171,5.0667686712913e-10,0.02,4934111.0,0.05,3
505.25,78,3296,260000,-9905235.04587825,,,,,
640.1818181818181,81,3296,270000,-12553631.842325272,,,,,
695.5384615384615,84,3297,280000,-13681727.712736769,,,,,
,87,3297,290000,,2.8420624187397436e-10,0.02,8796429.0,0.05,4
1000.0,90,3297,300000,-19893300.0,,,,,
1000.0,93,3298,310000,-19932860.0,,,,,
704.7,97,3297,320000,-13960381.682111502,,,,,
772.8461538461538,100,3297,330000,-15225616.473826617,,,,,
803.1333333333333,103,3297,340000,-15845900.349335201,,,,,
1000.0,106,3297,350000,-19521993.6287455,3.152721972377037e-10,0.02,7929655.5,0.05,5
805.0,109,3297,360000,-15771710.9298166,,,,,
704.2,112,3297,370000,-13875486.358099898,,,,,
753.5,115,3296,380000,-14841210.842208749,,,,,
,118,3296,390000,,2.844672275514881e-10,0.02,8788358.0,0.05,6
1000.0,121,3296,400000,-19847242.340352498,,,,,
835.3333333333334,124,3295,410000,-16593908.268978665,,,,,
876.5,127,3295,420000,-17401472.014266748,,,,,
771.3846153846154,130,3296,430000,-15312202.656585459,,,,,
801.8666666666667,133,3296,440000,-15913898.702053266,,,,,
1000.0,136,3296,450000,-19598938.783057,3.136944037862577e-10,0.02,7969539.0,0.05,7
1000.0,139,3296,460000,-19745976.15119125,,,,,
1000.0,142,3296,470000,-19779962.682872426,,,,,
901.0,145,3296,480000,-17811205.992579702,,,,,
923.8461538461538,148,3297,490000,-18307729.23158977,,,,,
934.0,151,3297,500000,-18504307.871668532,,,,,
1000.0,154,3297,510000,-19833806.182084,5.066522201779833e-10,0.02,4934351.0,0.05,8
1000.0,157,3298,520000,-19860271.2898985,,,,,
1000.0,160,3297,530000,-19858264.397032,,,,,
1000.0,163,3298,540000,-19797337.978957336,,,,,
923.6923076923077,166,3298,550000,-18295038.99507931,,,,,
933.8666666666667,169,3298,560000,-18508362.96495427,,,,,
