train/kl_divergence_loss,rollout/ep_rew_mean,time/fps,train/explained_variance,train/is_line_search_success,train/learning_rate,time/time_elapsed,train/std,time/total_timesteps,train/n_updates,train/policy_objective,train/value_loss,rollout/ep_len_mean
0.00519073149189353,-299851.60372619,1165,0.0,1.0,0.001,8,1.0018879175186157,10000,1,0.07466975599527359,7072530281.6,53.07
0.0043150498531758785,-299384.50348227,1184,0.0,1.0,0.001,16,0.9948465824127197,20000,2,0.05939580127596855,6241125618.4,58.18
0.004046885762363672,-234304.91236321002,1186,0.0,1.0,0.001,25,0.9904927611351013,30000,3,0.06573362648487091,5611703978.4,48.01
0.004058534745126963,-192282.55413553002,1185,0.0,1.0,0.001,33,0.9790390133857727,40000,4,0.061775725334882736,5044028476.0,37.95
0.0042308634147048,-184036.08647213998,1149,1.1920928955078125e-07,1.0,0.001,43,0.9650493264198303,50000,6,0.05686461552977562,4396495232.0,40.09
0.004091751761734486,-180348.28827944,1156,0.0,1.0,0.001,51,0.9623587727546692,60000,7,0.06761741638183594,4223168157.6,43.86
0.004480896983295679,-182059.27450045,1162,2.384185791015625e-07,1.0,0.001,60,0.9624059200286865,70000,8,0.060111138969659805,3930722405.2,44.14
0.004588366486132145,-164909.85605278998,1167,0.0,1.0,0.001,68,0.9582087397575378,80000,9,0.06794386357069016,3930755047.6,42.16
0.004624431952834129,-165710.44151387998,1169,1.1920928955078125e-07,1.0,0.001,76,0.9549245834350586,90000,10,0.0671687126159668,3854989516.4,41.06
0.0044471463188529015,-151067.54458116004,1155,0.0,1.0,0.001,86,0.9558354020118713,100000,12,0.06500253081321716,3413821234.8,40.23
0.005167015362530947,-147448.02580813,1158,1.1920928955078125e-07,1.0,0.001,94,0.9550418257713318,110000,13,0.07259976118803024,3534823716.0,40.75
0.004694206640124321,-139667.05530490002,1162,-1.1920928955078125e-07,1.0,0.001,103,0.949977695941925,120000,14,0.06778564304113388,3385982850.4,36.54
0.005021157208830118,-164820.17172052,1163,0.0,1.0,0.001,111,0.939153790473938,130000,15,0.07397859543561935,3253848906.4,46.18
0.005525865126401186,-148795.09266917,1153,-1.1920928955078125e-07,1.0,0.001,121,0.9364410042762756,140000,17,0.0694621205329895,3317700416.4,41.81
0.0049299621023237705,-157087.59899919,1156,1.1920928955078125e-07,1.0,0.001,129,0.9403204321861267,150000,18,0.07036543637514114,2897539545.6,45.43
0.005429970100522041,-150130.58023330997,1159,0.0,1.0,0.001,137,0.9275509119033813,160000,19,0.07687757909297943,3264657603.2,45.19
0.006238772999495268,-141094.05026199,1162,0.0,1.0,0.001,146,0.9246248602867126,170000,20,0.07535433769226074,3003372661.6,44.33
0.005420084111392498,-128242.03377491998,1165,0.0,1.0,0.001,154,0.9222686290740967,180000,21,0.07471995055675507,2802233415.2,38.73
0.006160414312034845,-157012.19949067,1158,-1.1920928955078125e-07,1.0,0.001,164,0.916111409664154,190000,23,0.07626280188560486,2994379835.0,48.93
0.006206315476447344,-145583.19378000998,1161,0.0,1.0,0.001,172,0.9181921482086182,200000,24,0.07458718121051788,2664346571.2,50.37
0.006611362099647522,-139040.94162699996,1163,1.1920928955078125e-07,1.0,0.001,180,0.910873293876648,210000,25,0.07329900562763214,2698641926.4,46.52
0.005859715864062309,-158454.08205750003,1165,-1.1920928955078125e-07,1.0,0.001,188,0.9133262038230896,220000,26,0.07758811861276627,2657511816.8,54.56
0.005754951853305101,-128536.12632625998,1159,0.0,1.0,0.001,198,0.8994105458259583,230000,28,0.06966794282197952,2668245319.0,44.09
0.006935859099030495,-130431.38512969002,1161,5.960464477539063e-08,1.0,0.001,206,0.8986908793449402,240000,29,0.07978668063879013,2622069252.8,44.95
0.006255398970097303,-148807.37177331,1162,1.7881393432617188e-07,1.0,0.001,214,0.8911901712417603,250000,30,0.0697467252612114,2518339592.2,55.07
0.0065111578442156315,-136647.46211883996,1164,-1.1920928955078125e-07,1.0,0.001,223,0.8895391821861267,260000,31,0.07472562789916992,2477437972.0,51.29
0.0068434132263064384,-165989.99098981998,1166,0.0,1.0,0.001,231,0.882254421710968,270000,32,0.08296259492635727,2486986051.2,60.94
0.007215984631329775,-138460.40505454998,1161,-1.1920928955078125e-07,1.0,0.001,241,0.8738515377044678,280000,34,0.07841359823942184,2486444008.8,50.8
0.006817164830863476,-140645.5103528,1163,0.0,1.0,0.001,249,0.8703281879425049,290000,35,0.07468560338020325,2245058280.4,55.95
