rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/step_size,train/iterations,train/delta_std,rollout/return_std,train/learning_rate
,5358,,110,590000,1.7629740722835407e-10,10,0.05,14180582.0,0.02
756.0,5358,-22519584.184157,111,600000,,,,,
720.7142857142857,5360,-21510045.160241425,113,610000,,,,,
804.5,5362,-24029946.6047301,115,620000,,,,,
837.0833333333334,5361,-25004240.9556645,117,630000,,,,,
869.6666666666666,5363,-25970743.067214403,119,640000,,,,,
1000.0,5365,-30036943.240044,121,650000,2.4764654216191673e-10,11,0.05,10095032.0,0.02
577.0,5367,-17227279.870707143,122,660000,,,,,
605.4,5369,-18070946.2021614,124,670000,,,,,
696.4615384615385,5371,-20787017.54166323,126,680000,,,,,
,5372,,128,690000,1.7570403465505535e-10,12,0.05,14228472.0,0.02
437.2857142857143,5374,-12927428.631161286,130,700000,,,,,
507.6,5375,-15049807.1890589,132,710000,,,,,
577.7142857142857,5377,-17182435.974021215,133,720000,,,,,
,5378,,135,730000,1.6820417281238065e-10,13,0.05,14862889.0,0.02
752.0,5380,-22371266.46458825,137,740000,,,,,
834.6666666666666,5382,-24894113.352862503,139,750000,,,,,
889.7777777777778,5383,-26564029.601731334,141,760000,,,,,
909.8181818181819,5372,-27195390.403525725,143,770000,,,,,
868.3333333333334,5374,-25921715.39355987,145,780000,,,,,
1000.0,5376,-29488153.995095,146,790000,2.4588595048946615e-10,14,0.05,10167315.0,0.02
672.3333333333334,5377,-19840421.35639767,148,800000,,,,,
672.1111111111111,5379,-19846075.231907442,150,810000,,,,,
754.0833333333334,5380,-22349548.94359733,152,820000,,,,,
789.2142857142857,5381,-23442900.89253014,154,830000,,,,,
341.3333333333333,5383,-10127856.162989667,156,840000,2.0901974595588513e-10,15,0.05,11960592.0,0.02
604.8,5384,-18055708.1611032,157,850000,,,,,
753.0,5385,-22382756.040030375,159,860000,,,,,
802.4,5387,-23886754.9331355,161,870000,,,,,
736.2666666666667,5388,-21911473.04584533,163,880000,,,,,
1000.0,5389,-29842813.326837,165,890000,1.8802134849060792e-10,16,0.05,13296362.0,0.02
1000.0,5390,-29854518.97113925,166,900000,,,,,
1000.0,5367,-29868947.6825225,169,910000,,,,,
1000.0,5368,-29886565.98912789,171,920000,,,,,
1000.0,5369,-29895516.860986546,173,930000,,,,,
934.2,5371,-27900383.593851198,175,940000,,,,,
348.6666666666667,5372,-10197279.095049666,176,950000,3.3654959374906923e-10,17,0.05,7428326.0,0.02
580.7142857142857,5373,-17195830.228610285,178,960000,,,,,
552.6363636363636,5375,-16395093.53361482,180,970000,,,,,
541.4666666666667,5376,-16063215.93702467,182,980000,,,,,
1000.0,5377,-29985361.5249345,184,990000,1.6418193193867836e-10,18,0.05,15227011.0,0.02
1000.0,5378,-29846466.35238425,185,1000000,,,,,
780.5555555555555,5379,-23295285.055946223,187,1010000,,,,,
820.4545454545455,5371,-24498264.600912455,189,1020000,,,,,
