rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/step_size,train/iterations,train/delta_std,rollout/return_std,train/learning_rate
1000.0,5506,-29823685.532896,1,10000,,,,,
1000.0,5491,-29715496.48615875,3,20000,,,,,
1000.0,5493,-29763904.954059146,5,30000,,,,,
1000.0,5488,-29785473.587354,7,40000,,,,,
1000.0,5488,-29778196.59445642,9,50000,,,,,
1000.0,4999,-29769360.739658505,12,60000,,,,,
1000.0,5018,-29761399.374796,13,70000,1.5859088264846832e-08,0,0.05,157638.3125,0.02
1000.0,5072,-29689558.980550665,15,80000,,,,,
1000.0,5114,-29701216.258003,17,90000,,,,,
890.5555555555555,5148,-26483305.07125711,19,100000,,,,,
848.3076923076923,5175,-25212424.616816305,21,110000,,,,,
868.5333333333333,5198,-25829991.33457413,23,120000,,,,,
1000.0,5219,-29811627.3279625,24,130000,2.4727822567349733e-10,1,0.05,10110069.0,0.02
1000.0,5235,-29838605.999280997,26,140000,,,,,
1000.0,5260,-29743986.025374565,28,150000,,,,,
1000.0,5273,-29765834.652891442,30,160000,,,,,
1000.0,5285,-29803508.396587167,32,170000,,,,,
934.0666666666667,5295,-27816981.938624132,33,180000,,,,,
1000.0,5305,-29818205.585600503,35,190000,3.369041434719833e-10,2,0.05,7420508.0,0.02
1000.0,5313,-29788840.9514995,37,200000,,,,,
1000.0,5321,-29791463.222681142,39,210000,,,,,
762.9166666666666,5329,-22542285.467865672,41,220000,,,,,
810.3333333333334,5337,-23958024.837137002,43,230000,,,,,
348.3333333333333,5343,-10142737.215732334,44,240000,2.1468099520305373e-10,3,0.05,11645185.0,0.02
674.1666666666666,5348,-20048040.603281,46,250000,,,,,
755.625,5353,-22432014.813525125,48,260000,,,,,
822.2727272727273,5359,-24462890.908160817,50,270000,,,,,
849.6153846153846,5367,-25275960.820068695,52,280000,,,,,
,5370,,53,290000,2.47912329554012e-10,4,0.05,10084210.0,0.02
1000.0,5374,-29599968.7795325,55,300000,,,,,
1000.0,5378,-29700864.6522142,57,310000,,,,,
1000.0,5382,-29713721.560978286,59,320000,,,,,
910.1818181818181,5385,-27063391.333299182,61,330000,,,,,
858.7142857142857,5388,-25530201.586101927,63,340000,,,,,
339.3333333333333,5391,-10058347.202603,64,350000,2.4676985455052147e-10,5,0.05,10130897.0,0.02
603.6,5316,-17967601.601887,67,360000,,,,,
752.25,5321,-22328708.18496325,69,370000,,,,,
801.8,5325,-23833744.4025234,71,380000,,,,,
787.8571428571429,5329,-23432683.75595678,73,390000,,,,,
,5333,,74,400000,2.0959926849695165e-10,6,0.05,11927522.0,0.02
752.5,5337,-22465573.485212,76,410000,,,,,
717.7142857142857,5315,-21384727.878970858,79,420000,,,,,
544.7333333333333,5319,-16087394.731913466,80,430000,,,,,
342.6666666666667,5322,-10073925.027858,82,440000,1.6517165413176826e-10,7,0.05,15135768.0,0.02
671.3333333333334,5326,-19898099.3623865,84,450000,,,,,
604.8,5330,-17786460.6992497,86,460000,,,,,
670.6666666666666,5333,-19797299.75140967,88,470000,,,,,
736.5333333333333,5339,-21790484.467753734,89,480000,,,,,
1000.0,5341,-29875827.017508,91,490000,1.8932877487998212e-10,8,0.05,13204543.0,0.02
1000.0,5344,-29769645.0431505,93,500000,,,,,
1000.0,5340,-29803640.203701332,95,510000,,,,,
1000.0,5342,-29758819.374798555,97,520000,,,,,
1000.0,5345,-29793903.47568882,99,530000,,,,,
933.8,5348,-27850969.41009613,100,540000,,,,,
342.0,5350,-10118278.206806667,102,550000,3.3620223272023964e-10,9,0.05,7436000.0,0.02
577.7142857142857,5352,-17070116.17968243,104,560000,,,,,
671.5555555555555,5354,-19907904.82106678,106,570000,,,,,
696.4615384615385,5356,-20668465.981154386,108,580000,,,,,
