train/critic_loss,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/ent_coef,train/actor_loss,time/fps,train/ent_coef_loss
5522.79931640625,0.0003,2077,-108805.40133520003,124974,49.44,500000,3241,105.93761444091797,449419.4375,154,-4.8534255027771
4649.1572265625,0.0003,2295,-110273.40674978003,127474,48.3,510000,3307,106.71113586425781,406012.9375,154,6.1003546714782715
5022.77392578125,0.0003,2515,-104416.91117511,129974,44.13,520000,3373,104.6422119140625,404538.96875,154,-0.8248538970947266
5405.1298828125,0.0003,2692,-106023.81396626002,132474,61.26,530000,3439,103.69384765625,389436.5,154,-2.551502227783203
4659.37890625,0.0003,2833,-104870.22160773998,134974,75.62,540000,3505,102.36221313476562,355116.8125,154,-4.78830099105835
5532.28759765625,0.0003,2933,-109642.71227559002,137474,101.8,550000,3570,100.05567169189453,333060.1875,154,-0.8316920399665833
3830.02685546875,0.0003,3011,-114772.47008705,139974,111.41,560000,3636,97.26435852050781,279088.40625,153,1.9537767171859741
3919.5,0.0003,3024,-121343.87090231,142474,194.48,570000,3701,93.91922760009766,266864.125,153,4.607987880706787
4575.3974609375,0.0003,3040,-123544.42686008001,144974,279.3,580000,3766,91.38993072509766,255591.40625,153,-0.7409432530403137
3868.719970703125,0.0003,3073,-133944.47719642002,147474,355.67,590000,3832,87.31018829345703,247956.71875,153,-0.842350959777832
3757.522216796875,0.0003,3089,-145349.17073403,149974,421.35,600000,3898,83.60745239257812,230576.203125,153,2.3498950004577637
3634.141845703125,0.0003,3145,-142745.17675725,152474,281.23,610000,3964,80.45443725585938,222770.953125,153,-2.031756639480591
3586.578369140625,0.0003,3197,-129165.32399730998,154974,173.64,620000,4029,80.28374481201172,196160.921875,153,3.0508737564086914
3350.107421875,0.0003,3223,-144576.01524158003,157474,241.5,630000,4095,79.45775604248047,181385.28125,153,-0.38803017139434814
4003.16162109375,0.0003,3238,-153809.727271,159974,300.43,640000,4160,76.7210464477539,184201.390625,153,-2.5661158561706543
3473.08203125,0.0003,3255,-165289.96785489,162474,380.38,650000,4225,76.16866302490234,175372.3125,153,-3.6044278144836426
3224.660400390625,0.0003,3276,-184287.81032734,164974,456.38,660000,4291,72.92142486572266,145600.9375,153,1.6756691932678223
3222.8759765625,0.0003,3289,-193259.83312311998,167474,510.09,670000,4357,70.84590148925781,149835.546875,153,-2.8975589275360107
3883.15869140625,0.0003,3312,-202533.5284257,169974,532.94,680000,4422,71.86026763916016,138869.1875,153,-0.04842674732208252
3366.15869140625,0.0003,3326,-236414.40554308,172474,572.03,690000,4488,70.36164093017578,120982.859375,153,0.5548866391181946
2918.2421875,0.0003,3361,-262584.47580518,174974,478.5,700000,4553,68.93324279785156,107968.9453125,153,1.5220004320144653
3799.8896484375,0.0003,3378,-299049.17079538,177474,489.14,710000,4618,66.28414154052734,103248.2421875,153,-2.4656007289886475
3406.993896484375,0.0003,3399,-322514.89626059995,179974,450.49,720000,4683,67.80595397949219,99237.6171875,153,-0.4110170602798462
3168.69580078125,0.0003,3410,-356920.45936067996,182474,494.39,730000,4749,70.12540435791016,97734.234375,153,-2.2253360748291016
2943.12939453125,0.0003,3420,-383198.71336133993,184974,536.94,740000,4814,68.19010925292969,94106.6015625,153,0.47127479314804077
3181.485595703125,0.0003,3430,-523904.89525089995,187474,572.21,750000,4879,65.65266418457031,80586.3359375,153,3.7835559844970703
3216.434814453125,0.0003,3440,-528763.15161574,189974,666.54,760000,4944,61.4857177734375,69518.171875,153,1.7533811330795288
3234.507080078125,0.0003,3453,-522544.38996832,192474,734.46,770000,5009,57.93758010864258,74242.890625,153,0.9777389168739319
3034.77294921875,0.0003,3466,-497813.58517047996,194974,767.93,780000,5075,55.68657684326172,67944.15625,153,-1.094287395477295
2835.318603515625,0.0003,3477,-488853.15108421,197474,800.91,790000,5140,54.25722885131836,63464.8125,153,2.069125175476074
3075.17822265625,0.0003,3501,-430696.4408592899,199974,788.49,800000,5206,53.03101348876953,74696.5234375,153,-2.704850196838379
2688.2431640625,0.0003,3514,-383966.07881977997,202474,764.91,810000,5272,52.67089080810547,59670.4921875,153,2.105869770050049
2727.0712890625,0.0003,3526,-206469.52516678,204974,745.1,820000,5337,49.091590881347656,62023.7109375,153,-1.1587374210357666
2440.422119140625,0.0003,3541,-213726.25244517997,207474,702.02,830000,5403,46.867652893066406,58729.140625,153,2.676103115081787
2780.623779296875,0.0003,3593,-174019.80183259,209974,462.46,840000,5469,46.23345947265625,64055.1484375,153,-2.1584296226501465
2880.953125,0.0003,3616,-184928.97033136003,212474,393.93,850000,5534,44.47306442260742,59866.73828125,153,-2.6883113384246826
3037.873779296875,0.0003,3626,-195251.57911763003,214974,397.41,860000,5600,45.50178909301758,50086.8046875,153,-0.012028932571411133
2475.18310546875,0.0003,3636,-180876.78082279005,217474,416.29,870000,5666,48.01375961303711,47458.62109375,153,-1.1615207195281982
2518.67138671875,0.0003,3646,-170189.08139470994,219974,475.28,880000,5732,46.937808990478516,46868.8671875,153,-1.9326200485229492
2848.149169921875,0.0003,3656,-175351.60444504,222474,553.05,890000,5798,43.67555236816406,36365.25,153,0.5722858309745789
2543.73876953125,0.0003,3666,-173545.46280268003,224974,622.59,900000,5863,41.40700912475586,41433.65625,153,0.365456759929657
2228.1591796875,0.0003,3677,-169780.37792452,227474,718.54,910000,5929,38.07002258300781,40647.8359375,153,-2.059131145477295
2151.518310546875,0.0003,3691,-161771.97215967998,229974,796.35,920000,5995,37.56913375854492,29005.99609375,153,2.3044631481170654
2351.798583984375,0.0003,3717,-134340.80701855003,232474,808.48,930000,6061,36.166629791259766,38687.078125,153,-0.6028081178665161
1985.0634765625,0.0003,3873,-97806.25067879999,234974,52.08,940000,6126,35.71562194824219,32716.45703125,153,-0.7254839539527893
2417.420166015625,0.0003,4037,-98856.02809689,237474,52.03,950000,6192,34.486751556396484,15580.10546875,153,4.282515525817871
2285.49658203125,0.0003,4056,-104440.17544924002,239974,129.3,960000,6256,34.43632888793945,30310.939453125,153,-1.0439937114715576
2322.692626953125,0.0003,4078,-115804.25400142,242474,224.6,970000,6317,32.44038772583008,23927.26953125,153,-0.5827659964561462
1705.223876953125,0.0003,4089,-122001.24375874002,244974,321.95,980000,6379,31.453811645507812,9615.056640625,153,5.133464813232422
2002.88525390625,0.0003,4100,-123327.70929781001,247474,419.26,990000,6441,29.637500762939453,27805.173828125,153,0.9413338303565979
2022.4888916015625,0.0003,4110,-123523.39053853,249974,516.87,1000000,6503,28.154071807861328,19796.703125,153,4.727612495422363
