time/episodes,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/n_updates,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/ent_coef
69074,128114.03125,-0.5029851794242859,-87487.34978403,131,54974,220000,1672,3.02,0.0003,948.9171752929688,26.055736541748047
71970,114799.015625,0.6150976419448853,-85652.13394539998,131,57474,230000,1750,3.44,0.0003,1332.1021728515625,24.780019760131836
73533,176304.171875,-1.4944782257080078,-383942.9134887299,131,59974,240000,1827,13.55,0.0003,1563.4732666015625,22.076662063598633
75810,166462.765625,-0.5146865844726562,-87862.69083538001,131,62474,250000,1903,3.0,0.0003,1303.8546142578125,22.37261962890625
78879,162437.671875,0.18961413204669952,-87376.17268120003,131,64974,260000,1982,3.0,0.0003,1260.0347900390625,20.56522560119629
79945,213442.140625,-0.167730450630188,-900455.1044837502,131,67474,270000,2060,34.27,0.0003,2187.345947265625,29.099628448486328
80023,343149.5625,-2.0426080226898193,-2667828.64792269,130,69974,280000,2138,95.21,0.0003,8203.34765625,47.86576843261719
80138,340705.5,1.234656810760498,-1744234.7153892498,130,72474,290000,2217,63.0,0.0003,3562.41455078125,58.189029693603516
80531,510359.46875,-0.10613933205604553,-558346.65953735,130,74974,300000,2296,21.62,0.0003,7141.919921875,55.305965423583984
81325,556089.5,-2.079409122467041,-396538.91639758006,130,77474,310000,2375,15.03,0.0003,7187.79541015625,61.03350830078125
82075,546344.5625,0.4514904022216797,-87372.71038175,130,79974,320000,2454,3.0,0.0003,8363.2353515625,58.69050979614258
85071,547699.8125,-0.9126427173614502,-90655.32781537,130,82474,330000,2534,3.0,0.0003,9929.4326171875,52.056671142578125
87365,515672.5625,0.5114830732345581,-89280.67886255,130,84974,340000,2614,3.09,0.0003,9932.7568359375,53.00515365600586
89016,643919.9375,-0.017514795064926147,-87761.76548256002,129,87474,350000,2693,3.5,0.0003,11080.0048828125,58.51186752319336
90946,815858.875,0.5424084663391113,-287905.80826327,129,89974,360000,2774,11.01,0.0003,12070.703125,51.23277282714844
91504,823257.625,-0.5257165431976318,-1732502.87020835,129,92474,370000,2853,59.85,0.0003,11911.5390625,55.225643157958984
91878,753365.875,0.3818466365337372,-333949.40233272,129,94974,380000,2932,19.38,0.0003,14479.1298828125,53.648529052734375
92046,903760.625,-0.6080633997917175,-1407733.68508881,129,97474,390000,3012,57.52,0.0003,15236.6923828125,60.037322998046875
92451,932000.625,-0.866794228553772,-89204.79651524,129,99974,400000,3092,4.31,0.0003,21036.75390625,58.44514083862305
94618,810667.5,1.1834099292755127,-87328.66104883999,129,102474,410000,3173,3.96,0.0003,16218.1650390625,59.38791275024414
97148,1044883.125,1.7987000942230225,-86105.39476909999,129,104974,420000,3253,3.98,0.0003,27675.869140625,58.52403259277344
99653,871683.6875,0.7617327570915222,-85346.3502841,128,107474,430000,3334,3.99,0.0003,24085.0078125,60.221107482910156
101954,1037648.375,-0.7646234631538391,-86605.29296594001,128,109974,440000,3416,4.05,0.0003,26399.166015625,63.95704650878906
103108,998609.875,2.222701072692871,-86283.81471587,128,112474,450000,3497,4.42,0.0003,21981.904296875,62.486507415771484
