time/episodes,train/critic_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/ent_coef_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/actor_loss
2211,5089.802734375,0.0003,300000,-211504.13853894,606.76,142,1.6976523399353027,2101,130.01025390625,74974,323955.34375
2220,4380.51513671875,0.0003,310000,-204016.06000748998,683.1,142,2.7210686206817627,2173,124.62477111816406,77474,285713.46875
2231,4657.80859375,0.0003,320000,-197566.63212664,773.41,142,1.3248176574707031,2245,121.07481384277344,79974,247783.25
2240,3755.419189453125,0.0003,330000,-203344.37757697998,849.31,142,-1.6216094493865967,2318,108.85069274902344,82474,214353.65625
2251,2957.824462890625,0.0003,340000,-201883.15514482997,932.19,142,-2.013448476791382,2391,94.2628173828125,84974,187561.765625
2260,2561.640625,0.0003,350000,-201850.06229288003,988.52,141,0.2925172746181488,2465,85.04690551757812,87474,156937.203125
2271,2315.308837890625,0.0003,360000,-197997.32864175003,1000.0,141,1.8001688718795776,2538,79.36040496826172,89974,142049.671875
2280,2424.895751953125,0.0003,370000,-191736.13002147005,1000.0,141,-1.8682278394699097,2613,69.82283782958984,92474,123059.09375
2291,2623.710205078125,0.0003,380000,-179179.58481814995,1000.0,141,-0.9147087931632996,2687,65.90072631835938,94974,107401.6953125
2301,2096.885986328125,0.0003,390000,-166125.39178036002,995.18,141,0.4816206097602844,2762,61.51096725463867,97474,87947.359375
2312,2153.099853515625,0.0003,400000,-149467.47032006,987.17,141,-1.4867191314697266,2836,57.08807373046875,99974,86128.734375
2322,2224.0361328125,0.0003,410000,-135166.37392384003,979.82,140,-3.6761388778686523,2911,52.41948318481445,102474,79830.0859375
2335,2214.1943359375,0.0003,420000,-114079.70011636999,960.3,140,1.2073771953582764,2986,48.203208923339844,104974,69418.6875
2347,2112.53515625,0.0003,430000,-96170.66502910001,927.6,140,0.8849119544029236,3061,46.21173858642578,107474,64159.86328125
2388,2351.353759765625,0.0003,440000,-80066.98307718999,639.12,140,2.1776371002197266,3136,45.84788513183594,109974,61255.59375
2423,2213.33251953125,0.0003,450000,-92841.55253233999,400.08,140,-1.4418221712112427,3210,42.68558120727539,112474,58156.18359375
2566,2055.22998046875,0.0003,460000,-100059.87870551,68.2,140,-0.9054830074310303,3285,40.89185333251953,114974,55766.78125
2740,2066.917724609375,0.0003,470000,-92396.93108041001,55.09,139,1.2425613403320312,3359,39.01329803466797,117474,49209.171875
2895,1951.3956298828125,0.0003,480000,-90870.20795113998,60.13,139,-1.622918725013733,3434,37.626583099365234,119974,53441.37109375
2969,2302.870361328125,0.0003,490000,-89825.37228576,110.04,139,-1.8752983808517456,3509,37.787261962890625,122474,53891.7734375
3041,2109.55517578125,0.0003,500000,-91277.98120840002,166.65,139,-2.0118353366851807,3584,37.377464294433594,124974,45509.23046875
3087,1798.6317138671875,0.0003,510000,-92119.86418748999,142.11,139,2.6483569145202637,3660,34.396541595458984,127474,42252.16796875
3096,1807.4072265625,0.0003,520000,-91775.97012111999,215.63,139,2.6623103618621826,3735,32.43459701538086,129974,40846.41796875
3108,1635.94921875,0.0003,530000,-91152.37436181998,320.37,139,-2.967090606689453,3810,32.52785873413086,132474,42334.08984375
3117,1892.6651611328125,0.0003,540000,-90446.86653687,398.69,138,-3.44484806060791,3885,29.45760154724121,134974,44009.40234375
3162,1562.2095947265625,0.0003,550000,-93405.53955218999,482.97,138,0.9851293563842773,3960,28.7622127532959,137474,35521.04296875
3171,1577.483154296875,0.0003,560000,-92539.66623644,547.46,138,4.255191802978516,4035,26.41351318359375,139974,28790.36328125
3197,1881.448486328125,0.0003,570000,-89405.06979740999,506.71,138,1.8978033065795898,4110,25.562191009521484,142474,33863.22265625
