train/critic_loss,train/n_updates,train/ent_coef,train/actor_loss,time/episodes,time/fps,time/total_timesteps,train/learning_rate,time/time_elapsed,train/ent_coef_loss,rollout/ep_len_mean,rollout/ep_rew_mean
51662.5859375,169974,199.87521362304688,680945.5,78236,131,680000,0.0003,5176,-1.271630048751831,5.01,-98193.52108296001
50776.25,172474,188.09292602539062,653734.0625,80233,131,690000,0.0003,5256,-6.4765625,5.02,-98806.77898089001
47988.05859375,174974,178.25245666503906,670158.0,82226,131,700000,0.0003,5337,-4.22715425491333,5.0,-100337.47715129
42203.50390625,177474,165.74868774414062,548548.1875,84160,131,710000,0.0003,5418,-0.23359328508377075,5.16,-102813.53484980999
37462.78515625,179974,157.5843505859375,502515.40625,86141,130,720000,0.0003,5499,0.08890080451965332,5.07,-99443.34893939
34837.4375,182474,152.1804962158203,548533.25,88106,130,730000,0.0003,5580,0.8570132255554199,5.13,-100450.65625552
34340.55859375,184974,144.772216796875,457156.25,90048,130,740000,0.0003,5658,-1.8986504077911377,5.13,-100165.51518006
31421.833984375,187474,141.28700256347656,454817.125,91961,130,750000,0.0003,5739,2.4638028144836426,5.2,-101895.63392793
34621.640625,189974,156.64898681640625,448588.90625,92592,130,760000,0.0003,5819,3.438211679458618,26.16,-372678.0705864099
29422.24609375,192474,161.41891479492188,454457.1875,94265,130,770000,0.0003,5899,4.514649391174316,5.08,-99603.38457270998
28336.09765625,194974,140.7251739501953,536034.4375,95973,130,780000,0.0003,5979,-7.968863010406494,10.73,-338998.33165100997
21709.181640625,197474,137.26954650878906,422229.34375,97317,130,790000,0.0003,6059,2.6898036003112793,6.07,-128786.94069517002
19571.51953125,199974,140.8272705078125,490933.9375,98537,130,800000,0.0003,6140,-2.3278822898864746,8.62,-225245.84737917
22497.138671875,202474,144.8766326904297,484926.125,100046,130,810000,0.0003,6221,0.8265764713287354,5.36,-105993.40562095001
21298.173828125,204974,146.4174346923828,517855.53125,101848,130,820000,0.0003,6301,1.9659276008605957,5.63,-110564.27539188
18571.681640625,207474,147.50888061523438,500610.15625,102905,130,830000,0.0003,6382,3.127676010131836,8.24,-162620.18288839
22230.140625,209974,142.5791778564453,517473.1875,104148,129,840000,0.0003,6462,-3.0377838611602783,6.08,-113306.63981496997
24903.609375,212474,136.7233123779297,513476.46875,105705,129,850000,0.0003,6542,4.817514419555664,6.57,-117016.61321533
25784.3984375,214974,129.89381408691406,537462.5,107268,129,860000,0.0003,6624,-3.131725788116455,6.15,-106353.97010252
18380.884765625,217474,126.02672576904297,482228.8125,108707,129,870000,0.0003,6703,1.152256965637207,6.36,-111201.83072914003
21143.970703125,219974,123.12146759033203,467261.21875,110257,129,880000,0.0003,6784,-1.3855305910110474,6.21,-110427.26506545002
19487.095703125,222474,117.13712310791016,456599.03125,111767,129,890000,0.0003,6865,-3.508521556854248,6.42,-115828.18789883
20382.33984375,224974,113.45732116699219,433288.78125,113388,129,900000,0.0003,6945,1.09682297706604,5.69,-105650.22929530003
19157.208984375,227474,112.57357788085938,438335.46875,115103,129,910000,0.0003,7025,-3.6983790397644043,5.73,-107048.63405665997
16130.3212890625,229974,111.4568862915039,417322.375,116932,129,920000,0.0003,7105,3.455479621887207,5.47,-103123.97008031998
14896.2294921875,232474,108.9932632446289,401559.6875,118750,129,930000,0.0003,7185,6.042965412139893,5.43,-103825.93445407
20078.076171875,234974,106.17120361328125,417374.84375,120400,129,940000,0.0003,7266,-1.0315386056900024,7.19,-125255.91393173
15025.623046875,237474,104.85588836669922,384702.0,121710,129,950000,0.0003,7346,0.36951690912246704,7.08,-125428.30760360001
12092.5078125,239974,103.9941635131836,401242.9375,122913,129,960000,0.0003,7426,-0.3159988522529602,7.15,-127093.24637280998
17344.224609375,242474,102.44121551513672,384098.625,124069,129,970000,0.0003,7507,1.6570847034454346,7.76,-135070.14087695
18751.94140625,244974,103.00804901123047,372489.0,125518,129,980000,0.0003,7587,3.293184518814087,6.04,-109966.01461510002
15895.796875,247474,103.2536849975586,394553.09375,127186,129,990000,0.0003,7670,1.4761416912078857,5.53,-103743.90107552998
12754.9072265625,249974,103.11901092529297,342309.75,128992,128,1000000,0.0003,7752,4.651026248931885,5.42,-103005.44057916
