time/time_elapsed,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,time/total_timesteps,time/fps,train/clip_range,train/clip_fraction,rollout/ep_rew_mean,train/std,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/n_updates,train/loss
191,0.0,92.36,0.0017,-10.165764896571636,210000,1097,0.2,0.0177001953125,-239179.24792903,1.3263064622879028,0.003664568,-0.002168201351651078,1560173903.45,250,801116992.0
199,0.0,80.6,0.0017,-10.250842933356761,220000,1101,0.2,0.03583984375,-225443.14715307002,1.3441729545593262,0.0052341023,-0.0030672274795506384,1657488880.85,260,806857856.0
212,0.0,86.63,0.0017,-10.394602954387665,230000,1082,0.2,0.0212158203125,-225622.15458643,1.3777602910995483,0.0043805037,-0.0024958160662208683,1500191987.0,280,736728960.0
220,0.0,82.04,0.0017,-10.471919528394938,240000,1086,0.2,0.03157958984375,-205444.683131,1.3929179906845093,0.004604347,-0.003091962181861163,1539654268.8,290,878641024.0
229,0.0,81.2,0.0017,-10.558458568155766,250000,1090,0.2,0.0138427734375,-221198.61533506002,1.4183775186538696,0.0031759818,-0.0017625167971345944,1758132620.6,300,735300352.0
237,0.0,78.68,0.0017,-10.659579281508922,260000,1094,0.2,0.0190185546875,-204105.22616372,1.4403280019760132,0.004336908,-0.0018288292198121781,1609866563.05,310,925307392.0
245,0.0,80.82,0.0017,-10.743521936237812,270000,1097,0.2,0.02569580078125,-201452.21957965998,1.458765983581543,0.004840067,-0.0025645552148489516,1531483478.2,320,885065280.0
258,0.0,89.31,0.0017,-10.907897483557463,280000,1082,0.2,0.03135986328125,-218886.60386388,1.5016778707504272,0.0053451667,-0.003524274219671497,1500430737.4,340,810715136.0
267,0.0,80.14,0.0017,-11.014265640825034,290000,1085,0.2,0.013916015625,-215128.74649959002,1.5319582223892212,0.004045098,-0.0015943648479151307,1630840325.4,350,619981440.0
275,-1.1920928955078125e-07,78.4,0.0017,-11.117276104539632,300000,1089,0.2,0.01820068359375,-198849.83291111,1.5545034408569336,0.0041005127,-0.00182659700521981,1640805982.6,360,639387520.0
