train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,train/critic_loss,train/ent_coef_loss
2.2374463081359863,0.001,16.24,445,2474,-184861.33470146,10000,52,2562.55224609375,191,215562768.0,-27.152389526367188
5.097784996032715,0.001,13.14,1032,4974,-91511.74542264998,20000,105,8737.0634765625,189,101655296.0,-47.435970306396484
9.592756271362305,0.001,21.57,1496,7474,-94166.08914899,30000,163,13249.564453125,183,95913024.0,-43.528526306152344
16.273773193359375,0.001,25.59,1884,9974,-69683.70075178001,40000,220,14977.017578125,181,79143192.0,-36.878662109375
26.047517776489258,0.001,31.95,2229,12474,39559.95338861,50000,278,13395.359375,179,75891808.0,-30.184118270874023
42.09466552734375,0.001,19.1,2692,14974,120756.62864753998,60000,335,8002.8525390625,178,72383304.0,-27.9155330657959
66.4143295288086,0.001,18.29,3211,17474,129851.85715995001,70000,393,-11727.541015625,177,89379776.0,-18.531631469726562
92.9220199584961,0.001,18.7,3752,19974,132036.21751614,80000,451,-36380.43359375,177,121564192.0,-7.077781677246094
105.26819610595703,0.001,17.22,4316,22474,132525.54751193,90000,509,-37840.640625,176,80426880.0,2.1110925674438477
100.28407287597656,0.001,17.08,4923,24974,132332.2,100000,566,-52926.45703125,176,47878032.0,-0.3933039903640747
85.9878921508789,0.001,15.22,5540,27474,133112.0,110000,624,-66815.703125,176,102407024.0,1.657406210899353
75.9107894897461,0.001,16.37,6174,29974,133137.06456253,120000,682,-72905.203125,175,74909088.0,-0.4091360569000244
65.37391662597656,0.001,15.17,6830,32474,130587.74245443002,130000,740,-83737.0078125,175,132393784.0,-0.6282786130905151
60.354557037353516,0.001,18.94,7420,34974,129096.64146675,140000,797,-85958.015625,175,53165804.0,-0.47686195373535156
52.56357955932617,0.001,14.32,8058,37474,133325.12691777002,150000,855,-92815.96875,175,49773192.0,2.3605148792266846
49.690494537353516,0.001,14.13,8624,39974,133161.76777406,160000,912,-92894.171875,175,111591760.0,-3.440484046936035
50.251853942871094,0.001,13.54,9340,42474,132556.59051793,170000,970,-94885.328125,175,80818864.0,-0.4946601390838623
46.48267364501953,0.001,13.84,10060,44974,133350.93341848,180000,1028,-96385.109375,175,86705584.0,0.4693096876144409
47.16565704345703,0.001,23.55,10622,47474,130731.39280884001,190000,1085,-97914.359375,174,101302936.0,0.8956859707832336
50.392578125,0.001,37.33,11032,49974,111384.90638404,200000,1143,-98345.4921875,174,93672520.0,2.018314838409424
43.87795639038086,0.001,14.02,11549,52474,133195.85449892998,210000,1200,-102406.703125,174,37070164.0,-1.2118576765060425
43.07612991333008,0.001,16.24,12186,54974,133289.10686668998,220000,1257,-100377.359375,174,163309760.0,0.8527806997299194
40.10651397705078,0.001,15.6,12778,57474,133276.62684124,230000,1313,-98714.15625,175,29090344.0,-0.25410640239715576
39.344329833984375,0.001,20.73,13432,59974,132792.25372303,240000,1369,-98921.125,175,147910192.0,0.2886308431625366
35.61259078979492,0.001,13.31,14072,62474,133451.4,250000,1425,-101284.671875,175,60014612.0,0.0368884801864624
41.79850387573242,0.001,13.67,14819,64974,133367.50951036,260000,1482,-99736.46875,175,20603032.0,-0.17269623279571533
38.320648193359375,0.001,12.69,15556,67474,133439.3,270000,1538,-102260.78125,175,15112581.0,-0.9348829984664917
35.749263763427734,0.001,15.0,16285,69974,133360.94204624998,280000,1593,-101231.4375,175,19351894.0,-2.038219690322876
33.561798095703125,0.001,12.15,16989,72474,133448.17986983003,290000,1649,-103711.3515625,175,16233326.0,2.7993111610412598
37.38728713989258,0.001,12.48,17746,74974,133460.06946678,300000,1705,-104209.3984375,175,21309188.0,-0.612698495388031
31.703765869140625,0.001,12.77,18533,77474,133464.9,310000,1761,-102607.703125,175,89835024.0,1.4053730964660645
32.97964096069336,0.001,12.88,19245,79974,133455.1,320000,1817,-107007.4296875,176,23034092.0,-3.4476470947265625
32.312984466552734,0.001,12.95,20020,82474,133097.38902566998,330000,1873,-106273.0,176,21707132.0,-0.6910401582717896
35.86559295654297,0.001,11.89,20768,84974,133400.54078182002,340000,1928,-104736.328125,176,46699920.0,-1.3538974523544312
36.71266555786133,0.001,12.64,21494,87474,132452.01811948,350000,1984,-105731.75,176,14801784.0,-1.0008633136749268
33.17329788208008,0.001,13.08,22313,89974,133380.31937732,360000,2039,-102973.328125,176,28462698.0,1.6011102199554443
31.879066467285156,0.001,11.48,23126,92474,133479.53890137,370000,2095,-106005.3125,176,217081088.0,3.728579521179199
33.184913635253906,0.001,13.44,23864,94974,132893.95533601,380000,2150,-104274.140625,176,12420046.0,-1.0820105075836182
36.80690002441406,0.001,14.14,24627,97474,132577.6981652,390000,2206,-102851.0,176,7725764.0,-0.36647117137908936
25.907255172729492,0.001,17.01,25418,99974,133218.66887621998,400000,2261,-105780.390625,176,45855768.0,-2.5183088779449463
32.31074142456055,0.001,16.81,25887,102474,133196.86440521,410000,2323,-105519.0625,176,42421400.0,2.485316753387451
27.756244659423828,0.001,44.88,26342,104974,35061.434921210006,420000,2384,-108916.703125,176,27652360.0,-0.4589505195617676
25.334285736083984,0.001,31.32,26783,107474,120988.68870882,430000,2446,-110325.265625,175,12620409.0,-1.8277170658111572
