rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/policy_loss,train/n_updates,train/explained_variance,train/entropy_loss,train/std,time/fps,train/learning_rate,time/total_timesteps
73.56,-286273.6093294,5,842542272.0,-202048.609375,124,-5.7220458984375e-06,-12.76874828338623,0.9998313188552856,1818,0.0001,10000
69.61,-284321.84960953007,10,88898856.0,-59544.4375,249,-9.417533874511719e-06,-12.775904655456543,1.0005483627319336,1825,0.0001,20000
88.06,-313689.94519524,16,191294208.0,-123237.2109375,374,-3.254413604736328e-05,-12.771849632263184,1.0001755952835083,1823,0.0001,30000
77.02,-285435.04377125006,21,827761024.0,-224756.703125,499,1.1920928955078125e-06,-12.7716064453125,1.0002020597457886,1824,0.0001,40000
68.69,-257340.57664187998,27,1594016000.0,-336743.65625,624,-2.384185791015625e-07,-12.774592399597168,1.0004875659942627,1824,0.0001,50000
69.38,-249296.69111229,32,916182720.0,-293779.25,749,2.562999725341797e-06,-12.768523216247559,0.9997687935829163,1821,0.0001,60000
63.15,-241395.44540823,38,2042303872.0,-418347.4375,874,-4.76837158203125e-07,-12.760560035705566,0.9988806843757629,1817,0.0001,70000
65.75,-241769.95014458004,44,1063662592.0,-332632.1875,999,3.5762786865234375e-07,-12.757960319519043,0.9985745549201965,1817,0.0001,80000
56.69,-212137.58238574996,49,322808864.0,-178170.59375,1124,-2.9802322387695312e-06,-12.756023406982422,0.9984242916107178,1816,0.0001,90000
54.16,-200633.36648861,55,201033088.0,-136517.96875,1249,2.980232238769531e-07,-12.752302169799805,0.9980080723762512,1816,0.0001,100000
61.59,-216834.32123416,60,863276352.0,-227118.71875,1374,-1.1920928955078125e-07,-12.754918098449707,0.9983020424842834,1813,0.0001,110000
64.35,-222107.20900571,66,652313664.0,-191896.625,1499,-1.1920928955078125e-07,-12.756379127502441,0.9984295964241028,1813,0.0001,120000
65.19,-215929.23876815996,71,998951424.0,-296407.53125,1624,0.0,-12.75645637512207,0.9984581470489502,1812,0.0001,130000
62.03,-204571.19697489997,77,1141164032.0,-275718.25,1749,0.0,-12.758221626281738,0.9986362457275391,1812,0.0001,140000
61.33,-196655.20928071003,82,646433664.0,-121940.6015625,1874,0.0,-12.749688148498535,0.9977366328239441,1812,0.0001,150000
58.84,-180845.88979212,88,837364352.0,-240230.65625,1999,0.0,-12.748808860778809,0.9976019263267517,1811,0.0001,160000
61.09,-194450.31309607,93,89739600.0,-79284.234375,2124,0.0,-12.746295928955078,0.9972935914993286,1811,0.0001,170000
60.06,-196441.19536707003,99,557433280.0,-157866.3125,2249,0.0,-12.74102783203125,0.9967857003211975,1811,0.0001,180000
60.53,-186596.36695477006,104,1469827840.0,-343742.6875,2374,5.960464477539063e-08,-12.734435081481934,0.9960347414016724,1809,0.0001,190000
54.49,-164920.44025345,110,655603648.0,-202254.203125,2499,-1.1920928955078125e-07,-12.73570442199707,0.9961685538291931,1802,0.0001,200000
59.12,-185853.06341197997,116,682840192.0,-190837.546875,2624,0.0,-12.733344078063965,0.9958377480506897,1801,0.0001,210000
55.1,-169047.0745131,122,747391680.0,-233653.296875,2749,-1.1920928955078125e-07,-12.728571891784668,0.9954035878181458,1792,0.0001,220000
52.17,-158953.48269709,128,544078080.0,-141697.46875,2874,0.0,-12.72240161895752,0.9947342276573181,1785,0.0001,230000
54.13,-170319.62559621996,134,220389936.0,-121421.2734375,2999,1.1920928955078125e-07,-12.722260475158691,0.9946862459182739,1784,0.0001,240000
59.95,-178337.37723749,140,734993280.0,-255748.84375,3124,0.0,-12.71799373626709,0.9942238926887512,1778,0.0001,250000
50.2,-153087.16684740002,146,811834432.0,-204340.84375,3249,1.1920928955078125e-07,-12.714374542236328,0.9937880635261536,1774,0.0001,260000
57.88,-171925.76268542002,152,1591071104.0,-341702.0,3374,-1.1920928955078125e-07,-12.712311744689941,0.9936249852180481,1773,0.0001,270000
57.19,-172966.08985713002,158,1091490944.0,-210094.875,3499,0.0,-12.709229469299316,0.9933264851570129,1771,0.0001,280000
47.53,-152270.52031507998,163,1048091456.0,-211620.078125,3624,0.0,-12.710942268371582,0.9934272766113281,1770,0.0001,290000
61.29,-168498.37283062,169,881070720.0,-269594.34375,3749,0.0,-12.709259986877441,0.9932551980018616,1769,0.0001,300000
62.69,-174816.96446175,175,646724480.0,-178873.03125,3874,0.0,-12.708831787109375,0.9932059049606323,1769,0.0001,310000
55.01,-155265.52683958,180,1056595776.0,-254320.34375,3999,0.0,-12.70856761932373,0.9931929707527161,1769,0.0001,320000
60.98,-169477.58546772,186,1429801856.0,-282218.84375,4124,0.0,-12.707807540893555,0.9931034445762634,1767,0.0001,330000
58.5,-166407.70135410002,192,1085244416.0,-240172.203125,4249,0.0,-12.704951286315918,0.9927861094474792,1766,0.0001,340000
