train/std,rollout/ep_rew_mean,train/n_updates,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/explained_variance
1.0164966583251953,-179820.84200324,499,-12.918081283569336,0.0007,87605776.0,-72903.46875,1731,35.86,5,10000,-1.1920928955078125e-07
1.0197607278823853,-176681.56986043003,999,-12.942296981811523,0.0007,46831260.0,-33245.46875,1756,41.29,11,20000,1.1920928955078125e-07
1.0293415784835815,-160099.1803278,1499,-13.028364181518555,0.0007,393625120.0,-199776.453125,1760,35.44,17,30000,0.0
1.0311939716339111,-146646.47268443,1999,-13.04627799987793,0.0007,48736040.0,-49780.8359375,1692,39.95,23,40000,0.0
1.034301996231079,-128854.608682,2499,-13.068944931030273,0.0007,1149064704.0,-202028.34375,1700,38.33,29,50000,0.0
1.0366976261138916,-124511.31581723997,2999,-13.082910537719727,0.0007,1012861824.0,-117856.0625,1706,27.84,35,60000,0.0
1.0356682538986206,-110055.27793562,3499,-13.078462600708008,0.0007,9069255.0,10484.1259765625,1709,34.57,40,70000,1.1920928955078125e-07
1.04027259349823,-113439.40908986,3999,-13.119173049926758,0.0007,55586228.0,-74193.296875,1710,31.37,46,80000,-2.384185791015625e-07
1.0503296852111816,-128951.36350873,4499,-13.200494766235352,0.0007,986142080.0,-99394.578125,1709,46.46,52,90000,0.0
1.0553579330444336,-113120.89493991001,4999,-13.240434646606445,0.0007,4322179.5,4251.2353515625,1711,38.28,58,100000,0.0
1.0607762336730957,-106985.07724834,5499,-13.286123275756836,0.0007,1559574272.0,-202981.59375,1713,34.41,64,110000,0.0
1.070188283920288,-110310.53914408002,5999,-13.369325637817383,0.0007,12186778.0,34567.6875,1713,31.05,70,120000,-1.1920928955078125e-07
1.0745755434036255,-100046.35569657,6499,-13.405965805053711,0.0007,1949241344.0,-281709.84375,1712,31.84,75,130000,0.0
1.0807995796203613,-108065.10419643004,6999,-13.460947036743164,0.0007,22229732.0,-11394.919921875,1711,38.23,81,140000,0.0
1.0874013900756836,-83504.17844797,7499,-13.516777038574219,0.0007,106523216.0,-80528.921875,1710,37.66,87,150000,0.0
1.09647798538208,-131365.90685106002,7999,-13.592378616333008,0.0007,1891366656.0,-244772.421875,1710,55.58,93,160000,0.0
1.1088743209838867,-105528.99091235001,8499,-13.693525314331055,0.0007,2376743424.0,-398248.8125,1707,22.85,99,170000,5.960464477539063e-08
1.1135482788085938,-88946.65342244,8999,-13.72651481628418,0.0007,993769856.0,-143657.046875,1704,30.99,105,180000,0.0
1.1124316453933716,-138271.14132236998,9499,-13.714658737182617,0.0007,37064536.0,-23087.44140625,1701,41.42,111,190000,0.0
1.1148451566696167,-115898.80939665,9999,-13.735158920288086,0.0007,1492711040.0,-224773.34375,1699,52.4,117,200000,0.0
1.1068987846374512,-65209.176628179994,10499,-13.66411018371582,0.0007,585362432.0,64298.09375,1697,34.37,123,210000,0.0
1.1164870262145996,-124232.55569207002,10999,-13.7376708984375,0.0007,76063352.0,-44051.7421875,1695,46.3,129,220000,0.0
1.121728777885437,-92930.44720953,11499,-13.778226852416992,0.0007,1449769216.0,-193992.53125,1694,24.67,135,230000,-1.1920928955078125e-07
1.1211369037628174,-104670.56529247001,11999,-13.771341323852539,0.0007,36374536.0,-33799.69921875,1692,31.92,141,240000,0.0
1.1153346300125122,-83637.24208894999,12499,-13.720277786254883,0.0007,1033694336.0,-153702.609375,1692,42.96,147,250000,0.0
1.1153696775436401,-93738.72382825,12999,-13.717702865600586,0.0007,2676721664.0,180882.59375,1690,37.94,153,260000,0.0
1.1218293905258179,-49519.888728879996,13499,-13.772668838500977,0.0007,3580148480.0,526687.375,1689,34.07,159,270000,0.0
1.1295589208602905,-95764.86245842003,13999,-13.837812423706055,0.0007,45596672.0,-69016.7578125,1688,35.51,165,280000,0.0
1.1363991498947144,-105617.78463359998,14499,-13.894144058227539,0.0007,542526208.0,-121011.9765625,1687,44.61,171,290000,0.0
