train/value_loss,train/entropy_loss,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,rollout/ep_len_mean,train/clip_fraction,train/loss,train/std,train/policy_gradient_loss,train/explained_variance,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean
39688592931.2,-21.284114941954613,0.0003,0.00078035076,10,0.2,28.15,0.0,20642557952.0,1.0000064373016357,-0.0021189401029914736,1.7881393432617188e-06,817,12,10000,-515814.3498585599
38874160417.6,-21.284000225365162,0.0003,0.0008465966,20,0.2,21.46,0.0,16952791040.0,0.9999856352806091,-0.00231324435917486,0.0,818,24,20000,-402163.33671541
35099710019.2,-21.28308629244566,0.0003,0.00075971184,30,0.2,26.62,0.0,16543882240.0,0.9998816847801208,-0.0018898398073361022,-1.1920928955078125e-07,816,36,30000,-471546.04390431993
38109099192.0,-21.28230985701084,0.0003,0.00082281977,40,0.2,23.99,0.0,17240752128.0,0.9998867511749268,-0.0022314413597996465,1.1920928955078125e-07,817,48,40000,-442129.7234920599
33081394267.2,-21.28082692325115,0.0003,0.0006220141,60,0.2,22.87,0.0,18733641728.0,0.9997900128364563,-0.0015868832804699195,0.0,755,66,50000,-424704.65684063005
31916398332.8,-21.280383786559106,0.0003,0.0010986696,70,0.2,20.13,1.220703125e-05,16188653568.0,0.9997207522392273,-0.002671267202276795,1.1920928955078125e-07,763,78,60000,-369183.07145687996
30388656176.0,-21.279156331717967,0.0003,0.00096935447,80,0.2,21.2,0.0,15186416640.0,0.9996227025985718,-0.002319218625598296,0.0,769,90,70000,-384124.2634766099
32024725153.6,-21.27784222662449,0.0003,0.00033722504,90,0.2,20.1,0.0,15031091200.0,0.9995457530021667,-0.0009325612038082909,-1.1920928955078125e-07,774,103,80000,-369652.964798
29861354566.4,-21.27774379849434,0.0003,0.0009049521,100,0.2,18.76,0.0,15992276992.0,0.999616265296936,-0.002144676645366417,-1.1920928955078125e-07,778,115,90000,-356599.32854596997
30077736984.0,-21.27856448888779,0.0003,0.0004503518,120,0.2,17.59,0.0,15080863744.0,0.9996273517608643,-0.0011664492179988884,0.0,751,133,100000,-327004.12277103995
28857405560.0,-21.278486643731593,0.0003,0.00079172116,130,0.2,17.96,0.0,16008467456.0,0.9996281862258911,-0.001954533881689713,1.1920928955078125e-07,756,145,110000,-336256.39951653994
30396580456.0,-21.27807962447405,0.0003,0.0006354455,140,0.2,18.17,0.0,14356651008.0,0.9995736479759216,-0.0016128295563248684,0.0,760,157,120000,-332580.46813596995
29875050388.8,-21.27751099318266,0.0003,0.00043085846,150,0.2,19.88,0.0,15949556736.0,0.999552845954895,-0.0011693152220686898,1.7881393432617188e-07,763,170,130000,-369515.40204273997
28347170849.6,-21.277300669252874,0.0003,0.0006021606,170,0.2,15.88,0.0,14105640960.0,0.9995743036270142,-0.0014827566229541843,0.0,745,187,140000,-295174.10445206
28320809006.4,-21.277197210490705,0.0003,0.00038972875,180,0.2,16.61,0.0,14442160128.0,0.9995096921920776,-0.001017958345619263,0.0,749,200,150000,-307903.28230003
30963621171.2,-21.276306810975075,0.0003,0.00038396812,190,0.2,18.36,0.0,12670524416.0,0.9994584321975708,-0.0010360314649005887,0.0,753,212,160000,-348040.46496947994
31152213438.4,-21.2764399304986,0.0003,0.00019016335,200,0.2,16.45,0.0,17070815232.0,0.9995200634002686,-0.0006510885234092712,1.1920928955078125e-07,756,224,170000,-309299.48647357
28572052000.0,-21.27618041485548,0.0003,0.0003362434,210,0.2,17.31,0.0,15689516032.0,0.9994267225265503,-0.000908794098540966,0.0,758,237,180000,-310457.22024032
28384731246.4,-21.274931451678277,0.0003,0.00013278396,230,0.2,18.15,0.0,14220682240.0,0.9993820786476135,-0.0004820262423891108,0.0,746,254,190000,-333472.9584159
29612928224.0,-21.275038494169713,0.0003,0.0004809411,240,0.2,17.48,0.0,16436651008.0,0.999415397644043,-0.0012981520001630997,0.0,749,266,200000,-331553.94772582996
29986376582.4,-21.275791096687318,0.0003,0.00016740579,250,0.2,16.39,0.0,16367303680.0,0.9994819760322571,-0.0006150877039544867,1.7881393432617188e-07,751,279,210000,-305904.36370696
27433374966.4,-21.27585335671902,0.0003,0.00036545377,260,0.2,16.42,0.0,14234227712.0,0.9994271397590637,-0.0009868799851574296,-1.1920928955078125e-07,754,291,220000,-306711.17971902003
30157716691.2,-21.27477381080389,0.0003,0.00017710598,280,0.2,20.39,0.0,14609420288.0,0.9993735551834106,-0.0005405947238614317,0.0,744,308,230000,-380108.24570369005
28679968942.4,-21.27360021173954,0.0003,0.00027827558,290,0.2,14.47,0.0,15347568640.0,0.9992309212684631,-0.0007265384470883874,1.7881393432617188e-07,746,321,240000,-270928.76827415003
28049174064.0,-21.27208323031664,0.0003,0.00030591816,300,0.2,17.58,0.0,15703310336.0,0.999171793460846,-0.0007817912857717602,0.0,749,333,250000,-333147.77917081
30188001299.2,-21.271134443581104,0.0003,0.00013486885,310,0.2,16.81,0.0,15318486016.0,0.9991075396537781,-0.0005384502175729722,-1.1920928955078125e-07,751,345,260000,-315660.52347745
29364290740.8,-21.270841614902018,0.0003,0.00022946522,320,0.2,17.29,0.0,15626639360.0,0.9991335272789001,-0.0006991185235165176,-1.1920928955078125e-07,753,358,270000,-317942.49715316
26956062144.0,-21.27038244009018,0.0003,0.00021359586,340,0.2,17.49,0.0,13317072896.0,0.9990425705909729,-0.0007097505206729692,1.7881393432617188e-07,745,375,280000,-317411.29191351007
26425502084.8,-21.26916172504425,0.0003,0.0002903838,350,0.2,16.33,0.0,12862110720.0,0.998977541923523,-0.0007896437777162646,5.960464477539063e-08,747,387,290000,-305955.94002488
29204397996.8,-21.26858408153057,0.0003,0.00029453821,360,0.2,16.71,0.0,14115405824.0,0.9989647269248962,-0.0008168861204467248,-1.1920928955078125e-07,749,400,300000,-314356.43325882003
29984838492.8,-21.2685118958354,0.0003,0.00025308356,370,0.2,14.65,0.0,14390164480.0,0.9989662766456604,-0.0007942117581478669,0.0,750,412,310000,-274032.01996693
29447429123.2,-21.26670597344637,0.0003,0.00012802418,390,0.2,15.96,0.0,14126376960.0,0.9988645911216736,-0.00047362266304844524,5.960464477539063e-08,743,430,320000,-296025.94515840994
28105271315.2,-21.267067578434943,0.0003,0.0002268382,400,0.2,17.14,0.0,13252666368.0,0.9988767504692078,-0.000692712053842115,0.0,744,443,330000,-317167.75475667004
28551852196.8,-21.26709456294775,0.0003,0.00021080788,410,0.2,15.48,0.0,16515853312.0,0.9988675713539124,-0.0006202144896178651,-1.1920928955078125e-07,746,455,340000,-294053.26882445003
27400366289.6,-21.266745312511922,0.0003,0.00023761461,420,0.2,14.01,0.0,16475897856.0,0.9988254308700562,-0.0006887289004225749,-1.1920928955078125e-07,747,468,350000,-269859.20389884
26759061576.0,-21.265547460317613,0.0003,0.00032006446,430,0.2,15.81,0.0,12423639040.0,0.9987146258354187,-0.0008999090492579853,-1.1920928955078125e-07,748,480,360000,-286573.16243281995
27681653632.0,-21.2641567081213,0.0003,0.0001691625,450,0.2,12.68,0.0,13446765568.0,0.998652994632721,-0.0005979461882816394,0.0,742,498,370000,-242874.33304974
28142856540.8,-21.263465525209902,0.0003,0.00013765047,460,0.2,15.53,0.0,13367829504.0,0.9986075758934021,-0.0005009331292967545,-1.1920928955078125e-07,743,510,380000,-297619.81640311005
28385102691.2,-21.263755622506142,0.0003,0.000115622744,470,0.2,14.68,0.0,15057033216.0,0.9986953735351562,-0.0004745347729112837,1.1920928955078125e-07,745,523,390000,-278193.49120994
28262965153.6,-21.264519058167934,0.0003,0.00022434443,480,0.2,12.61,0.0,12722419712.0,0.9987050890922546,-0.0006582930147487787,5.960464477539063e-08,746,535,400000,-241374.38024892996
30734031488.0,-21.265028113126753,0.0003,0.00016653878,500,0.2,15.31,0.0,16890902528.0,0.9987857341766357,-0.0006958096583730367,5.960464477539063e-08,740,553,410000,-291974.59599039005
31322866912.0,-21.26589812040329,0.0003,0.0001478593,510,0.2,14.0,0.0,12274767872.0,0.9987964630126953,-0.0005354838747734902,1.1920928955078125e-07,742,565,420000,-267446.81870964
27478039883.2,-21.265234449505805,0.0003,0.00013668276,520,0.2,16.54,0.0,12637127680.0,0.9987015128135681,-0.00045072256016283064,1.7881393432617188e-07,743,578,430000,-303569.41172881005
30120975262.4,-21.263797359168528,0.0003,0.00018380632,530,0.2,14.73,0.0,13507987456.0,0.9986080527305603,-0.0006726619538312661,0.0,745,590,440000,-280801.67994959006
28915333521.6,-21.263030660152435,0.0003,0.00010763131,540,0.2,14.81,0.0,16716881920.0,0.9985947012901306,-0.0004109061133931391,0.0,746,602,450000,-279390.32397733
31791689782.4,-21.26288910061121,0.0003,9.988482e-05,560,0.2,14.82,0.0,15669956608.0,0.9986045956611633,-0.00043645281130011426,0.0,741,619,460000,-280298.12025402
24976603004.8,-21.262295454740524,0.0003,0.00024389071,570,0.2,15.67,0.0,15075879936.0,0.9985005259513855,-0.0006983698449403164,-1.1920928955078125e-07,743,632,470000,-294694.77057874
30346005118.4,-21.261516423523425,0.0003,0.0002108464,580,0.2,16.91,0.0,17822117888.0,0.9985024333000183,-0.0006801266406910144,-1.1920928955078125e-07,744,644,480000,-317233.68130296
29707461835.2,-21.261883480846883,0.0003,0.000133497,590,0.2,14.77,0.0,16396993536.0,0.9985530376434326,-0.0005209764112805715,0.0,746,656,490000,-282587.50505244004
27992585902.4,-21.261687162518502,0.0003,0.00014290986,610,0.2,14.91,0.0,13141395456.0,0.9985125660896301,-0.0005213033975451254,-1.1920928955078125e-07,741,674,500000,-278738.67071631
29919730436.8,-21.261848324537276,0.0003,0.00015818892,620,0.2,14.87,0.0,16254906368.0,0.9985410571098328,-0.0004999252310881275,-1.1920928955078125e-07,742,686,510000,-281602.54090292
29303691676.8,-21.262640151381493,0.0003,0.00018170287,630,0.2,12.89,0.0,13441522688.0,0.998615562915802,-0.0006003708876960445,5.960464477539063e-08,744,698,520000,-248560.89224157002
27150422592.0,-21.2621446326375,0.0003,0.00014843314,640,0.2,15.49,0.0,12279905280.0,0.9984722137451172,-0.0005297854702803306,0.0,745,711,530000,-284743.39871959
26109397052.8,-21.261423933506013,0.0003,0.0001953673,650,0.2,15.45,0.0,12690894848.0,0.9985273480415344,-0.0006357337622830527,0.0,746,723,540000,-295847.71145748
27438770732.8,-21.261744591593743,0.0003,0.00025044478,670,0.2,12.65,0.0,11540508672.0,0.9984800815582275,-0.0008190367803763366,0.0,741,741,550000,-242368.84444585003
28076846929.6,-21.2613568559289,0.0003,0.0002378922,680,0.2,13.84,0.0,12316382208.0,0.9985105395317078,-0.0007836737764591817,-1.1920928955078125e-07,743,753,560000,-261842.05576741003
28338743156.8,-21.26190042346716,0.0003,0.00014058214,690,0.2,14.61,0.0,16505253888.0,0.9985532164573669,-0.00048456219537911237,1.1920928955078125e-07,743,766,570000,-275223.28618357005
30070994438.4,-21.262597860395907,0.0003,0.00017474289,700,0.2,13.81,0.0,17606858752.0,0.9986009001731873,-0.0005494100618307129,1.1920928955078125e-07,744,778,580000,-265859.20818019
28541822977.6,-21.26253224015236,0.0003,9.881249e-05,720,0.2,11.93,0.0,14008180736.0,0.9986204504966736,-0.0004834340990782948,-1.1920928955078125e-07,740,796,590000,-238408.91198284004
28022411635.2,-21.263225443661213,0.0003,0.00013091671,730,0.2,13.93,0.0,13292883968.0,0.9986240863800049,-0.0005647849682645755,-1.1920928955078125e-07,741,808,600000,-268855.5432220299
26306717284.8,-21.26222558170557,0.0003,0.00029496488,740,0.2,13.96,0.0,13737825280.0,0.9984861612319946,-0.0008447754946246278,0.0,742,821,610000,-263054.15112905
31019925604.8,-21.26063012331724,0.0003,0.0001507182,750,0.2,14.75,0.0,13741317120.0,0.998408317565918,-0.0006331176760795643,0.0,743,834,620000,-281722.77332533
27943618694.4,-21.259323489665984,0.0003,0.00021775105,760,0.2,14.19,0.0,12995525632.0,0.9983164072036743,-0.0008248656849900726,-1.1920928955078125e-07,744,846,630000,-265219.12807388
28769515952.0,-21.258367937803268,0.0003,0.00034114526,780,0.2,12.49,0.0,15546225664.0,0.9982843399047852,-0.001067498380143661,-1.1920928955078125e-07,740,864,640000,-242562.92530943998
26228115969.6,-21.258904714882373,0.0003,0.00032813917,790,0.2,11.53,0.0,13137575936.0,0.9983813166618347,-0.000856666203981149,0.0,741,876,650000,-226599.95238792003
27387586816.0,-21.2598159968853,0.0003,0.00011445169,800,0.2,11.25,0.0,15111059456.0,0.9984095692634583,-0.0004887453873379854,0.0,742,889,660000,-222244.17723548002
28964508384.0,-21.259949362277986,0.0003,0.00012735327,810,0.2,14.3,0.0,15386077184.0,0.9983969330787659,-0.00045806736907252346,5.960464477539063e-08,743,901,670000,-275858.27467671
30070792782.4,-21.25659831315279,0.0003,0.00013013446,830,0.2,14.44,0.0,15479896064.0,0.9981416463851929,-0.0005214207611061283,0.0,739,919,680000,-271531.88604124
23247859478.4,-21.256082639098167,0.0003,0.0003313608,840,0.2,12.8,0.0,13090275328.0,0.9981537461280823,-0.00091748676077259,1.1920928955078125e-07,740,931,690000,-251831.520469
28185402433.6,-21.25646754950285,0.0003,7.6505064e-05,850,0.2,12.63,0.0,15386931200.0,0.9981920719146729,-0.0003359576832735911,-1.1920928955078125e-07,741,944,700000,-253351.77190048996
28596096108.8,-21.256357273459436,0.0003,0.00017672304,860,0.2,12.61,0.0,13190594560.0,0.9981420040130615,-0.0006146880214146222,0.0,742,956,710000,-242595.56070511
24775257904.0,-21.255927565693856,0.0003,0.00020055822,870,0.2,13.48,0.0,12596915200.0,0.9981324076652527,-0.0005747638000684674,1.7881393432617188e-07,743,968,720000,-260407.09395355
30298376686.4,-21.25251875221729,0.0003,0.00011442336,890,0.2,12.61,0.0,16361293824.0,0.9978728890419006,-0.0005589708938714466,1.1920928955078125e-07,740,986,730000,-240352.71723865997
