Logging to training_random_logs/3_robots/logs/TQC_set8
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 38.1      |
|    ep_rew_mean     | -1.19e+05 |
| time/              |           |
|    episodes        | 254       |
|    fps             | 145       |
|    time_elapsed    | 68        |
|    total_timesteps | 10000     |
| train/             |           |
|    actor_loss      | 4.04e+04  |
|    critic_loss     | 6.75e+03  |
|    ent_coef        | 50.7      |
|    ent_coef_loss   | -2.79     |
|    learning_rate   | 0.0064    |
|    n_updates       | 2474      |
----------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 56.3      |
|    ep_rew_mean     | -9.66e+04 |
| time/              |           |
|    episodes        | 371       |
|    fps             | 145       |
|    time_elapsed    | 137       |
|    total_timesteps | 20000     |
| train/             |           |
|    actor_loss      | 2.8e+04   |
|    critic_loss     | 4.14e+03  |
|    ent_coef        | 38.2      |
|    ent_coef_loss   | -0.625    |
|    learning_rate   | 0.0064    |
|    n_updates       | 4974      |
----------------------------------
----------------------------------
| rollout/           |           |
|    ep_len_mean     | 168       |
|    ep_rew_mean     | -9.45e+04 |
| time/              |           |
|    episodes        | 407       |
|    fps             | 145       |
|    time_elapsed    | 206       |
|    total_timesteps | 30000     |
| train/             |           |
|    actor_loss      | 1.46e+04  |
|    critic_loss     | 2.42e+03  |
|    ent_coef        | 17.6      |
|    ent_coef_loss   | 2.14      |
|    learning_rate   | 0.0064    |
|    n_updates       | 7474      |
----------------------------------
