train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/entropy_loss,train/value_loss,train/std,rollout/ep_len_mean,train/loss,time/total_timesteps,time/time_elapsed,train/approx_kl,time/fps,train/explained_variance,train/n_updates,rollout/ep_rew_mean
-0.0008872050129866693,0.2,0.0,0.0003,-17.027382624149322,38107150656.0,1.0000215768814087,48.14,18368335872.0,10000,10,0.00026172155,965,-1.1920928955078125e-07,10,-712156.28241815
-0.0005891121651075082,0.2,0.0,0.0003,-17.027065661549567,39395313107.2,0.999939501285553,50.75,19445297152.0,20000,20,0.00015221443,966,0.0,20,-748902.2499194101
-0.0003654730016023677,0.2,0.0,0.0003,-17.026179322600363,36886938227.2,0.9998809695243835,48.41,17939329024.0,30000,31,9.172189e-05,965,0.0,30,-718155.3837914402
-0.00043842996756211506,0.2,0.0,0.0003,-17.026492840051652,37601943544.0,0.9999909996986389,55.97,20639694848.0,40000,41,0.000111652,965,-1.1920928955078125e-07,40,-816222.7549629902
-0.0004887651238277613,0.2,0.0,0.0003,-17.02560183852911,40427513470.4,0.9998630881309509,59.11,20142811136.0,50000,56,0.00012390013,887,0.0,60,-866510.9874900901
-0.00022855484203319066,0.2,0.0,0.0003,-17.025728149712087,40848878598.4,0.9998831152915955,57.47,20854276096.0,60000,66,3.5413745e-05,899,0.0,70,-838162.22900335
-0.00048819224721228236,0.2,0.0,0.0003,-17.025780400633813,40307267920.0,0.9998692870140076,45.9,18903037952.0,70000,77,0.000107906926,908,0.0,80,-670368.07220111
-0.0005968740405478456,0.2,0.0,0.0003,-17.02544377297163,36013868281.6,0.9998302459716797,50.48,18925301760.0,80000,87,0.00017806303,915,5.960464477539063e-08,90,-742218.10540006
-0.00028905613216920754,0.2,0.0,0.0003,-17.024950040876867,39461953545.6,0.9997852444648743,50.48,19023648768.0,90000,97,6.411351e-05,920,0.0,100,-736040.0476098602
-0.00041839454124783517,0.2,0.0,0.0003,-17.02464926689863,38579738865.6,0.9997921586036682,44.5,18786271232.0,100000,112,0.00011704073,888,0.0,120,-656943.5581147999
-0.0005315931777658989,0.2,0.0,0.0003,-17.024633148312567,37953756491.2,0.9997677206993103,52.57,17485381632.0,110000,122,0.0001393662,894,0.0,130,-771870.7199633601
-0.00045721854448856904,0.2,0.0,0.0003,-17.02447991371155,38778205265.6,0.9997689127922058,51.26,19987988480.0,120000,133,0.000110061104,899,0.0,140,-756096.3425013301
-0.000626536924210086,0.2,0.0,0.0003,-17.02463829666376,38368131838.4,0.9997937679290771,55.35,17304961024.0,130000,143,0.00017576586,904,5.960464477539063e-08,150,-812011.6986129001
-0.00046743783495912795,0.2,0.0,0.0003,-17.025367827713488,38954963995.2,0.9998577237129211,51.51,20623390720.0,140000,158,0.00011718622,882,1.1920928955078125e-07,170,-760230.74143902
