train/n_updates,time/time_elapsed,train/explained_variance,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/is_line_search_success,train/policy_objective,rollout/ep_rew_mean,time/fps,train/kl_divergence_loss,train/std,train/value_loss
19,143,5.960464477539063e-08,160000,0.001,3.45,1.0,0.026235785335302353,-148954.92962337998,1118,0.008404956199228764,0.8666669726371765,15636042625.6
20,151,-2.384185791015625e-07,170000,0.001,3.65,1.0,0.0007942980155348778,-152571.68191927997,1121,0.005294709466397762,0.8624390363693237,15349156320.0
21,160,-1.1920928955078125e-07,180000,0.001,3.36,1.0,0.06091888248920441,-146534.09683895,1121,0.006613113451749086,0.8575935363769531,15874067396.8
23,170,0.0,190000,0.001,3.52,1.0,0.044523224234580994,-150879.69395942998,1112,0.009668226353824139,0.847391664981842,14992238038.4
24,179,0.0,200000,0.001,3.38,1.0,0.07131259888410568,-146749.06010907,1112,0.008039339445531368,0.8459521532058716,14907528084.8
25,188,-2.384185791015625e-07,210000,0.001,3.2,1.0,0.0018656058236956596,-142754.39156721003,1114,0.007213434670120478,0.8439536690711975,13438328601.6
26,197,1.1920928955078125e-07,220000,0.001,3.3,1.0,0.038481708616018295,-145722.33042774,1115,0.009256651625037193,0.83847975730896,14704037121.6
28,207,1.1920928955078125e-07,230000,0.001,3.09,1.0,0.023077258840203285,-140276.31326957003,1110,0.005989548284560442,0.8322222232818604,13262524316.8
29,215,1.1920928955078125e-07,240000,0.001,3.05,1.0,0.03483349457383156,-139542.52110040002,1111,0.007679423317313194,0.8285287022590637,13026736723.2
30,224,1.1920928955078125e-07,250000,0.001,3.14,1.0,0.00869555864483118,-141785.2508208,1113,0.00759622547775507,0.8274821639060974,12860236553.6
31,233,0.0,260000,0.001,3.27,1.0,0.009908411651849747,-144340.56423363002,1114,0.009735251776874065,0.8227862119674683,13171312440.0
32,241,0.0,270000,0.001,3.1,1.0,0.0579727441072464,-140114.68141625,1115,0.00979071855545044,0.8204668164253235,14848051577.6
34,252,0.0,280000,0.001,3.11,1.0,0.03182178735733032,-140285.17317613002,1110,0.009745609946548939,0.8192023038864136,12829683560.0
35,260,0.0,290000,0.001,3.19,1.0,0.009267259389162064,-141630.99958492,1112,0.003727935254573822,0.818135678768158,12781526697.6
36,269,1.1920928955078125e-07,300000,0.001,3.07,1.0,0.06242862343788147,-139221.99265762002,1113,0.008282284252345562,0.8161464333534241,12821002948.8
37,278,1.1920928955078125e-07,310000,0.001,3.05,1.0,0.0038632466457784176,-138402.33882812998,1114,0.005757634993642569,0.815360963344574,12725524360.0
39,288,0.0,320000,0.001,3.0,1.0,0.032215770334005356,-137464.6600415,1109,0.007254140451550484,0.8136595487594604,12574178934.4
40,297,0.0,330000,0.001,3.18,1.0,0.009084192104637623,-141042.83361565,1109,0.009339789859950542,0.8124610781669617,12510305305.6
41,306,1.1920928955078125e-07,340000,0.001,3.08,1.0,0.015824981033802032,-138921.48436995,1109,0.008987214416265488,0.8110969662666321,12766243865.6
42,315,0.0,350000,0.001,3.02,1.0,0.03308900445699692,-137702.58851233,1109,0.0076641058549284935,0.8091229200363159,12643773156.8
43,324,0.0,360000,0.001,3.02,1.0,0.03838728740811348,-137602.98158211997,1110,0.007051520515233278,0.8070269823074341,12472454310.4
45,334,1.7881393432617188e-07,370000,0.001,3.03,1.0,0.04086361452937126,-137276.56590508998,1105,0.008193682879209518,0.8035621643066406,12378961451.2
46,343,0.0,380000,0.001,3.01,1.0,0.03426758572459221,-136937.62242224,1106,0.00831291452050209,0.8035701513290405,12335139600.0
47,352,-1.1920928955078125e-07,390000,0.001,3.03,1.0,0.018445318564772606,-137104.99587790997,1106,0.00489569129422307,0.8018980622291565,12356318686.4
48,361,0.0,400000,0.001,3.01,1.0,0.018272489309310913,-136826.37462040002,1105,0.00834372267127037,0.8030596971511841,12298506123.2
50,372,0.0,410000,0.001,3.05,1.0,0.026515178382396698,-137520.27694048,1101,0.004025834146887064,0.7970330119132996,12359886620.8
51,381,0.0,420000,0.001,3.07,1.0,0.01987004652619362,-137890.88124128,1101,0.006096365861594677,0.792734682559967,12311474166.4
52,390,0.0,430000,0.001,3.04,1.0,0.024900637567043304,-137326.69897737,1100,0.00595133425667882,0.7927025556564331,12376869337.6
53,399,-1.1920928955078125e-07,440000,0.001,3.0,1.0,0.03605211526155472,-136484.98484615,1100,0.00805665273219347,0.7904125452041626,12269893409.6
54,408,1.7881393432617188e-07,450000,0.001,3.0,1.0,0.022371966391801834,-136446.50778868,1100,0.00635763444006443,0.7925786972045898,12204085792.0
56,419,0.0,460000,0.001,3.0,1.0,0.028189875185489655,-136440.51061184003,1096,0.0037799226120114326,0.7923634648323059,13077301083.2
57,428,0.0,470000,0.001,3.02,1.0,0.020412512123584747,-136768.29843090998,1096,0.009129920974373817,0.7924203872680664,12211745548.8
58,438,-2.384185791015625e-07,480000,0.001,3.04,1.0,0.01615443453192711,-137200.47353776998,1095,0.004066845867782831,0.7911111116409302,12310760123.2
59,447,0.0,490000,0.001,3.05,1.0,0.019857490435242653,-137291.78339492,1095,0.009194139391183853,0.7904191613197327,12196307952.0
61,458,0.0,500000,0.001,3.01,1.0,0.03576485812664032,-136485.77694286,1091,0.008828089572489262,0.790760338306427,12165186270.4
62,467,0.0,510000,0.001,3.03,1.0,0.02744133397936821,-136822.37174647,1091,0.007302737794816494,0.7897475957870483,12126237804.8
63,476,0.0,520000,0.001,3.03,1.0,0.027236543595790863,-136859.72185083,1091,0.008859594352543354,0.7882105112075806,12134134355.2
64,485,0.0,530000,0.001,3.03,1.0,0.019819028675556183,-136799.72183031,1091,0.00844541471451521,0.7871099710464478,12105603443.2
65,494,0.0,540000,0.001,3.05,1.0,0.02023208700120449,-137144.47873516,1091,0.009511183947324753,0.7869618535041809,12126417961.6
67,505,0.0,550000,0.001,3.06,1.0,0.015967441722750664,-137427.93406912,1088,0.00841575674712658,0.7794495224952698,12095985348.8
68,514,0.0,560000,0.001,3.02,1.0,0.041867177933454514,-136706.1489462,1087,0.008168571628630161,0.7783957123756409,12146683566.4
69,524,5.960464477539063e-08,570000,0.001,3.01,1.0,0.02960045635700226,-136370.29453239002,1087,0.008553953841328621,0.7787302732467651,12052945544.0
70,533,0.0,580000,0.001,3.02,1.0,0.008700254373252392,-136546.64976944998,1086,0.005526518449187279,0.7776612639427185,12046876558.4
72,544,0.0,590000,0.001,3.02,1.0,0.009331985376775265,-136741.50220744,1083,0.005166531540453434,0.7743595838546753,12035707286.4
73,554,0.0,600000,0.001,3.0,1.0,0.03526141494512558,-136170.15031981,1082,0.007881778292357922,0.7728379368782043,12045256523.2
74,563,0.0,610000,0.001,3.02,1.0,0.013345367275178432,-136514.80897224,1082,0.00796413142234087,0.7700366377830505,12002389742.4
75,572,0.0,620000,0.001,3.02,1.0,0.011548621580004692,-136611.81379736,1082,0.00620008772239089,0.7702817320823669,12020499265.6
76,582,-1.1920928955078125e-07,630000,0.001,3.01,1.0,0.03766544908285141,-136473.60930491,1081,0.006659254431724548,0.769829511642456,12070984518.4
78,593,0.0,640000,0.001,3.02,1.0,0.034096892923116684,-136505.98105708,1078,0.006893653888255358,0.7682018876075745,12066621017.6
79,602,0.0,650000,0.001,3.02,1.0,0.02804172784090042,-136566.38705850003,1079,0.006779791321605444,0.7661281228065491,11999327924.8
80,611,5.960464477539063e-08,660000,0.001,3.05,1.0,0.021460548043251038,-137024.2301858,1079,0.007792366668581963,0.7666148543357849,11949904787.2
81,620,0.0,670000,0.001,3.0,1.0,0.03323930501937866,-136110.46350501,1080,0.008626509457826614,0.7641336917877197,11946009486.4
83,630,0.0,680000,0.001,3.02,1.0,0.031870704144239426,-136632.95351839002,1077,0.006781094707548618,0.7627432942390442,11928610553.6
84,640,0.0,690000,0.001,3.05,1.0,0.020164499059319496,-137338.77696971997,1077,0.00952536053955555,0.7630717158317566,11927407723.2
85,649,0.0,700000,0.001,3.07,1.0,0.00981645006686449,-137513.28007652,1077,0.009064597077667713,0.7618634700775146,12011068990.4
