time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/delta_std,train/iterations,rollout/return_std,train/learning_rate,train/step_size
208,420000,2014,696.2307692307693,-27796430.12206339,,,,,
213,430000,2014,,,0.05,9,17776010.0,0.0018,1.2657508721702904e-11
218,440000,2014,1000.0,-40094807.6816665,,,,,
223,450000,2014,1000.0,-40100671.8813176,,,,,
228,460000,2014,1000.0,-40079100.22213771,,,,,
233,470000,2014,819.2727272727273,-32822813.73302791,,,,,
238,480000,2014,7.0,-162797.206462,0.05,10,17840732.0,0.0018,1.261158972393206e-11
243,490000,2014,505.25,-20159870.4517655,,,,,
248,500000,2015,504.5,-20118358.252301402,,,,,
253,510000,2015,543.2307692307693,-21693311.953738693,,,,,
258,520000,2015,,,0.05,11,19922356.0,0.0018,1.129384519932275e-11
263,530000,2015,506.25,-20140534.365688503,,,,,
267,540000,2015,628.875,-25098615.370025247,,,,,
272,550000,2015,703.1,-28114322.2695462,,,,,
277,560000,2015,20.0,-504702.705079,0.05,12,19925378.0,0.0018,1.1292132159890222e-11
282,570000,2015,673.3333333333334,-26950708.76823467,,,,,
287,580000,2015,560.2222222222222,-22436080.225913666,,,,,
292,590000,2015,587.4166666666666,-23523510.337360416,,,,,
297,600000,2015,,,0.05,13,19946476.0,0.0018,1.1280187721396384e-11
302,610000,2015,1000.0,-40096854.7739815,,,,,
307,620000,2015,838.8333333333334,-33571081.39324483,,,,,
312,630000,2016,782.2222222222222,-31332189.34947833,,,,,
317,640000,2016,836.6666666666666,-33513307.737067994,,,,,
322,650000,2016,803.0,-32174245.924855728,,,,,
327,660000,2016,669.0,-26850574.147260338,0.05,14,16022528.0,0.0018,1.4042727917995546e-11
332,670000,2016,801.4,-32066778.328532003,,,,,
337,680000,2016,779.8888888888889,-31178621.535250887,,,,,
342,690000,2016,819.9090909090909,-32808002.236351456,,,,,
347,700000,2016,801.6,-32102803.279064067,,,,,
352,710000,2016,1000.0,-40025047.753318,0.05,15,16086134.0,0.0018,1.3987201154253004e-11
357,720000,2016,801.6,-32099183.2832178,,,,,
361,730000,2016,669.8888888888889,-26790250.696121667,,,,,
366,740000,2016,695.2307692307693,-27820808.084746692,,,,,
371,750000,2016,7.0,-166332.228431,0.05,16,19094624.0,0.0018,1.1783421460798138e-11
376,760000,2016,502.8333333333333,-20140562.5900925,,,,,
381,770000,2016,627.125,-25129458.90976475,,,,,
386,780000,2017,537.5333333333333,-21512358.276036,,,,,
391,790000,2017,1000.0,-40184200.0,0.05,17,20457306.0,0.0018,1.0998515466431602e-11
396,800000,2017,575.4285714285714,-23059949.391023714,,,,,
401,810000,2017,604.6,-24206573.8671696,,,,,
406,820000,2017,695.8461538461538,-27890513.49261385,,,,,
411,830000,2016,,,0.05,18,19103286.0,0.0018,1.177807851249213e-11
416,840000,2016,1000.0,-40179544.738248,,,,,
421,850000,2016,628.5,-25170661.9685245,,,,,
426,860000,2016,669.6666666666666,-26831340.15888575,,,,,
431,870000,2016,,,0.05,19,19989340.0,0.0018,1.1255998737247364e-11
436,880000,2016,751.75,-30072168.28382175,,,,,
441,890000,2017,717.1428571428571,-28716215.248009425,,,,,
446,900000,2017,702.8,-28141043.516582705,,,,,
451,910000,2017,716.5714285714286,-28712908.685853,,,,,
456,920000,2017,,,0.05,20,17844496.0,0.0018,1.2608929525481649e-11
461,930000,2017,1000.0,-40098821.756679334,,,,,
466,940000,2017,834.1666666666666,-33474536.459939003,,,,,
470,950000,2017,889.4444444444445,-35683604.38537166,,,,,
475,960000,2017,771.0,-30889274.05377777,,,,,
480,970000,2017,6.0,-148076.428856,0.05,21,16100213.0,0.0018,1.3974969619023891e-11
485,980000,2017,668.6666666666666,-26757151.903613668,,,,,
490,990000,2017,559.5555555555555,-22379894.261739776,,,,,
495,1000000,2017,,,0.05,22,20422402.0,0.0018,1.1017312930017287e-11
500,1010000,2017,603.8,-24151761.579866398,,,,,
505,1020000,2017,628.875,-25167940.6867855,,,,,
510,1030000,2018,669.8333333333334,-26812086.319999173,,,,,
