rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/delta_std,train/learning_rate,rollout/return_std,train/step_size,train/iterations
-19946792.5678325,1000.0,3539,2,10000,,,,,
-19975049.943145752,1000.0,3729,5,20000,,,,,
-19981260.600688715,1000.0,3799,7,30000,,,,,
-20002866.22253889,1000.0,3835,10,40000,,,,,
-19957158.238956332,1000.0,3856,12,50000,,,,,
-19943612.871431284,1000.0,3872,15,60000,,,,,
-20003442.337019,1000.0,3884,18,70000,0.05,0.0018,99401.8671875,2.2635389118619287e-09,0
-19924121.486876335,1000.0,3894,20,80000,,,,,
-19932323.010323666,1000.0,3901,23,90000,,,,,
-19957491.940972,1000.0,3908,25,100000,,,,,
-19942641.11541818,1000.0,3912,28,110000,,,,,
-19931403.907605384,1000.0,3914,30,120000,,,,,
,,3916,33,130000,0.05,0.0018,123347.5390625,1.8241140820052237e-09,1
-19854632.3232195,1000.0,3918,35,140000,,,,,
-19936916.6288298,1000.0,3912,38,150000,,,,,
-19933070.211279284,1000.0,3914,40,160000,,,,,
-19948758.9711795,1000.0,3917,43,170000,,,,,
-19957038.276064415,1000.0,3920,45,180000,,,,,
-19959049.534970865,1000.0,3922,48,190000,,,,,
-20069117.70778,1000.0,3923,50,200000,0.05,0.0018,78131.7421875,2.8797513262901475e-09,2
-19949363.03136225,1000.0,3926,53,210000,,,,,
-19972444.510091834,1000.0,3927,56,220000,,,,,
-19981723.568647556,1000.0,3928,58,230000,,,,,
-19976730.502341002,1000.0,3929,61,240000,,,,,
-19961789.760436427,1000.0,3930,63,250000,,,,,
,,3931,66,260000,0.05,0.0018,70397.3515625,3.1961429058924296e-09,3
-19955663.702892665,1000.0,3932,68,270000,,,,,
-19729570.134567402,1000.0,3933,71,280000,,,,,
-14431340.529107725,731.1818181818181,3934,73,290000,,,,,
-15224026.451513307,772.5384615384615,3935,76,300000,,,,,
,,3937,78,310000,0.05,0.0018,7949491.0,2.830369792705678e-11,4
-19863789.050953,1000.0,3937,81,320000,,,,,
-19936299.837278802,1000.0,3938,83,330000,,,,,
-19950093.602241855,1000.0,3939,86,340000,,,,,
-19913327.0818757,1000.0,3942,88,350000,,,,,
-19891033.505820084,1000.0,3942,91,360000,,,,,
-19898840.52868973,1000.0,3943,93,370000,,,,,
-19975857.912832,1000.0,3944,96,380000,0.05,0.0018,104978.9375,2.1432868813064943e-09,5
-19948687.595653497,1000.0,3942,98,390000,,,,,
-19922866.031478498,1000.0,3943,101,400000,,,,,
-19909186.805483,1000.0,3939,104,410000,,,,,
-18270067.29982775,917.6666666666666,3940,106,420000,,,,,
,,3941,109,430000,0.05,0.0018,6773249.5,3.321891373087027e-11,6
-20012684.649954,1000.0,3941,111,440000,,,,,
-20009392.347415797,1000.0,3941,114,450000,,,,,
-19989502.04805886,1000.0,3941,116,460000,,,,,
-20002895.1462234,1000.0,3942,119,470000,,,,,
-20011516.990107413,1000.0,3942,121,480000,,,,,
-20005101.847470928,1000.0,3942,124,490000,,,,,
-19652482.921069,1000.0,3942,126,500000,0.05,0.0018,62542.60546875,3.5975475931593337e-09,7
-19897434.874652497,1000.0,3943,129,510000,,,,,
-19923820.238776,1000.0,3943,131,520000,,,,,
-19944123.829208445,1000.0,3943,134,530000,,,,,
-19945728.326135363,1000.0,3944,136,540000,,,,,
-18617939.742992662,933.9333333333333,3944,139,550000,,,,,
-19856040.343547,1000.0,3944,141,560000,0.05,0.0018,4959722.0,4.536544404021292e-11,8
-15978942.0656394,802.2,3945,144,570000,,,,,
-17103954.996777285,858.7142857142857,3945,147,580000,,,,,
-16306295.617680002,820.4545454545455,3945,149,590000,,,,,
-16866519.47416054,848.0769230769231,3946,152,600000,,,,,
,,3947,154,610000,0.05,0.0018,6760192.5,3.328307421335275e-11,9
-19981574.980091497,1000.0,3947,157,620000,,,,,
-19891102.9502718,1000.0,3946,159,630000,,,,,
-19909086.030203283,1000.0,3947,162,640000,,,,,
-19934279.1734074,1000.0,3947,164,650000,,,,,
-19937576.737183917,1000.0,3947,167,660000,,,,,
-19951911.35772933,1000.0,3947,169,670000,,,,,
-19802670.0,1000.0,3949,172,680000,0.05,0.0018,92793.8203125,2.4247304164504158e-09,10
-19792392.9839925,1000.0,3949,174,690000,,,,,
-17037992.45557357,858.7142857142857,3950,177,700000,,,,,
-17924928.756116502,901.1,3950,179,710000,,,,,
-18275050.587946583,917.5833333333334,3950,182,720000,,,,,
-18595829.0811596,934.0666666666667,3950,184,730000,,,,,
-10027099.2919745,507.0,3951,187,740000,0.05,0.0018,4956822.0,4.5391985309395366e-11,11
-15911694.522803199,802.8,3951,189,750000,,,,,
-17062701.477686144,859.1428571428571,3951,192,760000,,,,,
-17913610.7178743,901.4,3952,194,770000,,,,,
-18264748.91002275,917.8333333333334,3952,197,780000,,,,,
-18614393.9203492,934.2666666666667,3952,199,790000,,,,,
-19920126.976863,1000.0,3953,202,800000,0.05,0.0018,4961747.5,4.534692413238339e-11,12
-19977911.065525502,1000.0,3953,204,810000,,,,,
-19945857.912022334,1000.0,3953,207,820000,,,,,
-17987004.699852698,901.4,3953,209,830000,,,,,
-18321264.653683584,917.8333333333334,3953,212,840000,,,,,
,,3954,214,850000,0.05,0.0018,6774817.5,3.321122543642474e-11,13
-19889045.620251,1000.0,3953,217,860000,,,,,
-16662024.1899945,835.6666666666666,3953,220,870000,,,,,
-17476814.05517275,876.75,3953,222,880000,,,,,
-16642252.777139835,835.3333333333334,3954,225,890000,,,,,
-17114620.731623717,858.8571428571429,3954,227,900000,,,,,
-6789366.979304333,341.0,3954,230,910000,0.05,0.0018,6767217.5,3.324852199115824e-11,14
-11985625.814033,604.6,3954,232,920000,,,,,
-14968911.152873252,752.875,3955,235,930000,,,,,
-15980583.9853408,802.3,3955,237,940000,,,,,
-16894673.20927977,847.9230769230769,3955,240,950000,,,,,
-17303630.946983732,868.2,3955,242,960000,,,,,
-20012250.32555,1000.0,3955,245,970000,0.05,0.0018,6769147.0,3.3239046931532457e-11,15
-19956603.11622525,1000.0,3955,247,980000,,,,,
-19963139.346476432,1000.0,3956,250,990000,,,,,
-19973081.47068567,1000.0,3956,252,1000000,,,,,
-19965680.38809725,1000.0,3956,255,1010000,,,,,
-19957356.311207213,1000.0,3956,257,1020000,,,,,
