time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/step_size,rollout/return_std,train/delta_std,train/learning_rate,train/iterations
2080,1000.0,432,-39547907.19241525,900000,,,,,
2080,1000.0,437,-39623614.69515928,910000,,,,,
2080,903.8,442,-35781822.5161445,920000,,,,,
2080,860.7142857142857,447,-34041660.93621185,930000,,,,,
2080,11.0,451,-145227.89664,940000,1.6827777019057244e-11,13370749.0,0.05,0.0018,18
2080,417.2,456,-16307551.155554602,950000,,,,,
2081,635.75,461,-25067188.285722002,960000,,,,,
2081,646.0,466,-25525789.76596355,970000,,,,,
2081,,470,,980000,1.1416810205555628e-11,19707780.0,0.05,0.0018,19
2081,1000.0,475,-39589596.927989006,990000,,,,,
2081,1000.0,480,-39750010.789039604,1000000,,,,,
2081,1000.0,485,-39802779.83880343,1010000,,,,,
2081,909.8181818181819,489,-36223039.868877,1020000,,,,,
2082,923.6923076923077,494,-36776166.62736046,1030000,,,,,
