time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/step_size,rollout/return_std,train/delta_std,train/learning_rate,train/iterations
2000,671.6666666666666,4,-26665405.022999663,10000,,,,,
1982,671.8333333333334,10,-26641636.595616996,20000,,,,,
2002,641.8181818181819,14,-25438891.44930837,30000,,,,,
2021,648.1428571428571,19,-25676820.627437647,40000,,,,,
2034,1000.0,24,-39936040.0,50000,1.186355094023872e-11,18965654.0,0.05,0.0018,0
2040,1000.0,29,-39939860.74420533,60000,,,,,
2046,674.7777777777778,34,-26779311.227631222,70000,,,,,
2051,627.1538461538462,38,-24807332.258836232,80000,,,,,
2055,,43,,90000,1.2000573278159177e-11,18749104.0,0.05,0.0018,1
2058,511.5,48,-20196321.2611245,100000,,,,,
2060,635.625,53,-25217562.124874376,110000,,,,,
2061,593.9166666666666,58,-23428212.547699,120000,,,,,
2062,,63,,130000,1.1457889324828496e-11,19637124.0,0.05,0.0018,2
2063,1000.0,67,-39698693.191622496,140000,,,,,
2064,1000.0,72,-39857560.3794304,150000,,,,,
2065,1000.0,77,-39667203.43363086,160000,,,,,
2066,914.0909090909091,82,-36161754.84103737,170000,,,,,
2066,927.3076923076923,87,-36711117.73801555,180000,,,,,
2067,12.0,91,-162653.14895,190000,2.30734927691989e-11,9751449.0,0.05,0.0018,3
2069,504.5,96,-19881708.49556975,200000,,,,,
2070,716.8571428571429,101,-28381654.36297328,210000,,,,,
2071,640.4545454545455,106,-25245617.153629635,220000,,,,,
2072,717.5,110,-28370913.487232786,230000,,,,,
2072,1000.0,115,-39542530.0,240000,1.1889095610784217e-11,18924904.0,0.05,0.0018,4
2072,757.5,120,-29899074.532987,250000,,,,,
2073,861.4285714285714,125,-34144624.91720385,260000,,,,,
2073,731.6363636363636,130,-28992488.701709997,270000,,,,,
2074,,134,,280000,1.188412736274902e-11,18932816.0,0.05,0.0018,5
2074,675.6666666666666,139,-26759376.490332335,290000,,,,,
2074,722.1428571428571,144,-28567188.83329429,300000,,,,,
2074,783.8888888888889,149,-31096886.392913327,310000,,,,,
2074,837.9166666666666,154,-33143573.392934665,320000,,,,,
2075,804.5333333333333,158,-31861855.244872466,330000,,,,,
2075,1000.0,163,-39776586.4935935,340000,1.4200652806439784e-11,15844342.0,0.05,0.0018,6
2075,1000.0,168,-39773840.88757925,350000,,,,,
2076,710.6,173,-28087310.289961196,360000,,,,,
2075,758.8333333333334,178,-30055529.40583408,370000,,,,,
2075,,183,,380000,1.2808787884510675e-11,17566064.0,0.05,0.0018,7
2075,1000.0,187,-39957289.3243465,390000,,,,,
2076,1000.0,192,-39877759.402496204,400000,,,,,
2076,876.25,197,-34881657.565928504,410000,,,,,
2076,771.9230769230769,202,-30626826.56844439,420000,,,,,
2076,802.3333333333334,207,-31872655.102179408,430000,,,,,
2076,670.6666666666666,211,-26649483.79223433,440000,1.4071203403853705e-11,15990104.0,0.05,0.0018,8
2076,802.4,216,-31959098.294962,450000,,,,,
2077,876.5,221,-34802471.590104,460000,,,,,
2077,901.2,226,-35795336.1639656,470000,,,,,
2077,859.7142857142857,230,-34114979.71554064,480000,,,,,
2077,1000.0,235,-39741221.265995,490000,1.4102618378641907e-11,15954484.0,0.05,0.0018,9
2077,1000.0,240,-39627192.46957775,500000,,,,,
2078,859.1428571428571,245,-34013419.09527229,510000,,,,,
2078,901.4,250,-35789372.199384905,520000,,,,,
2078,848.0,254,-33655829.045682155,530000,,,,,
2078,,259,,540000,1.6599405877615325e-11,13554701.0,0.05,0.0018,10
2078,1000.0,264,-39759424.8601525,550000,,,,,
2078,1000.0,269,-39881237.6739584,560000,,,,,
2078,1000.0,274,-39892783.86039729,570000,,,,,
2078,909.9090909090909,279,-36272392.37611627,580000,,,,,
2078,6.0,283,-104489.821934,590000,1.265700998870356e-11,17776710.0,0.05,0.0018,11
2078,602.2,288,-23952632.597199,600000,,,,,
2078,715.8571428571429,293,-28560209.68708257,610000,,,,,
2078,801.1,298,-31918857.2031577,620000,,,,,
2078,834.25,303,-33245996.251638163,630000,,,,,
2078,511.0,307,-20153824.17228,640000,1.2702468417391533e-11,17713092.0,0.05,0.0018,12
2078,755.5,312,-30068146.9793145,650000,,,,,
2078,860.2857142857143,317,-34230095.72170042,660000,,,,,
2078,891.3333333333334,322,-35495895.11227311,670000,,,,,
2078,918.5,327,-36550581.206880085,680000,,,,,
2078,930.1428571428571,331,-36998105.68362515,690000,,,,,
2078,504.5,336,-20025381.97255,700000,2.2794339332721236e-11,9870872.0,0.05,0.0018,13
2078,752.25,341,-29758323.067851245,710000,,,,,
2078,752.0,346,-29770973.121264,720000,,,,,
2079,730.6363636363636,351,-28947856.663932275,730000,,,,,
2078,,355,,740000,1.1582334050186383e-11,19426136.0,0.05,0.0018,14
2079,1000.0,360,-39775157.580404334,750000,,,,,
2079,717.8571428571429,365,-28408808.680966575,760000,,,,,
2079,672.1666666666666,370,-26544886.99538642,770000,,,,,
2079,719.0,375,-28450656.675164577,780000,,,,,
2080,1000.0,379,-39613160.0,790000,1.269049101915165e-11,17729810.0,0.05,0.0018,15
2080,1000.0,384,-39748833.32566067,800000,,,,,
2080,671.5555555555555,389,-26548848.592707,810000,,,,,
2080,671.8333333333334,394,-26570805.43111692,820000,,,,,
2080,,398,,830000,1.1939526624316077e-11,18844968.0,0.05,0.0018,16
2080,405.0,403,-15989220.287109002,840000,,,,,
2080,628.125,408,-24891408.465802502,850000,,,,,
2080,702.5,413,-27899374.8066095,860000,,,,,
2080,771.1538461538462,418,-30658048.48613623,870000,,,,,
2080,801.6666666666666,423,-31901251.29534753,880000,,,,,
2080,1000.0,427,-39845883.5231195,890000,1.4046031698855543e-11,16018760.0,0.05,0.0018,17
