train/value_loss,train/is_line_search_success,time/fps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/kl_divergence_loss,rollout/ep_rew_mean,train/std,train/learning_rate,train/policy_objective,train/explained_variance,time/total_timesteps
2431302532.4,1.0,1705,1,172.59259259259258,5,0.006080731749534607,-448300.5220953148,1.0031479597091675,0.0013,0.04224199801683426,4.172325134277344e-07,10000
1707431188.8,1.0,1718,2,152.5,11,0.007135532796382904,-320512.85156345996,1.0057510137557983,0.0013,0.0366399921476841,0.0,20000
1394273613.0,1.0,1720,3,153.05,17,0.004088147543370724,-283458.47267765,1.0112735033035278,0.0013,0.026267707347869873,0.0,30000
1502482697.8,1.0,1714,4,147.52,23,0.004360890481621027,-266200.25516773993,1.005326509475708,0.0013,0.025507397949695587,0.0,40000
1374582164.3,1.0,1623,6,119.33,30,0.005592972040176392,-209269.78910413996,1.0041184425354004,0.0013,0.0319790244102478,0.0,50000
1179081785.2,1.0,1629,7,133.99,36,0.005404261406511068,-215350.38676856004,0.9964344501495361,0.0013,0.030225735157728195,1.1920928955078125e-07,60000
1124600173.7,1.0,1636,8,142.97,42,0.006113929208368063,-212393.18567057003,0.9875059127807617,0.0013,0.03237120062112808,-1.1920928955078125e-07,70000
1027437199.4,1.0,1643,9,141.51,48,0.004631653893738985,-200313.25336021,0.9919803738594055,0.0013,0.03067152202129364,-1.1920928955078125e-07,80000
999115604.1,1.0,1641,10,136.23,54,0.0048464336432516575,-180169.53561268997,0.9772959351539612,0.0013,0.027848705649375916,0.0,90000
1013465911.0,1.0,1607,12,130.64,62,0.007306523621082306,-168164.45287312998,0.9613585472106934,0.0013,0.034258391708135605,0.0,100000
1088614426.1,1.0,1614,13,137.89,68,0.0056526376865804195,-180442.97071689003,0.9549953937530518,0.0013,0.037490881979465485,0.0,110000
827814362.45,1.0,1620,14,143.05,74,0.005748140159994364,-148247.76334804,0.9522948861122131,0.0013,0.03856711834669113,0.0,120000
876970513.4,1.0,1625,15,145.04,79,0.005590351764112711,-163902.01529947997,0.9363238215446472,0.0013,0.03735174238681793,-1.1920928955078125e-07,130000
773629431.3,1.0,1602,17,167.08,87,0.0070767696015536785,-181190.4397417,0.9288398623466492,0.0013,0.04117869585752487,0.0,140000
