train/value_loss,train/is_line_search_success,time/fps,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/kl_divergence_loss,rollout/ep_rew_mean,train/std,train/learning_rate,train/policy_objective,train/explained_variance,time/total_timesteps
838274827.2,1.0,1607,18,169.04,93,0.00650211563333869,-160478.17933788002,0.9150137305259705,0.0013,0.038108162581920624,0.0,150000
663550828.05,1.0,1611,19,168.11,99,0.007845885120332241,-144086.7168431,0.9185771346092224,0.0013,0.03729058429598808,0.0,160000
640330027.75,1.0,1615,20,161.31,105,0.006453394424170256,-135412.51961723002,0.8993529677391052,0.0013,0.03754445165395737,0.0,170000
758645404.05,1.0,1618,21,157.16,111,0.00698810676112771,-121025.80947373001,0.8958352208137512,0.0013,0.04437454417347908,0.0,180000
661787170.8,1.0,1601,23,170.64,118,0.008040727116167545,-129632.24352224002,0.8898177742958069,0.0013,0.036485329270362854,0.0,190000
699201878.95,1.0,1604,24,175.57,124,0.006290743593126535,-115981.49112847,0.875922441482544,0.0013,0.04352699965238571,0.0,200000
602234540.15,1.0,1606,25,173.78,130,0.006527315359562635,-109508.87402376998,0.863720178604126,0.0013,0.042811401188373566,5.960464477539063e-08,210000
683564935.5,1.0,1608,26,163.1,136,0.007920452393591404,-93589.11310111999,0.8586447834968567,0.0013,0.045149922370910645,0.00128173828125,220000
441447328.65,1.0,1594,28,182.21,144,0.007924557663500309,-85161.40974035,0.8660508990287781,0.0013,0.04843733459711075,0.000706791877746582,230000
521578382.85,1.0,1597,29,208.51,150,0.007055858615785837,-63660.60363591,0.8622793555259705,0.0013,0.03657756745815277,0.0009109377861022949,240000
394135518.1125,1.0,1600,30,228.53,156,0.007248774170875549,-60544.108649899994,0.8613705635070801,0.0013,0.04190412908792496,0.00603872537612915,250000
388144385.25,1.0,1603,31,246.86,162,0.009697598405182362,-59687.53491412,0.8626735806465149,0.0013,0.05539102852344513,0.008925080299377441,260000
441790132.95,1.0,1606,32,287.08,168,0.007725641131401062,-79907.22838309,0.854529082775116,0.0013,0.041762713342905045,0.0012875795364379883,270000
316753147.40625,1.0,1596,34,305.31,175,0.007335452828556299,-54840.67031369999,0.8399197459220886,0.0013,0.03885148838162422,0.021136939525604248,280000
322672002.55,1.0,1598,35,315.76,181,0.008276857435703278,-28451.24988745,0.8513908386230469,0.0013,0.04435083270072937,0.028154313564300537,290000
352030000.7,1.0,1600,36,294.77,187,0.009144994430243969,23748.22380833,0.8420800566673279,0.0013,0.04466532915830612,0.030302047729492188,300000
254223109.45,1.0,1602,37,306.45,193,0.00787382572889328,1041.34613818,0.831951916217804,0.0013,0.04155217111110687,0.03881120681762695,310000
409223822.175,1.0,1592,39,294.42,200,0.007214438635855913,-17420.573350939998,0.8272712230682373,0.0013,0.04483002796769142,0.0434117317199707,320000
339398184.35,1.0,1593,40,290.79,207,0.007375720888376236,-23651.13572892,0.8293502926826477,0.0013,0.04057179018855095,0.010520339012145996,330000
476187164.75,1.0,1595,41,253.51,213,0.008590652607381344,25021.847844800002,0.8312965035438538,0.0013,0.04567018896341324,0.009935081005096436,340000
394834193.275,1.0,1597,42,219.94,219,0.009301655925810337,28669.03735669,0.8274659514427185,0.0013,0.039748191833496094,0.0335160493850708,350000
388859120.1875,1.0,1598,43,239.53,225,0.007625448051840067,38484.001985940005,0.8209362030029297,0.0013,0.04276646673679352,0.03617936372756958,360000
352713506.925,1.0,1590,45,243.35,232,0.008156654424965382,47296.40865666001,0.8155834674835205,0.0013,0.038002971559762955,0.03446078300476074,370000
426478404.05,1.0,1593,46,247.11,238,0.008846667595207691,42022.61180976,0.8118535876274109,0.0013,0.03935885801911354,0.019242525100708008,380000
232698287.66875,1.0,1595,47,274.43,244,0.008241062983870506,43454.90854599001,0.8163630366325378,0.0013,0.03669397160410881,0.007155776023864746,390000
288561793.275,1.0,1597,48,278.36,250,0.007350297179073095,46632.526203780006,0.8165373802185059,0.0013,0.03607028350234032,0.008906185626983643,400000
422561787.925,1.0,1590,50,292.2,257,0.006275142077356577,36572.893973410006,0.8146459460258484,0.0013,0.04126649349927902,0.007052779197692871,410000
297684620.9125,1.0,1591,51,285.23,263,0.007204906549304724,37583.6011784,0.8176732063293457,0.0013,0.046203579753637314,0.025321483612060547,420000
443300420.5375,1.0,1593,52,249.12,269,0.006243469659239054,56218.32089223001,0.8113864064216614,0.0013,0.029046017676591873,0.002881467342376709,430000
414377957.75,1.0,1596,53,206.56,275,0.007069238927215338,77765.98161094001,0.7974133491516113,0.0013,0.034398116171360016,0.013067305088043213,440000
361961600.225,1.0,1598,54,219.06,281,0.008579947985708714,79731.05429812,0.7920758724212646,0.0013,0.055137623101472855,0.01806408166885376,450000
554417432.425,1.0,1593,56,193.46,288,0.008508158847689629,90653.90341806,0.7958781719207764,0.0013,0.039363980293273926,0.03899276256561279,460000
520929417.5625,1.0,1595,57,168.25,294,0.008952084928750992,101383.27003585,0.7907658219337463,0.0013,0.0467679500579834,0.04397374391555786,470000
583033775.625,1.0,1596,58,150.19,300,0.008125278167426586,91118.41219021998,0.781425416469574,0.0013,0.039507992565631866,0.012270748615264893,480000
612194916.925,1.0,1597,59,150.26,306,0.008028472773730755,92771.5333714,0.7842845916748047,0.0013,0.04475058615207672,0.017021775245666504,490000
550906459.0,1.0,1590,61,147.33,314,0.008110309951007366,93704.83796233998,0.7840331196784973,0.0013,0.04067336767911911,0.019285857677459717,500000
743802226.475,1.0,1591,62,120.31,320,0.009819547645747662,95533.0158927,0.7830657958984375,0.0013,0.04127052053809166,0.017837822437286377,510000
572472746.625,1.0,1592,63,133.67,326,0.008038743399083614,97565.68754687,0.7729647755622864,0.0013,0.05033433437347412,0.008817791938781738,520000
640321510.95,1.0,1593,64,135.78,332,0.00857657939195633,101787.00785237999,0.7640644907951355,0.0013,0.043602511286735535,0.005868017673492432,530000
647879558.075,1.0,1594,65,120.03,338,0.0083494046702981,113367.16123425,0.758882462978363,0.0013,0.024345796555280685,0.006017088890075684,540000
610424212.45,1.0,1588,67,116.08,346,0.009042237885296345,114167.12814728997,0.7602264285087585,0.0013,0.04354862496256828,0.0061206817626953125,550000
653376334.55,1.0,1589,68,126.55,352,0.007882579229772091,113263.17693909998,0.7526040077209473,0.0013,0.0342162661254406,0.001561582088470459,560000
573635480.6,1.0,1590,69,137.02,358,0.009214578196406364,107183.13487321,0.7414142489433289,0.0013,0.0402313657104969,0.006657123565673828,570000
700764134.875,1.0,1590,70,114.86,364,0.0064260694198310375,111775.1413582,0.7411940097808838,0.0013,0.024801023304462433,0.010233402252197266,580000
840542440.85,1.0,1585,72,103.15,372,0.009046538732945919,109368.81885501002,0.7384652495384216,0.0013,0.03552723303437233,0.005230307579040527,590000
994709086.5,1.0,1586,73,102.19,378,0.006576901767402887,93081.86842735998,0.7408297657966614,0.0013,0.027494831010699272,0.07449519634246826,600000
703540441.1,1.0,1586,74,101.98,384,0.009108064696192741,106528.74354366,0.7385087013244629,0.0013,0.041914284229278564,0.034433066844940186,610000
964103093.75,1.0,1587,75,92.93,390,0.008805987425148487,104725.72369677,0.7393779754638672,0.0013,0.03756105154752731,0.030198335647583008,620000
1122696991.7,1.0,1588,76,100.82,396,0.009240657091140747,64490.45027774,0.7384507656097412,0.0013,0.04253865405917168,0.07455837726593018,630000
905608586.1,1.0,1583,78,94.04,404,0.007612462621182203,110489.48838268,0.731451690196991,0.0013,0.03420940786600113,0.043953120708465576,640000
955824359.15,1.0,1583,79,84.02,410,0.008980502374470234,115865.89552358,0.7315784096717834,0.0013,0.03226543590426445,0.020371556282043457,650000
928911604.4,1.0,1584,80,95.03,416,0.006243666168302298,113800.17183743,0.7303281426429749,0.0013,0.03073485940694809,0.029262900352478027,660000
763791024.7,1.0,1585,81,98.46,422,0.009127396158874035,103623.90770639999,0.7348347306251526,0.0013,0.03437921032309532,0.06955987215042114,670000
951356999.7,1.0,1579,83,83.29,430,0.008634212426841259,118412.239939,0.7326872944831848,0.0013,0.034321580082178116,0.0172538161277771,680000
890592180.25,1.0,1580,84,95.29,436,0.009358887560665607,105048.46738442002,0.7286553382873535,0.0013,0.03982727602124214,0.04388159513473511,690000
1017378498.7,1.0,1581,85,78.16,442,0.008824273012578487,115502.54317144,0.7252444624900818,0.0013,0.037244152277708054,0.011107206344604492,700000
1168558193.4,1.0,1582,86,72.41,448,0.005870271474123001,114139.39911197998,0.7259218096733093,0.0013,0.04255157336592674,0.018777966499328613,710000
1066342207.35,1.0,1584,87,73.07,454,0.006868244614452124,110706.94732244,0.7249597907066345,0.0013,0.040409862995147705,0.0934188961982727,720000
1106084397.1,1.0,1580,89,71.03,462,0.008747712709009647,116453.49976530999,0.721515953540802,0.0013,0.033090122044086456,0.035397231578826904,730000
1129321431.0,1.0,1580,90,67.32,468,0.006703633815050125,119663.53768955,0.7211034297943115,0.0013,0.033945679664611816,0.034500837326049805,740000
1074437167.0,1.0,1581,91,74.45,474,0.006764878984540701,119604.68483073,0.7188918590545654,0.0013,0.02450249344110489,-2.7418136596679688e-06,750000
1046474353.2,1.0,1582,92,76.6,480,0.008298083208501339,114720.46878560999,0.7138888239860535,0.0013,0.03782542422413826,0.0046797990798950195,760000
1090468540.4,1.0,1583,93,70.2,486,0.009793445467948914,104792.99978263,0.7098231315612793,0.0013,0.04351924732327461,0.0007363557815551758,770000
1173730857.9,1.0,1580,95,65.78,493,0.009862035512924194,122334.93971058,0.7090938687324524,0.0013,0.03369617462158203,0.006875157356262207,780000
1221708893.0,1.0,1581,96,67.78,499,0.00802966021001339,118451.79974594,0.7088510990142822,0.0013,0.029810018837451935,0.0070098042488098145,790000
1205388879.1,1.0,1581,97,58.4,505,0.006545819342136383,123100.58295341,0.7085205912590027,0.0013,0.024322938174009323,-0.0022128820419311523,800000
1334788824.3,1.0,1582,98,58.62,511,0.009691095910966396,118651.09092759999,0.7041200995445251,0.0013,0.036886971443891525,0.0,810000
1111350293.8,1.0,1578,100,69.11,519,0.009580936282873154,112251.12614220999,0.7008061408996582,0.0013,0.07813279330730438,8.940696716308594e-07,820000
1150075991.6,1.0,1578,101,59.53,525,0.008812780492007732,118546.20627424,0.69532710313797,0.0013,0.02858860418200493,-3.5762786865234375e-07,830000
1360887994.7,1.0,1578,102,54.05,532,0.006409216672182083,115029.09991676,0.6956904530525208,0.0013,0.028748473152518272,7.748603820800781e-07,840000
1264657239.9,1.0,1578,103,54.03,538,0.009581425227224827,119561.74528299,0.6909934878349304,0.0013,0.035870809108018875,-1.1920928955078125e-07,850000
1478038773.2,1.0,1578,104,51.66,544,0.00875222310423851,114968.14233917,0.6890148520469666,0.0013,0.03450839966535568,1.8477439880371094e-06,860000
1419326303.6,1.0,1574,106,58.71,552,0.009086587466299534,113892.02370601,0.685210645198822,0.0013,0.03630605712532997,0.00017344951629638672,870000
1654431141.6,1.0,1574,107,49.72,558,0.009234189987182617,123374.81302433,0.6783407330513,0.0013,0.03012913651764393,0.0010846853256225586,880000
1672018654.2,1.0,1575,108,48.59,564,0.009801317006349564,121390.97880936999,0.6747899055480957,0.0013,0.026664752513170242,2.1457672119140625e-06,890000
1615527683.6,1.0,1575,109,46.42,571,0.008722207508981228,122346.30483839,0.6739020943641663,0.0013,0.035632334649562836,0.0,900000
1573836364.9,1.0,1572,111,46.51,578,0.006524393800646067,122142.53906646,0.6691541075706482,0.0013,0.0286078043282032,0.023193418979644775,910000
1631939451.2,1.0,1573,112,46.02,584,0.009317230433225632,121447.1433016,0.6683288216590881,0.0013,0.035925209522247314,0.009766757488250732,920000
1615518623.6,1.0,1573,113,42.11,590,0.008290000259876251,120117.10997255999,0.6696485877037048,0.0013,0.03435901179909706,-0.00012004375457763672,930000
1747205218.0,1.0,1574,114,43.34,597,0.00902571901679039,121105.39998002,0.6674594879150391,0.0013,0.03666521981358528,-0.001702427864074707,940000
1723332864.0,1.0,1574,115,42.45,603,0.009214923717081547,119612.4,0.6670496463775635,0.0013,0.034134238958358765,-1.1920928955078125e-07,950000
1745151187.6,1.0,1571,117,41.16,610,0.009028437547385693,122056.19997632,0.6646254658699036,0.0013,0.03779188543558121,0.025288701057434082,960000
1573669107.8,1.0,1572,118,51.64,617,0.009141409769654274,112690.61444433,0.6620364189147949,0.0013,0.03427840769290924,0.09086358547210693,970000
1645826874.4,1.0,1572,119,41.42,623,0.006508186925202608,121650.75804006,0.6614899039268494,0.0013,0.03277583792805672,0.07909983396530151,980000
1838390025.6,1.0,1573,120,46.96,629,0.0064398557879030704,118515.54399272,0.6636890172958374,0.0013,0.04336770623922348,-0.0016922950744628906,990000
1867173106.4,1.0,1570,122,42.42,636,0.008746892213821411,120124.03026157999,0.6626126170158386,0.0013,0.03715745359659195,0.10013782978057861,1000000
