train/value_loss,train/std,time/time_elapsed,train/policy_objective,train/n_updates,train/learning_rate,rollout/ep_len_mean,time/fps,time/total_timesteps,train/explained_variance,train/is_line_search_success,rollout/ep_rew_mean,train/kl_divergence_loss
4345242100.8,0.9346827268600464,103,0.06822684407234192,17,0.0013,22.86,1358,140000,1.1920928955078125e-07,1.0,-111754.24974925998,0.005525155924260616
4134465942.4,0.9359304308891296,110,0.06967270374298096,18,0.0013,28.23,1359,150000,0.0,1.0,-122828.74508251,0.00542303454130888
3951114044.8,0.9294708967208862,117,0.07240422070026398,19,0.0013,28.1,1361,160000,0.0,1.0,-125904.2634178,0.005574040114879608
4072114050.0,0.9257335066795349,124,0.07522188127040863,20,0.0013,24.79,1363,170000,0.0,1.0,-117169.07251278003,0.005449444055557251
4332256680.8,0.9232078194618225,131,0.07685194164514542,21,0.0013,29.91,1364,180000,1.7881393432617188e-07,1.0,-132126.67010013998,0.005734553094953299
3965534679.2,0.9139450192451477,140,0.0784333124756813,23,0.0013,31.96,1355,190000,0.0,1.0,-130669.22757779999,0.005984083749353886
3843131068.4,0.9065487384796143,147,0.0702572837471962,24,0.0013,33.82,1356,200000,-1.1920928955078125e-07,1.0,-126540.39219243001,0.005627836100757122
3700790442.0,0.9045649170875549,154,0.07730802148580551,25,0.0013,35.49,1356,210000,5.960464477539063e-08,1.0,-129860.36886726,0.006044936832040548
3657964398.4,0.9040376543998718,162,0.07531935721635818,26,0.0013,41.3,1357,220000,-1.1920928955078125e-07,1.0,-143906.07933402,0.007226924411952496
2980251957.2,0.8961769938468933,170,0.07665849477052689,28,0.0013,41.87,1348,230000,-1.1920928955078125e-07,1.0,-119812.59342665998,0.005922860931605101
3222095246.8,0.8908538818359375,177,0.0850948691368103,29,0.0013,45.4,1350,240000,0.0,1.0,-129094.92147928002,0.006074565462768078
3081859813.2,0.8895394802093506,184,0.08982940018177032,30,0.0013,40.48,1351,250000,0.0,1.0,-120289.08202719002,0.006739807780832052
3048608934.8,0.8872382044792175,192,0.07878094166517258,31,0.0013,39.87,1351,260000,0.0,1.0,-107141.29944174003,0.006668299902230501
2922004325.2,0.8818376660346985,199,0.08030746877193451,32,0.0013,46.03,1352,270000,0.0,1.0,-128013.39046433002,0.006734445691108704
2967134330.8,0.883027970790863,208,0.08429759740829468,34,0.0013,43.79,1345,280000,0.0,1.0,-123688.30968661001,0.006574227008968592
2656276274.4,0.8833224177360535,215,0.08904474228620529,35,0.0013,49.16,1346,290000,-1.1920928955078125e-07,1.0,-124413.46181492001,0.006868141703307629
2742523773.0,0.8808559775352478,222,0.08012691140174866,36,0.0013,46.64,1348,300000,0.0,1.0,-106748.86116106999,0.007204989902675152
2636047021.4,0.877569317817688,229,0.08102191984653473,37,0.0013,46.72,1349,310000,0.0,1.0,-113195.03490141,0.0068523776717484
2606941346.8,0.876261293888092,238,0.08608196675777435,39,0.0013,46.58,1342,320000,0.0,1.0,-106275.81838284,0.007120856083929539
2415548628.6,0.8684806227684021,245,0.08038554340600967,40,0.0013,51.78,1343,330000,0.0,1.0,-89946.01487204,0.006746296770870686
2354113210.2,0.8666593432426453,252,0.0862039178609848,41,0.0013,55.89,1344,340000,0.0,1.0,-105563.89152250998,0.007459854241460562
