time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,rollout/return_std,train/iterations,train/step_size,train/learning_rate,train/delta_std
1456,6,1000.0,10000,-50126529.0993465,,,,,
1485,13,1000.0,20000,-50104556.8902615,,,,,
1497,20,1000.0,30000,-50062955.95134843,,,,,
1510,26,1000.0,40000,-50089700.97654589,,,,,
1517,32,923.9230769230769,50000,-46212398.44060592,,,,,
1513,39,,60000,,16995176.0,0,1.471005539599446e-10,0.02,0.05
1516,46,754.75,70000,-37756628.7393425,,,,,
1514,52,836.5,80000,-41894961.691772506,,,,,
1514,59,671.5,90000,-33581865.840564415,,,,,
1517,65,10.0,100000,-317385.174185,24860760.0,1,1.0056007415659707e-10,0.02,0.05
1522,72,752.5,110000,-37626267.12783975,,,,,
1525,78,835.0,120000,-41767904.204172835,,,,,
1526,85,729.8181818181819,130000,-36491322.50386382,,,,,
1528,91,771.3846153846154,140000,-38604713.05676492,,,,,
1530,98,,150000,,20065130.0,2,1.245942515826215e-10,0.02,0.05
1533,104,1000.0,160000,-50237506.286542505,,,,,
1536,110,1000.0,170000,-50168381.670864,,,,,
1538,116,1000.0,180000,-50142528.71779885,,,,,
1538,123,909.6363636363636,190000,-45569828.798875995,,,,,
1539,129,923.5384615384615,200000,-46265050.474472836,,,,,
1540,136,1000.0,210000,-50128528.020153,17029546.0,3,1.4680368032315982e-10,0.02,0.05
1540,142,1000.0,220000,-50170724.346613325,,,,,
1540,149,1000.0,230000,-50182333.23803716,,,,,
1541,155,889.8888888888889,240000,-44640382.28878544,,,,,
1541,162,917.4166666666666,250000,-46006970.687188,,,,,
1541,168,929.2142857142857,260000,-46596311.00854508,,,,,
1542,175,1000.0,270000,-50214033.306798,12475677.0,4,2.0038992687432255e-10,0.02,0.05
1542,181,1000.0,280000,-50151475.130717,,,,,
1543,187,752.25,290000,-37673630.313444875,,,,,
1544,194,801.8,300000,-40162948.2340302,,,,,
1545,200,787.5714285714286,310000,-39443338.05933064,,,,,
1545,207,12.0,320000,-348662.4125815,20110184.0,5,1.2431512763644292e-10,0.02,0.05
1546,213,504.8333333333333,330000,-25238304.05796617,,,,,
1546,219,628.625,340000,-31448345.5210625,,,,,
1547,226,729.9090909090909,350000,-36542297.34369646,,,,,
1548,232,669.5333333333333,360000,-33516706.003837667,,,,,
1549,238,1000.0,370000,-50064080.1581885,23882152.0,6,1.0468068079028114e-10,0.02,0.05
1550,245,1000.0,380000,-50126086.6757945,,,,,
1550,251,1000.0,390000,-50145937.79338229,,,,,
1550,257,1000.0,400000,-50150733.195954226,,,,,
1549,264,1000.0,410000,-50142620.08262908,,,,,
1549,271,1000.0,420000,-50145510.06514035,,,,,
1548,277,406.6,430000,-20233498.5770516,12478521.0,7,2.0034425507464704e-10,0.02,0.05
1547,284,370.45454545454544,440000,-18422764.83750927,,,,,
1546,290,472.4,450000,-23544827.35314293,,,,,
1546,297,1000.0,460000,-50119850.666001,25667294.0,8,9.740021983395408e-11,0.02,0.05
1545,304,1000.0,470000,-50215092.6694945,,,,,
1545,310,859.7142857142857,480000,-43096024.42302786,,,,,
1544,317,901.8,490000,-45202906.6088177,,,,,
