train/entropy_loss,train/explained_variance,rollout/ep_rew_mean,train/n_updates,train/std,train/value_loss,train/policy_loss,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate
-21.278749465942383,-9.775161743164062e-06,-220985.97323193998,124,0.9997069239616394,1746455296.0,-655996.625,6,10000,28.26,1640,0.0001
-21.28501319885254,-2.6226043701171875e-06,-192311.70840267002,249,1.0000667572021484,2464587776.0,-678344.8125,12,20000,25.61,1662,0.0001
-21.28226089477539,-3.337860107421875e-06,-175204.43289182996,374,0.9998475313186646,3207380480.0,-1101670.25,17,30000,22.51,1667,0.0001
-21.278867721557617,0.0,-200973.75941198002,499,0.9996492266654968,2362988032.0,-773103.75,23,40000,26.03,1669,0.0001
-21.27877426147461,-2.0265579223632812e-06,-190707.8861727,624,0.9996358752250671,3119621888.0,-927763.1875,29,50000,25.25,1669,0.0001
-21.27338981628418,-2.1457672119140625e-06,-190432.78897104997,749,0.9992788434028625,1540626688.0,-600968.875,35,60000,24.16,1668,0.0001
-21.277626037597656,-1.1920928955078125e-07,-191754.14595147,874,0.999563992023468,2369654784.0,-809923.375,42,70000,26.92,1666,0.0001
-21.279836654663086,1.1920928955078125e-07,-164289.99171494003,999,0.9996996521949768,2718407168.0,-982463.0,48,80000,21.39,1664,0.0001
-21.27749252319336,1.1920928955078125e-07,-188040.72102412005,1124,0.9995813965797424,1952178432.0,-793169.8125,54,90000,24.77,1664,0.0001
-21.27495002746582,-2.384185791015625e-07,-178488.48652976993,1249,0.9993762373924255,2767235840.0,-867565.1875,60,100000,24.62,1663,0.0001
-21.26766586303711,0.0,-186814.82853197,1374,0.9989527463912964,1785200256.0,-621351.875,66,110000,25.89,1664,0.0001
-21.261550903320312,0.0,-204190.04698207998,1499,0.9984975457191467,2242482944.0,-769236.625,72,120000,28.6,1665,0.0001
-21.26034927368164,-1.1920928955078125e-07,-186252.86003639997,1624,0.9984124302864075,1701538432.0,-632917.875,78,130000,25.39,1665,0.0001
-21.250329971313477,0.0,-172716.94123319,1749,0.9977909922599792,2403692032.0,-792305.625,84,140000,25.09,1665,0.0001
-21.253393173217773,0.0,-178883.35810491003,1874,0.9979591369628906,1539162240.0,-557307.5625,90,150000,25.18,1665,0.0001
-21.252304077148438,0.0,-208229.36060282003,1999,0.9979283213615417,1194934016.0,-450685.6875,96,160000,28.9,1665,0.0001
