train/n_updates,train/ent_coef_loss,train/critic_loss,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef,time/episodes,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps
57474,2.4262287616729736,4272.9921875,2199,104,364219.15625,15.811464309692383,33182,0.0064,3.0,-138168.30648561,230000
59974,-0.5363851189613342,3287.694091796875,2297,104,401480.875,13.521238327026367,35983,0.0064,6.44,-258466.93869108995,240000
62474,1.654222846031189,5461.68505859375,2395,104,379944.40625,15.783032417297363,38579,0.0064,13.67,-666025.16987853,250000
64974,0.15334808826446533,4820.3701171875,2494,104,346585.03125,16.200109481811523,40714,0.0064,3.0,-138323.59874868,260000
67474,-3.1202151775360107,4345.43994140625,2592,104,296153.9375,19.343244552612305,44048,0.0064,3.0,-138307.80717319,270000
69974,1.3860485553741455,7185.716796875,2690,104,203883.9375,16.468021392822266,47045,0.0064,3.0,-138280.71258103,280000
72474,3.128192663192749,4335.4990234375,2788,104,182006.640625,26.758798599243164,50377,0.0064,3.0,-138280.14601152999,290000
74974,1.3779932260513306,5407.25048828125,2888,103,246075.09375,21.068235397338867,51827,0.0064,3.0,-138463.6552339,300000
77474,3.4719974994659424,3331.64794921875,2989,103,251131.625,18.805866241455078,53933,0.0064,12.97,-639169.1613533299,310000
79974,-0.30624520778656006,1889.3560791015625,3078,103,280618.25,12.919764518737793,56750,0.0064,3.0,-138163.39448178,320000
82474,2.706047534942627,1287.1595458984375,3167,104,272475.125,10.178677558898926,59734,0.0064,3.0,-138144.72575946,330000
84974,3.103336811065674,1310.6943359375,3264,104,237224.8125,10.597244262695312,63054,0.0064,3.0,-138154.90497642,340000
87474,0.15245038270950317,1189.0572509765625,3366,103,250540.390625,11.09358024597168,66350,0.0064,3.0,-138130.26377058998,350000
89974,-1.2726895809173584,1152.3306884765625,3466,103,226275.4375,8.97092056274414,69681,0.0064,3.0,-138147.23328853,360000
92474,-2.3353962898254395,412.7766418457031,3558,103,152612.6875,8.03364372253418,73016,0.0064,3.0,-138131.63259958,370000
94974,0.7096539735794067,335.3142395019531,3648,104,134176.09375,7.208179473876953,76347,0.0064,3.0,-138142.60083009,380000
97474,-0.36138927936553955,265.1266174316406,3739,104,126109.171875,6.165247917175293,79681,0.0064,3.0,-138146.43265186,390000
99974,2.449553966522217,423.2513732910156,3831,104,115326.71875,6.562674522399902,83015,0.0064,3.0,-138127.85738985,400000
102474,1.674788236618042,214.68768310546875,3923,104,112961.921875,5.73784065246582,86347,0.0064,3.0,-138098.07684639998,410000
104974,0.11710122972726822,194.31814575195312,4025,104,112000.6328125,3.2191591262817383,89681,0.0064,3.0,-137719.74909779,420000
107474,0.663919985294342,193.7069549560547,4129,104,111356.3359375,6.28865909576416,93013,0.0064,3.0,-136542.10053722,430000
109974,-1.0062230825424194,211.30584716796875,4232,103,114361.828125,2.9253697395324707,96131,0.0064,3.0,-136526.44053561,440000
112474,0.7090470194816589,313.2685241699219,4336,103,134367.9375,5.147159576416016,98300,0.0064,3.0,-136650.47880855002,450000
114974,-1.9504927396774292,626.2452392578125,4439,103,206000.8125,6.961146831512451,100127,0.0064,3.0,-136534.75759059002,460000
117474,-1.5208666324615479,1329.434326171875,4544,103,237691.859375,7.182034015655518,101539,0.0064,7.03,-334349.43850846007,470000
119974,-0.22039751708507538,1302.749755859375,4649,103,234445.640625,8.029788970947266,104800,0.0064,3.0,-136538.69601666005,480000
122474,-1.8817353248596191,544.0886840820312,4759,102,268469.46875,6.059144020080566,107721,0.0064,3.0,-136536.47309046998,490000
124974,-2.7631375789642334,486.3023986816406,4863,102,245558.875,7.790312767028809,111051,0.0064,3.0,-136520.08112486,500000
127474,-1.2947118282318115,1627.6392822265625,4955,102,315154.375,5.84148645401001,113052,0.0064,3.0,-136494.21186201004,510000
129974,-2.0656652450561523,1699.496337890625,5048,103,294531.4375,9.739532470703125,116049,0.0064,3.0,-136982.73933619002,520000
132474,0.6852730512619019,812.4807739257812,5140,103,248049.84375,17.848648071289062,119366,0.0064,3.0,-136687.71961892,530000
134974,-0.43404850363731384,646.6146850585938,5232,103,205081.34375,12.081733703613281,121084,0.0064,3.0,-145969.33906656998,540000
137474,-1.6328701972961426,543.305908203125,5325,103,226191.8125,12.613953590393066,123397,0.0064,3.0,-136578.68316106003,550000
139974,-2.5422980785369873,462.0316162109375,5417,103,241599.40625,13.208711624145508,126138,0.0064,3.0,-136584.88527998,560000
142474,-1.379321575164795,1281.3095703125,5509,103,314777.71875,6.674446105957031,127450,0.0064,32.99,-1637342.2205509397,570000
144974,2.127903461456299,1497.5379638671875,5600,103,347520.125,11.114267349243164,128945,0.0064,3.0,-136594.1605937,580000
147474,-0.5152214169502258,750.6234130859375,5691,103,370343.375,13.653508186340332,130976,0.0064,3.02,-136963.64952073002,590000
149974,0.11890819668769836,1224.24609375,5783,103,414143.09375,16.95585823059082,131852,0.0064,23.08,-1137592.85207507,600000
152474,-2.0652408599853516,1884.22998046875,5874,103,473552.625,9.603191375732422,132286,0.0064,43.91,-2172953.5172474096,610000
154974,-5.199031352996826,1331.749755859375,5964,103,502121.5625,20.023799896240234,133575,0.0064,3.06,-139801.48618824,620000
157474,-1.6693274974822998,2580.6875,6056,104,506507.59375,15.390348434448242,136044,0.0064,12.97,-636661.4413218102,630000
159974,0.6861362457275391,2055.04052734375,6147,104,492896.84375,17.37982749938965,137613,0.0064,22.94,-1140249.67856033,640000
162474,2.3425142765045166,704.2457885742188,6239,104,414228.5,21.58560562133789,140633,0.0064,3.0,-136870.05510373003,650000
164974,-1.5898089408874512,1408.7742919921875,6331,104,423490.3125,17.070650100708008,143876,0.0064,3.0,-136988.22881643,660000
167474,-1.1437095403671265,621.4329223632812,6423,104,372908.875,15.988922119140625,146762,0.0064,3.0,-137260.57290117,670000
169974,0.359615296125412,760.4483032226562,6514,104,309835.625,10.527506828308105,149595,0.0064,3.08,-138263.23302883998,680000
172474,-1.280173897743225,528.3048095703125,6606,104,248984.125,6.6108598709106445,150914,0.0064,3.0,-136537.62055447002,690000
174974,-0.3288262188434601,1079.324462890625,6697,104,302834.15625,8.401424407958984,152244,0.0064,22.97,-1126499.51036941,700000
177474,1.8190070390701294,1165.5804443359375,6788,104,349127.5,14.220123291015625,152656,0.0064,3.03,-137194.03871362,710000
179974,0.013288810849189758,3454.1953125,6880,104,421912.53125,13.003464698791504,153788,0.0064,7.37,-351214.75788004004,720000
182474,5.902084827423096,1071.777587890625,6971,104,390094.71875,15.304097175598145,157059,0.0064,3.0,-136666.17438353001,730000
184974,1.2895925045013428,900.4652099609375,7062,104,403355.75,11.853643417358398,159395,0.0064,3.0,-136627.87540812,740000
187474,-0.005736775696277618,891.5339965820312,7153,104,405428.46875,14.971835136413574,160698,0.0064,3.0,-136602.35766331,750000
189974,-0.3343164026737213,1963.9949951171875,7246,104,390585.15625,14.840700149536133,163792,0.0064,3.54,-161605.40720914002,760000
192474,-0.6532975435256958,2030.0712890625,7340,104,359505.96875,13.584389686584473,165350,0.0064,3.0,-136556.97107099998,770000
194974,-0.744782567024231,1187.1383056640625,7433,104,350260.03125,12.3140869140625,166757,0.0064,3.02,-136915.03518973,780000
197474,-0.913952112197876,1206.3983154296875,7525,104,344368.21875,12.98063850402832,168426,0.0064,3.0,-136614.92310177,790000
199974,2.319920539855957,1267.2244873046875,7619,104,416889.3125,20.507532119750977,170096,0.0064,3.07,-138007.33138803003,800000
202474,2.222367763519287,1716.788818359375,7711,105,397620.46875,32.72303771972656,171183,0.0064,3.15,-139931.76414044,810000
204974,3.2896981239318848,3089.14892578125,7804,105,455094.84375,37.50178146362305,172055,0.0064,3.11,-138960.69641578002,820000
207474,8.633994102478027,2141.556884765625,7896,105,541785.4375,63.35637664794922,172707,0.0064,33.52,-1662820.1069259502,830000
209974,-2.9124491214752197,3109.02978515625,7989,105,500302.28125,54.280738830566406,173520,0.0064,3.34,-144518.54642822,840000
212474,4.961428642272949,3927.60791015625,8080,105,530220.1875,29.562835693359375,174763,0.0064,13.06,-639720.07706393,850000
214974,17.00919532775879,6705.46044921875,8173,105,578836.125,39.15371322631836,175196,0.0064,67.04,-3308601.51812607,860000
217474,-0.40002113580703735,8317.9716796875,8265,105,614241.375,36.238563537597656,175251,0.0064,138.15,-6851451.463361701,870000
219974,4.447568893432617,11987.9912109375,8358,105,655429.625,49.30014419555664,175612,0.0064,43.97,-2172357.0301667396,880000
222474,-2.1789050102233887,5518.8837890625,8453,105,705207.4375,42.42598342895508,175672,0.0064,83.49,-4157658.91758115,890000
224974,-2.5062408447265625,5657.67578125,8548,105,694767.25,48.91720199584961,175904,0.0064,63.41,-3149221.4913139897,900000
227474,4.093038082122803,9184.333984375,8636,105,706780.625,52.96782302856445,176351,0.0064,36.8,-1771818.7778435098,910000
229974,-1.2037863731384277,10189.892578125,8724,105,743653.5,49.537986755371094,176590,0.0064,37.33,-1797495.60094466,920000
232474,6.867608547210693,9748.0693359375,8814,105,749427.0,23.854211807250977,176713,0.0064,77.14,-3776916.2695352305,930000
234974,-1.1109639406204224,25313.765625,8897,105,639778.875,248.28111267089844,177455,0.0064,3.52,-157230.27072078,940000
237474,6.51121711730957,18674.09765625,8974,105,578430.6875,281.06488037109375,179806,0.0064,5.79,-221316.32195618,950000
239974,5.264953136444092,17853.349609375,9052,106,484594.125,258.7940673828125,181724,0.0064,13.37,-579039.4934872299,960000
242474,-1.1271321773529053,17596.0390625,9131,106,407538.125,223.3321075439453,183120,0.0064,4.15,-169300.03975918997,970000
244974,5.016537189483643,14997.935546875,9210,106,370239.75,287.9412536621094,184421,0.0064,11.84,-502733.6564599301,980000
247474,-7.778346061706543,18382.146484375,9289,106,372120.5625,192.94992065429688,186319,0.0064,3.33,-146266.48052212,990000
249974,5.185985088348389,14691.7412109375,9367,106,334650.15625,137.62844848632812,187892,0.0064,13.29,-649744.31515658,1000000
