train/n_updates,train/ent_coef_loss,train/critic_loss,time/time_elapsed,time/fps,train/actor_loss,train/ent_coef,time/episodes,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps
2474,13.179990768432617,4896.1279296875,93,107,341242.6875,30.07454490661621,296,0.0064,74.71,-3692527.5814413293,10000
4974,3.6048505306243896,7280.9921875,188,105,558608.625,32.690425872802734,406,0.0064,95.5,-4609117.386021409,20000
7474,-2.6090188026428223,6310.75244140625,284,105,662834.625,17.781347274780273,417,0.0064,187.57,-9228475.37080873,30000
9974,3.715250015258789,6818.21240234375,379,105,702897.5,21.27394676208496,649,0.0064,61.84,-3047528.16789132,40000
12474,0.5832952260971069,8576.849609375,474,105,708184.625,60.016597747802734,1060,0.0064,29.7,-1471645.7233319303,50000
14974,2.0846755504608154,13552.4150390625,569,105,712878.5625,46.617305755615234,1358,0.0064,6.9,-316425.17777229997,60000
17474,-2.862567901611328,13429.7880859375,664,105,698192.5,44.47655487060547,2013,0.0064,9.29,-438388.84069019,70000
19974,-1.9825987815856934,8749.3271484375,759,105,737707.9375,25.405363082885742,2296,0.0064,35.22,-1726385.24340853,80000
22474,-1.6205869913101196,9847.9140625,855,105,738025.5,46.08351516723633,2579,0.0064,26.47,-1267414.46358257,90000
24974,7.4322123527526855,11692.09765625,950,105,716616.625,44.34246826171875,3344,0.0064,4.98,-237080.39445946002,100000
27474,-0.8765016794204712,13399.28125,1045,105,698074.125,71.03516387939453,4938,0.0064,6.27,-302184.52111446,110000
29974,1.582466721534729,16553.396484375,1142,105,626614.875,102.3795394897461,7034,0.0064,3.11,-141279.01422456003,120000
32474,0.13199621438980103,9965.068359375,1238,105,540159.375,90.20378112792969,9954,0.0064,3.0,-138166.74225781002,130000
34974,-1.3612929582595825,6743.4345703125,1334,104,499411.875,76.99239349365234,12721,0.0064,3.0,-138281.96187583002,140000
37474,-4.07127571105957,4859.0810546875,1430,104,389773.46875,51.39171600341797,16051,0.0064,3.0,-138309.71212342998,150000
39974,-1.5120697021484375,4644.138671875,1526,104,323079.375,33.50533676147461,19357,0.0064,3.29,-147185.97152684,160000
42474,1.6420286893844604,5984.03857421875,1623,104,241212.3125,33.30683517456055,22416,0.0064,3.14,-141773.5029563,170000
44974,-1.9303297996520996,6316.50146484375,1718,104,210611.015625,28.792421340942383,24322,0.0064,3.03,-138794.30773471,180000
47474,-1.9609925746917725,3979.843505859375,1814,104,220079.1875,19.058761596679688,26572,0.0064,3.1,-140452.18975687,190000
49974,1.7662941217422485,3513.494140625,1910,104,273163.46875,22.63875389099121,27025,0.0064,22.94,-1140716.93730327,200000
52474,-0.6930294036865234,2330.7705078125,2006,104,333713.03125,14.578020095825195,27607,0.0064,3.0,-138204.96611607002,210000
54974,3.605329751968384,3571.26513671875,2102,104,392819.75,20.49872398376465,29884,0.0064,3.0,-138161.43214622,220000
