train/learning_rate,train/policy_objective,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,train/explained_variance,time/total_timesteps,train/kl_divergence_loss,train/std,train/is_line_search_success
0.0013,0.05018233507871628,2073888503.0,-517331.35909504537,215.1818181818182,1654,6,1,1.0132789611816406e-06,10000,0.006464866455644369,1.0021992921829224,1.0
0.0013,0.03208678588271141,1446407394.7,-417865.6943503,193.06,1687,11,2,0.0,20000,0.004862020257860422,0.9874165654182434,1.0
0.0013,0.033954035490751266,1266972297.1,-293649.13779897,162.57,1693,17,3,-1.1920928955078125e-07,30000,0.005812823306769133,0.991431713104248,1.0
0.0013,0.029483191668987274,1247092593.4,-270091.95596341,163.79,1699,23,4,0.0,40000,0.005297457333654165,0.9849219918251038,1.0
0.0013,0.030258890241384506,929126749.3,-271529.41024635,178.24,1627,30,6,1.1920928955078125e-07,50000,0.0050908406265079975,0.9994346499443054,1.0
0.0013,0.030757883563637733,817822467.95,-282846.61734445003,197.16,1648,36,7,0.0,60000,0.004422575701028109,0.9912611842155457,1.0
0.0013,0.03472204878926277,962217659.8,-247857.16309909004,186.57,1664,42,8,-1.1920928955078125e-07,70000,0.006017237901687622,0.9828901886940002,1.0
0.0013,0.03561742231249809,723336072.25,-237200.54120669997,201.05,1677,47,9,0.0,80000,0.005354723427444696,0.9672868847846985,1.0
0.0013,0.03616969659924507,697305298.75,-250394.90256575,223.32,1688,53,10,0.0,90000,0.00537901883944869,0.9718589782714844,1.0
0.0013,0.03316476568579674,531080753.95,-246996.01209195,243.85,1659,60,12,0.0,100000,0.005493130534887314,0.9567222595214844,1.0
0.0013,0.04336966574192047,447695964.475,-255913.92155286,272.26,1668,65,13,0.0,110000,0.00533811142668128,0.9646032452583313,1.0
0.0013,0.03762086480855942,438604935.575,-250463.53308639996,310.91,1678,71,14,0.0,120000,0.0059455097652971745,0.9601762294769287,1.0
0.0013,0.040587473660707474,435664521.9,-245286.52387509003,340.39,1686,77,15,-1.1920928955078125e-07,130000,0.006193830166012049,0.9450775980949402,1.0
0.0013,0.03795842081308365,142001971.1375,-247471.62860233005,394.16,1666,84,17,-1.1920928955078125e-07,140000,0.005422524642199278,0.9236387610435486,1.0
0.0013,0.048193302005529404,74426589.6125,-238475.96030233003,453.98,1674,89,18,0.0,150000,0.0062444754876196384,0.9157252311706543,1.0
0.0013,0.042607907205820084,91602518.1125,-221078.54861207,519.97,1680,95,19,0.0,160000,0.0073317731730639935,0.9052016139030457,1.0
