train/learning_rate,train/policy_objective,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/time_elapsed,train/n_updates,train/explained_variance,time/total_timesteps,train/kl_divergence_loss,train/std,train/is_line_search_success
0.0013,0.03260723873972893,35779420.43476562,-200169.02873435998,568.97,1685,100,20,0.0,170000,0.005675746593624353,0.895082950592041,1.0
0.0013,0.02613588608801365,7133016.808984375,-184291.83663825,649.1,1688,106,21,0.0,180000,0.007967863231897354,0.8909747004508972,1.0
0.0013,0.02684500254690647,12945746.104003906,-167087.08384583003,703.74,1674,113,23,-1.1920928955078125e-07,190000,0.009058421477675438,0.851412832736969,1.0
0.0013,0.04746205732226372,16772848.805078125,-152418.56040351003,774.93,1678,119,24,-1.1920928955078125e-07,200000,0.0077474541030824184,0.8412513136863708,1.0
0.0013,0.045089803636074066,3091387.7396484376,-136062.72634244998,846.87,1683,124,25,-1.1920928955078125e-07,210000,0.007918554358184338,0.8317520618438721,1.0
0.0013,0.04314521700143814,4651747.173828125,-108463.79855938996,880.85,1687,130,26,0.0,220000,0.007756425533443689,0.8235470652580261,1.0
0.0013,0.026209864765405655,5081026.813085938,-90342.08064767,934.82,1674,137,28,0.0,230000,0.00687868008390069,0.8050635457038879,1.0
0.0013,0.043228328227996826,2847841.187841797,-71962.0109917,949.52,1676,143,29,0.0,240000,0.005802585277706385,0.8025514483451843,1.0
0.0013,0.04399961233139038,1337256.1287597655,-54582.91621748999,962.8,1679,148,30,1.1920928955078125e-07,250000,0.005666555371135473,0.8001353144645691,1.0
0.0013,0.048625219613313675,1845114.7424316406,-43795.484713510006,972.95,1683,154,31,0.0,260000,0.006199742201715708,0.802670955657959,1.0
0.0013,0.026861414313316345,36910034.80546875,-40327.296444060004,966.28,1686,160,32,1.1920928955078125e-07,270000,0.006899304687976837,0.7982117533683777,1.0
0.0013,0.04398103058338165,1424591.1467773437,-35355.73088761,980.56,1676,167,34,1.1920928955078125e-07,280000,0.007611896842718124,0.778965175151825,1.0
0.0013,0.03810909390449524,40477370.39570312,-37803.24289446,987.33,1680,172,35,-1.1920928955078125e-07,290000,0.007648055907338858,0.7806406021118164,1.0
0.0013,0.030533358454704285,11431784.458691407,-33591.21249835,987.33,1684,178,36,5.960464477539063e-08,300000,0.005789747927337885,0.7752408981323242,1.0
0.0013,0.021666135638952255,4127864.6947753904,-31804.602745129996,987.33,1685,183,37,0.0,310000,0.00796165969222784,0.7713485360145569,1.0
0.0013,0.023478811606764793,11588090.428222656,-34416.319089690005,987.33,1674,191,39,0.0,320000,0.007911440916359425,0.7634334564208984,1.0
0.0013,0.020722368732094765,9289037.698925782,-37111.2853307,987.33,1676,196,40,0.0,330000,0.008696956560015678,0.7536867260932922,1.0
0.0013,0.023125585168600082,7297841.280859375,-40289.38272764,987.33,1678,202,41,0.0,340000,0.007448423653841019,0.7577467560768127,1.0
0.0013,0.03849547356367111,34153018.31679688,-47895.113300059995,987.33,1680,208,42,0.0,350000,0.004946476314216852,0.7601931691169739,1.0
0.0013,0.03745181858539581,5153432.632910157,-45907.742655459995,993.33,1682,213,43,0.0,360000,0.007519824896007776,0.7577788233757019,1.0
0.0013,0.021654224023222923,3002439.406542969,-43874.77010167001,1000.0,1673,221,45,0.0,370000,0.009922739118337631,0.7471174597740173,1.0
0.0013,0.03030979074537754,2960014.7139648437,-43053.44532589999,1000.0,1675,226,46,0.0,380000,0.009951860643923283,0.7389321327209473,1.0
0.0013,0.029681185260415077,17826796.508398436,-44323.6306228,1000.0,1678,232,47,0.0,390000,0.006814796477556229,0.7329635620117188,1.0
0.0013,0.022942539304494858,17309261.058203124,-45446.18630726999,1000.0,1680,238,48,0.0,400000,0.009268756955862045,0.7337620854377747,1.0
0.0013,0.03543628007173538,20981941.01796875,-53263.75999870001,1000.0,1673,245,50,-1.1920928955078125e-07,410000,0.006580986548215151,0.730501651763916,1.0
0.0013,0.0319279283285141,2916588.0727539062,-51812.616933979996,1000.0,1675,250,51,5.960464477539063e-08,420000,0.0071204244159162045,0.7263343930244446,1.0
0.0013,0.03702940419316292,24497710.421875,-54174.56006073001,1000.0,1678,256,52,0.0,430000,0.007411763072013855,0.728190004825592,1.0
0.0013,0.035933274775743484,2061861.3576660156,-53303.27846100999,1000.0,1680,261,53,0.0,440000,0.008048194460570812,0.732744038105011,1.0
0.0013,0.04469411447644234,13049550.901171874,-47457.67765882,1000.0,1682,267,54,0.0,450000,0.007242044899612665,0.7280929684638977,1.0
0.0013,0.03304510563611984,12407059.777539063,-51536.74210965999,1000.0,1676,274,56,0.0,460000,0.006999703589826822,0.7210800647735596,1.0
0.0013,0.022114576771855354,10366142.043261718,-54988.184274850006,1000.0,1678,280,57,0.0,470000,0.006876746192574501,0.7213985323905945,1.0
0.0013,0.043245889246463776,10770380.563085938,-62536.63970652,1000.0,1680,285,58,1.1920928955078125e-07,480000,0.009045809507369995,0.7172713875770569,1.0
0.0013,0.059780143201351166,20872861.923046876,-56938.87721341999,1000.0,1681,291,59,0.0,490000,0.009646470658481121,0.7134038805961609,1.0
0.0013,0.030011020600795746,1374699.0014404296,-54109.03553726001,1000.0,1675,298,61,0.2933915853500366,500000,0.006464304868131876,0.7100980281829834,1.0
0.0013,0.03840436786413193,1564244.8922851563,-46251.296730359994,1000.0,1677,303,62,0.3382975459098816,510000,0.008732747286558151,0.6973245143890381,1.0
0.0013,0.03329789638519287,798492.0794189454,-44646.43452524,1000.0,1679,309,63,0.4145161509513855,520000,0.006282077636569738,0.6990712285041809,1.0
0.0013,0.0313606783747673,2411360.4049316407,-38966.53897136,1000.0,1681,315,64,0.21712440252304077,530000,0.006348160561174154,0.6994165778160095,1.0
0.0013,0.04644971340894699,547629.7551635742,-36658.6168784,1000.0,1682,320,65,0.5309993326663971,540000,0.007135219871997833,0.7014389634132385,1.0
0.0013,0.028362032026052475,1246019.8153076172,-39335.27218466,1000.0,1676,328,67,-0.02316594123840332,550000,0.00942026637494564,0.7059381008148193,1.0
0.0013,0.03067881427705288,12718803.6578125,-39532.05774752,1000.0,1677,333,68,1.341104507446289e-05,560000,0.007747773081064224,0.7044807076454163,1.0
0.0013,0.02918218821287155,1884461.4927368164,-38004.07423458,1000.0,1678,339,69,0.2105974555015564,570000,0.00657276064157486,0.7043982148170471,1.0
0.0013,0.0183014627546072,27107768.5921875,-35979.58184157,1000.0,1679,345,70,0.01924717426300049,580000,0.005710894707590342,0.7032723426818848,1.0
0.0013,0.016920214518904686,7501863.996777344,-39259.05833438,1000.0,1674,352,72,0.0579533576965332,590000,0.007651700172573328,0.7027834057807922,1.0
0.0013,0.01892298087477684,3069050.2602539062,-41307.15562801,1000.0,1676,357,73,0.1349467635154724,600000,0.006418442819267511,0.7033496499061584,1.0
0.0013,0.027422495186328888,6173071.52421875,-44564.51784283,1000.0,1677,363,74,0.12737059593200684,610000,0.005480403546243906,0.7027671337127686,1.0
0.0013,0.03824169188737869,9611464.621484375,-48445.367760709996,1000.0,1678,369,75,0.0828092098236084,620000,0.006681274622678757,0.6973040699958801,1.0
0.0013,0.023316549137234688,8700241.225927735,-51079.572313280005,1000.0,1679,375,76,0.08504605293273926,630000,0.0069413273595273495,0.6967713236808777,1.0
0.0013,0.02302853949368,714607.6216674804,-51132.83229436,1000.0,1674,382,78,0.49777132272720337,640000,0.006607297342270613,0.6962645649909973,1.0
0.0013,0.015946397557854652,6952321.04753418,-49678.101462939994,1000.0,1675,387,79,0.03191995620727539,650000,0.008570573292672634,0.6926679015159607,1.0
0.0013,0.017171727493405342,7994734.4015625,-48023.13125225,1000.0,1676,393,80,0.10891884565353394,660000,0.009812647476792336,0.690777599811554,1.0
0.0013,0.014405183494091034,11319322.747070312,-53107.69915356,1000.0,1677,399,81,0.04932248592376709,670000,0.006758557166904211,0.6864478588104248,1.0
0.0013,0.010094381868839264,5846915.868457031,-52530.85723257001,1000.0,1673,406,83,0.2044684886932373,680000,0.009657611139118671,0.6826062798500061,1.0
0.0013,0.012208783067762852,25653081.2375,-59348.388859369996,1000.0,1673,412,84,0.10979241132736206,690000,0.008663141168653965,0.6870717406272888,1.0
0.0013,0.0302228182554245,76594092.528125,-70351.16788189001,1000.0,1674,418,85,0.07330143451690674,700000,0.006594543810933828,0.6862716674804688,1.0
0.0013,0.013942196033895016,3369382.9934570314,-69695.91124894,1000.0,1674,423,86,0.1449756622314453,710000,0.00778923137113452,0.6843133568763733,1.0
0.0013,0.017655178904533386,1429582.8103027344,-76223.36821028,1000.0,1675,429,87,0.26504677534103394,720000,0.008409966714680195,0.6818304657936096,1.0
0.0013,0.034452229738235474,5106803.728662109,-86775.75038813,1000.0,1670,436,89,0.07375895977020264,730000,0.009635194204747677,0.684278666973114,1.0
0.0013,0.014659703709185123,5997492.630102539,-89027.61432910999,1000.0,1671,442,90,0.08670085668563843,740000,0.006696177180856466,0.6820297241210938,1.0
0.0013,0.020003175362944603,9838636.741455078,-90131.35415446,1000.0,1672,448,91,0.13542121648788452,750000,0.00983219500631094,0.6808750033378601,1.0
0.0013,0.02569294162094593,908871.9971923828,-87915.37940934999,1000.0,1672,454,92,0.39324837923049927,760000,0.0066165681928396225,0.6809894442558289,1.0
0.0013,0.029334750026464462,364473.90791015624,-94130.22339618,1000.0,1673,460,93,0.5867843329906464,770000,0.009173762053251266,0.682333767414093,1.0
0.0013,0.029285846278071404,2275607.491064453,-100373.79196309998,1000.0,1669,467,95,0.20395034551620483,780000,0.009366814978420734,0.6801829934120178,1.0
0.0013,0.04107266291975975,1286996.1610839844,-91154.08243784001,1000.0,1670,473,96,0.394120991230011,790000,0.006653542164713144,0.6796444058418274,1.0
0.0013,0.026539335027337074,1371264.397314453,-79091.07165566999,1000.0,1670,478,97,0.36738330125808716,800000,0.006300967186689377,0.677840530872345,1.0
0.0013,0.0627022385597229,773920.3105346679,-76605.56523716002,1000.0,1671,484,98,0.4897884130477905,810000,0.009990467689931393,0.673755943775177,1.0
0.0013,0.032821305096149445,1453373.736340332,-67434.61626192999,1000.0,1667,491,100,0.2886475920677185,820000,0.006613986101001501,0.6748233437538147,1.0
0.0013,0.03243087977170944,888373.4162963867,-55216.599442769984,1000.0,1668,497,101,0.44435930252075195,830000,0.006240446120500565,0.6791641116142273,1.0
0.0013,0.024849316105246544,1284966.2180908204,-53121.42716465,1000.0,1669,503,102,0.34396910667419434,840000,0.007289552595466375,0.6793975830078125,1.0
0.0013,0.03485053405165672,928427.5205749512,-50680.1127265,1000.0,1670,508,103,0.441697895526886,850000,0.005924264434725046,0.6813479065895081,1.0
0.0013,0.029036229476332664,820355.1225585938,-50111.70566822,1000.0,1671,514,104,0.45964187383651733,860000,0.00626343535259366,0.6803099513053894,1.0
0.0013,0.021821295842528343,1035366.4752746582,-37880.86097686001,1000.0,1667,521,106,0.3411770462989807,870000,0.0063768550753593445,0.6785340905189514,1.0
0.0013,0.023627428337931633,1254152.8672851562,-27933.33698755,1000.0,1668,527,107,0.2049158811569214,880000,0.006014829967170954,0.6757564544677734,1.0
0.0013,0.0392887257039547,958491.0970336914,-29102.41549473,1000.0,1668,533,108,0.21105676889419556,890000,0.0068626101128757,0.6750909686088562,1.0
0.0013,0.014072339050471783,2359674.2696533203,-29340.331477110005,1000.0,1669,539,109,0.1820136308670044,900000,0.008756594732403755,0.6736157536506653,1.0
0.0013,0.023817818611860275,475218.37575073243,-29718.08986823,1000.0,1664,546,111,0.5605870187282562,910000,0.008275161497294903,0.6712720990180969,1.0
0.0013,0.02122427336871624,736160.5595703125,-29507.889922180002,1000.0,1664,552,112,0.43055546283721924,920000,0.0090792803093791,0.6681294441223145,1.0
0.0013,0.029083948582410812,1292100.7670166015,-29879.136516180002,1000.0,1664,558,113,0.3473414182662964,930000,0.006655141711235046,0.6682794690132141,1.0
0.0013,0.025775596499443054,2774166.164160156,-32645.77560515,1000.0,1665,564,114,0.10537552833557129,940000,0.005787146743386984,0.6673373579978943,1.0
0.0013,0.040483396500349045,4658652.199414062,-34096.541933320004,1000.0,1665,570,115,0.17298662662506104,950000,0.007967550307512283,0.6632146239280701,1.0
0.0013,0.036869484931230545,4022080.6803222657,-37186.89847463,1000.0,1661,577,117,0.18236172199249268,960000,0.009167482145130634,0.6638986468315125,1.0
0.0013,0.022455252707004547,436543.8427734375,-36907.00995982,1000.0,1661,583,118,0.5162710547447205,970000,0.005638970527797937,0.6623099446296692,1.0
0.0013,0.022003768011927605,474676.17123413086,-36175.54145486,1000.0,1662,589,119,0.5995805561542511,980000,0.007724170107394457,0.6615256071090698,1.0
0.0013,0.03245643153786659,670779.6060668945,-36478.34691485,1000.0,1662,595,120,0.4457963705062866,990000,0.009293020702898502,0.6570510268211365,1.0
0.0013,0.03553033620119095,6640156.87578125,-37721.58015248,1000.0,1659,602,122,0.025232315063476562,1000000,0.007037980016320944,0.6541088223457336,1.0
