time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,train/ent_coef,time/fps,time/episodes,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_len_mean
240000,0.001,-63684.074695150004,3489790.0,11.29226303100586,188,514,1271,-992.6519775390625,1.24741792678833,59974,907.43
250000,0.001,-55495.637971520024,983872.625,9.246922492980957,189,524,1322,-439.1393127441406,-0.3492313027381897,62474,906.68
260000,0.001,-50810.868576990004,2580589.0,9.726089477539062,189,534,1374,-194.6949462890625,0.13800612092018127,64974,940.11
270000,0.001,-58631.60531041,801367.375,11.80655288696289,188,544,1428,-2558.3251953125,1.7669991254806519,67474,946.75
280000,0.001,-58288.87283216001,1252483.125,9.50214672088623,188,554,1481,-1849.26513671875,0.7892535924911499,69974,957.59
290000,0.001,-64372.721183839996,2780352.5,7.422053813934326,189,564,1533,-2409.707763671875,-0.03752771019935608,72474,957.59
300000,0.001,-64025.87754360001,1299730.75,8.808411598205566,189,576,1582,-2429.5576171875,-0.253765344619751,74974,955.17
310000,0.001,-64754.475195390005,617751.8125,7.997822284698486,189,585,1632,-1747.041015625,-0.1503068208694458,77474,955.17
320000,0.001,-65207.47565714001,883028.125,7.017594814300537,190,597,1682,-2674.662841796875,0.7007864117622375,79974,947.98
330000,0.001,-72426.5436541,1430706.5,7.5828704833984375,190,608,1733,-2202.638671875,-0.3070334196090698,82474,942.2
340000,0.001,-74313.27893242001,1071100.5,6.950653553009033,190,617,1786,-3903.31494140625,-0.5682770013809204,84974,961.33
350000,0.001,-74718.96487445,10442247.0,8.31593132019043,190,629,1839,-2983.63818359375,1.9385935068130493,87474,956.15
360000,0.001,-80229.33072628,820021.125,8.249086380004883,190,637,1890,-1536.380859375,-0.16777777671813965,89974,960.08
370000,0.001,-75717.02112522,940394.25,9.817418098449707,190,649,1939,-2679.462158203125,-0.17380967736244202,92474,951.39
380000,0.001,-103009.44511223,1540805.25,6.5846686363220215,191,663,1988,-3452.12158203125,1.0297681093215942,94974,914.64
390000,0.001,-129708.32547457,3211360.0,7.610267639160156,191,675,2036,-2182.037841796875,0.7782655358314514,97474,908.73
400000,0.001,-129531.78893181002,11294206.0,7.73600959777832,191,686,2088,-3262.3408203125,0.7680445313453674,99974,903.69
410000,0.001,-141706.4685317,614052.5,6.414885520935059,191,708,2142,-5532.732421875,-0.795626699924469,102474,806.81
420000,0.001,-142995.34871940003,1557610.25,5.539062976837158,190,716,2201,-8912.541015625,-0.06737454235553741,104974,806.81
430000,0.001,-140292.66024284,795450.3125,6.220631122589111,190,735,2257,-11540.931640625,-0.43864521384239197,107474,732.89
440000,0.001,-147003.3005121,704900.375,7.479323863983154,189,758,2316,-10385.9072265625,-0.7577718496322632,109974,615.78
450000,0.001,-130703.34353373,2764178.5,7.0699567794799805,189,778,2377,-15789.603515625,-0.032881513237953186,112474,579.41
460000,0.001,-135097.933935,1643905.75,6.955904960632324,188,796,2438,-16912.4921875,-0.4460251033306122,114974,559.57
470000,0.001,-147865.8176634,2419508.75,7.150148868560791,188,814,2498,-18692.015625,0.6437576413154602,117474,537.93
480000,0.001,-101976.64390173,1106630.625,8.713543891906738,187,844,2556,-20262.2421875,0.76457679271698,119974,464.74
490000,0.001,-50326.75697532999,1209565.75,7.887543201446533,187,879,2618,-22419.35546875,-0.28695642948150635,122474,406.95
500000,0.001,35152.404556120004,997218.0625,7.269676208496094,186,933,2678,-27802.4765625,-1.9609103202819824,124974,238.39
510000,0.001,62765.39596925,18872840.0,12.973628044128418,186,990,2738,-34986.49609375,2.4431979656219482,127474,184.06
520000,0.001,61350.649532949996,7020007.0,11.939112663269043,185,1020,2797,-43888.1484375,0.3662048876285553,129974,218.2
530000,0.001,56476.06696455001,1523135.625,10.399408340454102,185,1075,2854,-48520.53125,0.9050559997558594,132474,243.05
540000,0.001,11774.298667520005,35109144.0,11.621596336364746,184,1110,2918,-57432.3671875,-1.3858832120895386,134974,245.01
550000,0.001,-19676.515009160004,3847684.0,13.456897735595703,184,1131,2976,-57435.859375,1.2494750022888184,137474,273.1
560000,0.001,-12388.72360103,1179763.375,13.30252742767334,184,1162,3031,-54753.453125,-0.6785914301872253,139974,301.34
570000,0.001,73553.36294561,1695023.5,15.782227516174316,184,1222,3086,-54808.1015625,-0.22775590419769287,142474,261.47
580000,0.001,81509.55400820001,5091446.0,14.303228378295898,184,1289,3141,-55567.00390625,-0.526231050491333,144974,168.66
590000,0.001,79613.56974476,10912514.0,12.206986427307129,184,1340,3196,-58886.8203125,0.15701629221439362,147474,185.31
600000,0.001,111595.52890705998,31937592.0,13.96381950378418,184,1407,3254,-66015.84375,-0.3981146812438965,149974,141.08
610000,0.001,126820.26582231,3530701.5,12.531377792358398,183,1529,3320,-67770.1015625,1.2446421384811401,152474,74.73
620000,0.001,122048.45767593998,8369958.0,14.513463020324707,183,1596,3382,-69478.34375,0.25182175636291504,154974,118.84
630000,0.001,124057.68277098,3483812.75,18.59645652770996,182,1704,3444,-71297.125,-0.886323094367981,157474,87.52
640000,0.001,127110.98200800002,1876402.375,15.945488929748535,182,1825,3500,-72257.453125,0.6765283346176147,159974,68.28
650000,0.001,122824.02829899002,2540047.75,16.829788208007812,182,1982,3557,-74488.75,0.6700586080551147,162474,52.68
660000,0.001,130595.07902842,1713001.125,15.654753684997559,182,2131,3612,-77366.65625,-1.0121632814407349,164974,48.96
670000,0.001,131360.92429839002,4423876.0,17.13566017150879,182,2406,3666,-75795.71875,0.0991290882229805,167474,39.03
680000,0.001,131809.85108675002,2462035.0,16.90433692932129,182,2702,3721,-81067.0703125,0.5923420190811157,169974,35.2
690000,0.001,132615.85079643,8273546.0,14.499307632446289,182,3046,3776,-81671.2734375,1.136542558670044,172474,30.92
700000,0.001,131046.29941104999,2358912.5,16.173707962036133,182,3353,3831,-82220.875,1.3215515613555908,174974,29.76
710000,0.001,131871.88670255,1777236.75,16.507469177246094,182,3694,3887,-79620.359375,0.9509595632553101,177474,29.11
720000,0.001,132846.76344587,17261810.0,14.676480293273926,182,4023,3942,-80090.234375,0.1380208432674408,179974,30.67
730000,0.001,132329.72561725,1644298.75,15.543829917907715,182,4376,3998,-83323.296875,0.2726600170135498,182474,27.33
740000,0.001,132339.17730428002,21483944.0,13.716577529907227,182,4741,4053,-82691.8828125,-0.9077847599983215,184974,26.06
750000,0.001,132560.62949278002,1212158.25,15.655264854431152,182,5105,4109,-84749.9375,0.33468717336654663,187474,29.08
760000,0.001,132075.49950794,1290549.75,15.873091697692871,182,5451,4170,-84686.3125,1.317152500152588,189974,28.3
770000,0.001,132011.74483702,1238876.5,16.054096221923828,181,5809,4235,-83959.8125,-0.754335880279541,192474,26.75
780000,0.001,132844.49948683998,16651058.0,14.22607421875,181,6176,4300,-84839.390625,0.9600766897201538,194974,27.37
790000,0.001,131695.46586646,1233166.5,13.487099647521973,181,6545,4361,-85798.1484375,0.163532555103302,197474,27.42
800000,0.001,129332.35722188,34748952.0,15.543367385864258,180,6905,4426,-85766.296875,0.6289488077163696,199974,30.11
810000,0.001,132067.15837912,1095544.5,15.065194129943848,180,7261,4488,-86672.828125,-0.8357923626899719,202474,29.02
820000,0.001,132288.21315647,948323.75,15.492488861083984,180,7632,4550,-87199.796875,0.6869655251502991,204974,28.56
830000,0.001,132765.43586694,1426395.25,17.075950622558594,179,8008,4611,-86536.109375,0.861918032169342,207474,26.14
840000,0.001,132469.69946311,1579780.625,15.955735206604004,179,8372,4675,-86576.5859375,-0.17923450469970703,209974,25.39
850000,0.001,133246.89945321,686219.0,15.683634757995605,179,8757,4739,-88097.765625,-0.8301677703857422,212474,26.44
860000,0.001,133479.19941272,1757767.25,17.047561645507812,179,9146,4798,-87587.421875,-1.04020094871521,214974,25.77
870000,0.001,133160.10634817,1149671.25,15.749893188476562,179,9537,4853,-87230.171875,-0.8930779695510864,217474,26.54
880000,0.001,132082.11552484997,855234.875,15.539383888244629,179,9938,4908,-86624.640625,0.19905610382556915,219974,24.94
890000,0.001,133490.19934902003,1001963.8125,14.949289321899414,179,10345,4967,-86305.25,-0.20268777012825012,222474,24.86
900000,0.001,132712.89946515003,1024967.5,15.434380531311035,179,10757,5026,-86175.640625,-0.6807572245597839,224974,23.86
910000,0.001,132789.8995225,19910864.0,15.39588737487793,178,11173,5086,-88572.34375,-0.2886389493942261,227474,25.1
920000,0.001,132835.69939481,1037404.625,14.61594295501709,178,11596,5146,-88128.15625,-1.1836576461791992,229974,22.9
930000,0.001,133516.99483054,920903.375,14.425838470458984,178,12020,5205,-88187.421875,-0.5988664627075195,232474,24.09
940000,0.001,133520.39952100004,1303955.75,17.127347946166992,178,12451,5260,-89862.484375,-0.6579550504684448,234974,23.89
950000,0.001,133543.98538793,1448058.75,15.360445976257324,178,12885,5315,-89281.0546875,0.27686551213264465,237474,22.75
960000,0.001,133549.54171915,632915.25,15.46260929107666,178,13330,5370,-89826.953125,1.0591439008712769,239974,22.47
970000,0.001,133549.203533,1070348.5,17.042184829711914,178,13770,5427,-88032.7578125,-1.5147948265075684,242474,22.44
980000,0.001,133348.89954654,941155.4375,17.480337142944336,178,14217,5488,-90111.484375,0.5868245363235474,244974,22.33
990000,0.001,133570.19624735,5294851.5,16.541580200195312,178,14677,5544,-89615.078125,-0.5282475352287292,247474,21.39
1000000,0.001,133348.36060227,470877.09375,16.82063865661621,178,15132,5605,-91416.3828125,-0.8420807123184204,249974,22.29
