train/std,train/policy_objective,train/explained_variance,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,train/value_loss,time/fps,time/total_timesteps,train/kl_divergence_loss,train/learning_rate,train/is_line_search_success
0.9981340765953064,0.06986620277166367,-1.1920928955078125e-07,314,-251470.92565499994,1,13.12,26279512492.8,31,10000,0.0090101333335042,0.001,1.0
0.9964413642883301,0.042144306004047394,-1.1920928955078125e-07,450,-213135.82698358997,2,11.19,23099315305.6,44,20000,0.00844009593129158,0.001,1.0
0.9870705604553223,0.02453652210533619,0.0,456,-198585.90734941003,3,10.44,20049188798.4,65,30000,0.003916693851351738,0.001,1.0
0.9764134883880615,0.05788910761475563,0.0,462,-166669.87858904,4,7.62,19417990987.2,86,40000,0.008322074078023434,0.001,1.0
0.9723420143127441,0.02580365352332592,-1.1920928955078125e-07,469,-153421.73042362,6,7.75,17192847694.4,106,50000,0.004570940975099802,0.001,1.0
0.9774737358093262,0.036632027477025986,-1.1920928955078125e-07,475,-157564.74101402002,7,7.38,14879281505.6,126,60000,0.006023737136274576,0.001,1.0
0.9644408226013184,0.050995077937841415,0.0,481,-140243.25843090998,8,6.39,14988230347.2,145,70000,0.007722360547631979,0.001,1.0
0.958434522151947,0.04416726529598236,0.0,487,-130403.27945881,9,5.64,13420651868.8,164,80000,0.00470151798799634,0.001,1.0
0.9477149844169617,0.04345724731683731,1.1920928955078125e-07,493,-135117.7963835,10,5.82,13079993112.0,182,90000,0.0055564758367836475,0.001,1.0
0.936776876449585,0.04600413143634796,-1.1920928955078125e-07,570,-118052.66145589002,12,5.1,11896188620.8,175,100000,0.00523944990709424,0.001,1.0
0.934711217880249,0.0534791573882103,0.0,895,-128527.24063760001,13,5.94,11430221718.4,122,110000,0.006545328069478273,0.001,1.0
0.9230484962463379,0.051840804517269135,0.0,1206,-113282.88845119,14,4.39,12113787742.4,99,120000,0.005657280329614878,0.001,1.0
0.9123988151550293,0.04201430827379227,0.0,1534,-120738.15708562,15,5.1,10558900083.2,84,130000,0.006200479809194803,0.001,1.0
0.911612331867218,0.044150371104478836,-1.1920928955078125e-07,2008,-114232.04568419002,17,4.44,10495855684.0,69,140000,0.007892715744674206,0.001,1.0
0.9052104353904724,0.032218217849731445,0.0,2326,-116154.84114576,18,4.77,12316579061.6,64,150000,0.005737486761063337,0.001,1.0
0.9050703644752502,0.04810008779168129,0.0,2629,-111799.87782090997,19,4.14,9799495578.4,60,160000,0.007246383931487799,0.001,1.0
0.8970109820365906,0.03280466049909592,0.0,2918,-107502.73761833999,20,4.53,10646323083.2,58,170000,0.006282708141952753,0.001,1.0
0.896353542804718,0.035242438316345215,-1.1920928955078125e-07,3145,-113174.37397238001,21,5.06,9827332653.6,57,180000,0.006365187466144562,0.001,1.0
0.8810065388679504,0.04401635378599167,-1.1920928955078125e-07,3152,-102240.67081731,23,4.46,11714009798.4,60,190000,0.006505381781607866,0.001,1.0
0.8787742257118225,0.03324323892593384,0.0,3158,-104268.34873537,24,4.98,8824511635.2,63,200000,0.008622539229691029,0.001,1.0
0.8725425601005554,0.04605093225836754,0.0,3164,-97494.59672345001,25,5.33,8071594708.0,66,210000,0.006244735326617956,0.001,1.0
0.871190071105957,0.0395829901099205,-1.1920928955078125e-07,3169,-91341.76734247999,26,6.64,7324796899.2,69,220000,0.007821411825716496,0.001,1.0
0.844820499420166,0.05474822223186493,0.0,3176,-65810.95325589,28,8.0,6193695685.6,72,230000,0.008216984570026398,0.001,1.0
