time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/step_size,train/delta_std,train/iterations,train/learning_rate,rollout/return_std
320000,2368,135,1000.0,-39811501.295374,,,,,
330000,2368,139,905.1,-35997380.888314605,,,,,
340000,2368,143,791.4285714285714,-31431906.299306575,,,,,
350000,2368,147,505.0,-19967255.953362,1.5813719778101643e-10,0.05,6,0.02,15809056.0
360000,2368,151,752.5,-29978721.246582747,,,,,
370000,2368,156,752.75,-29987856.05199263,,,,,
380000,2368,160,670.6666666666666,-26692125.73544975,,,,,
390000,2368,164,,,1.3156994937979505e-10,0.05,7,0.02,19001300.0
400000,2369,168,1000.0,-39999360.7920855,,,,,
410000,2370,172,1000.0,-39933456.637829795,,,,,
420000,2370,177,876.25,-34899914.02513737,,,,,
430000,2371,181,910.0,-36207290.51359364,,,,,
440000,2372,185,858.9285714285714,-34182864.40971214,,,,,
450000,2372,189,1000.0,-39883831.587733,1.8462500972482587e-10,0.05,8,0.02,13540961.0
460000,2373,193,1000.0,-39902097.255466,,,,,
470000,2374,197,609.9,-24167801.1729101,,,,,
480000,2374,202,674.9166666666666,-26798497.430693414,,,,,
490000,2375,206,5.0,-92138.802731,1.3204075333117515e-10,0.05,9,0.02,18933548.0
500000,2376,210,668.3333333333334,-26689850.338900667,,,,,
510000,2377,214,834.1666666666666,-33313503.042255167,,,,,
520000,2377,218,780.0,-31098969.38968567,,,,,
530000,2378,222,835.0,-33306158.4979625,,,,,
540000,2378,226,858.5714285714286,-34259916.10730514,,,,,
550000,2378,231,1000.0,-39943189.8850005,1.559563450603818e-10,0.05,10,0.02,16030126.0
560000,2378,235,801.6,-31935377.485875,,,,,
570000,2378,239,702.9,-27959081.8567442,,,,,
580000,2377,243,695.7692307692307,-27662901.212417383,,,,,
590000,2378,248,1000.0,-39717108.261639,1.3144012267485294e-10,0.05,11,0.02,19020068.0
600000,2378,252,1000.0,-39885491.858243994,,,,,
610000,2378,256,1000.0,-39925058.56912233,,,,,
620000,2379,260,1000.0,-39947612.119815245,,,,,
630000,2379,264,917.5,-36633950.548681416,,,,,
640000,2379,268,,,1.5606774206311513e-10,0.05,12,0.02,16018684.0
650000,2380,273,753.75,-30044846.519849,,,,,
660000,2380,277,835.8333333333334,-33295022.127262164,,,,,
670000,2381,281,890.5555555555555,-35471079.10175656,,,,,
680000,2381,285,835.1666666666666,-33212826.620282084,,,,,
690000,2382,289,868.1333333333333,-34566740.18908807,,,,,
700000,2382,293,506.0,-20019569.4464195,1.8461944473191494e-10,0.05,13,0.02,13541369.0
710000,2383,297,802.4,-31931539.601131003,,,,,
720000,2383,302,858.8571428571429,-34217729.088096574,,,,,
730000,2384,306,901.2,-35938572.6902049,,,,,
740000,2384,310,847.6153846153846,-33806207.09627269,,,,,
750000,2384,314,,,1.8383455868686838e-10,0.05,14,0.02,13599184.0
760000,2384,318,671.3333333333334,-26718894.692979664,,,,,
770000,2385,322,717.2857142857143,-28542569.508282285,,,,,
780000,2385,326,780.1111111111111,-31062415.830681,,,,,
790000,2385,331,835.0833333333334,-33227956.738002833,,,,,
800000,2386,335,505.0,-20008462.1806945,1.3161470524547525e-10,0.05,15,0.02,18994838.0
810000,2386,339,802.0,-31835689.3754974,,,,,
820000,2386,343,858.5714285714286,-34085229.42873486,,,,,
830000,2386,347,901.0,-35685034.758992895,,,,,
840000,2386,351,849.6153846153846,-33661796.354209766,,,,,
850000,2387,356,,,1.8616061470133616e-10,0.05,16,0.02,13429264.0
860000,2387,360,1000.0,-39961284.561763495,,,,,
870000,2387,364,1000.0,-39913529.7170936,,,,,
880000,2388,368,876.375,-34987153.78155112,,,,,
890000,2388,372,820.8181818181819,-32721268.243993543,,,,,
900000,2388,376,859.2142857142857,-34279412.80689707,,,,,
910000,2389,380,8.0,-90019.463562,1.842727359591123e-10,0.05,17,0.02,13566847.0
920000,2389,385,752.0,-29873273.396017246,,,,,
930000,2389,389,834.6666666666666,-33249632.2111405,,,,,
940000,2390,393,813.4,-32250364.440264203,,,,,
950000,2390,397,844.5,-33520756.70982067,,,,,
960000,2391,401,,,1.60273572191727e-10,0.05,18,0.02,15598329.0
970000,2391,405,673.3333333333334,-26725670.227684665,,,,,
980000,2391,409,836.6666666666666,-33317716.203743335,,,,,
990000,2392,413,782.5555555555555,-31077728.92194644,,,,,
1000000,2392,417,836.9166666666666,-33301395.73726641,,,,,
1010000,2393,421,860.2142857142857,-34236210.733164206,,,,,
