train/learning_rate,train/clip_fraction,train/value_loss,train/std,train/loss,train/n_updates,train/approx_kl,time/time_elapsed,train/clip_range,time/total_timesteps,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/policy_gradient_loss,time/fps,train/explained_variance
0.0003,0.00029296875,6606998854.4,1.000126600265503,3370245120.0,10,0.0017185102,11,0.2,10000,-17.028095711767673,53.62,-305093.7154374,-0.0027650003916278366,837,2.86102294921875e-06
0.0003,0.0,6895278816.4,1.0000864267349243,3329570816.0,20,0.00053058454,23,0.2,20000,-17.028548915684222,50.76,-286554.00957699,-0.001153888327189634,854,0.0
0.0003,0.0,6340322203.2,1.0000041723251343,3286060544.0,30,0.0012553723,34,0.2,30000,-17.027770595252512,49.67,-273777.93739472,-0.0020881094753349315,861,1.1920928955078125e-07
0.0003,0.0,6223692225.2,1.0001786947250366,3052062464.0,40,0.0011863412,46,0.2,40000,-17.028369568288326,50.98,-276693.94443926,-0.0019638251641481475,864,1.1920928955078125e-07
0.0003,0.0,6019554340.8,1.0002397298812866,2794994688.0,60,0.0005203928,62,0.2,50000,-17.029990728199483,48.99,-273781.18693533004,-0.0011025798819900956,798,0.0
0.0003,0.0,6462237219.6,1.0002222061157227,3072233728.0,70,0.0003857782,74,0.2,60000,-17.030040681362152,46.53,-261591.21623368002,-0.0009338835414382629,810,0.0
0.0003,0.0,6225713538.4,1.0002508163452148,3316035840.0,80,0.00034152286,85,0.2,70000,-17.03008166849613,49.37,-260890.68138318002,-0.0009049203465110623,818,0.0
0.0003,0.0,5956380273.2,1.0001548528671265,2836872704.0,90,0.00063583086,96,0.2,80000,-17.029758344590665,46.94,-254628.49223341997,-0.001248192253660818,825,-2.384185791015625e-07
0.0003,0.0,5944640924.0,1.000230312347412,3018128384.0,100,0.00057109504,108,0.2,90000,-17.02963551133871,46.48,-252646.88981106997,-0.001222343880272092,830,0.0
0.0003,0.0,6068610489.6,0.9999442100524902,2910569984.0,120,0.00067184836,124,0.2,100000,-17.02761880457401,43.14,-240426.77540319998,-0.0012313321458350401,801,1.1920928955078125e-07
0.0003,0.0,5940994521.6,1.0000505447387695,2791462400.0,130,0.0008942426,136,0.2,110000,-17.02722947448492,44.95,-245325.91382661,-0.0014913192146195798,807,0.0
0.0003,3.662109375e-05,5995065769.2,0.9999585747718811,3441180416.0,140,0.00122735,147,0.2,120000,-17.02728378623724,44.37,-241596.49180353995,-0.0019671854275657096,813,0.0
0.0003,0.0,6242018807.2,0.9997844696044922,3371446272.0,150,0.0005579032,159,0.2,130000,-17.025693775713442,48.1,-258791.30120965999,-0.00117258529044193,817,1.1920928955078125e-07
0.0003,0.0,6027041826.0,0.9996392726898193,3133523712.0,170,0.00048759294,175,0.2,140000,-17.024796161055566,46.53,-244812.34357355998,-0.001037669753895898,798,-1.1920928955078125e-07
0.0003,0.0,5746442806.6,0.9994828701019287,2709029376.0,180,0.00018777188,186,0.2,150000,-17.02196208834648,39.3,-216947.39625731,-0.0006065404140827013,802,1.1920928955078125e-07
0.0003,0.0,5707960816.8,0.9993570446968079,2922177024.0,190,0.0008632209,198,0.2,160000,-17.020306579768658,42.52,-223498.56931745,-0.001395406394658494,806,2.384185791015625e-07
