train/n_updates,time/total_timesteps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss
109974,440000,-0.18854674696922302,0.001,2321,132283.29998804998,28.858423233032227,19294,189,-101129.1875,24.4,4064245.5
112474,450000,-0.5726965665817261,0.001,2380,133547.62454153,35.022064208984375,19972,189,-100209.015625,14.41,5420350.5
114974,460000,2.301166534423828,0.001,2439,133574.59998772,30.789203643798828,20634,188,-101049.171875,14.09,3565935.75
117474,470000,2.1686487197875977,0.001,2497,133556.40638373,30.17399787902832,21319,188,-101609.1484375,14.75,23863484.0
119974,480000,0.5112294554710388,0.001,2556,133037.56001899,28.311933517456055,21996,187,-103735.109375,14.84,20066552.0
122474,490000,0.15550538897514343,0.001,2615,133577.49728509,29.855575561523438,22651,187,-100545.921875,13.81,13822698.0
124974,500000,-0.3371824622154236,0.001,2673,133559.29929507,30.975099563598633,23355,187,-101139.0078125,14.29,9113136.0
127474,510000,2.4456946849823,0.001,2731,133457.17419148,25.289567947387695,24006,186,-102767.515625,17.03,62814872.0
129974,520000,-1.8473838567733765,0.001,2789,133154.70643255,29.175579071044922,24614,186,-101151.9765625,17.33,2405545.5
132474,530000,3.0987296104431152,0.001,2846,133512.97713582,28.402442932128906,25321,186,-100782.0859375,15.48,12692842.0
134974,540000,2.2425119876861572,0.001,2904,133601.03342294,28.577369689941406,25972,185,-102253.40625,12.87,6902200.0
137474,550000,-2.087996006011963,0.001,2960,133541.00580654002,24.83724021911621,26682,185,-102573.609375,15.16,3341201.25
139974,560000,-0.2984587550163269,0.001,3017,133573.1,25.58160400390625,27408,185,-104770.546875,14.2,2564041.25
142474,570000,0.0019879937171936035,0.001,3074,133366.38114923998,26.924821853637695,28119,185,-102511.28125,14.27,5246206.0
144974,580000,1.2701342105865479,0.001,3131,133566.33453895,26.91617202758789,28792,185,-102876.796875,14.03,13122466.0
147474,590000,0.75898277759552,0.001,3189,133572.15576416,27.4935245513916,29516,185,-101316.7421875,13.98,40988872.0
149974,600000,-1.5309562683105469,0.001,3245,133596.5931984,24.25896453857422,30225,184,-102731.0546875,13.4,32808616.0
152474,610000,-1.457566261291504,0.001,3302,133582.42867865,30.175098419189453,30954,184,-104746.5546875,13.84,7225712.0
154974,620000,1.0040574073791504,0.001,3359,133585.84427541,25.011680603027344,31682,184,-103568.0,13.56,4104268.5
157474,630000,-1.7828706502914429,0.001,3415,133543.53060014,23.070585250854492,32394,184,-103527.765625,14.64,19275510.0
159974,640000,1.591580867767334,0.001,3471,133537.96979842,22.94087028503418,33109,184,-105267.328125,15.37,1803716.375
162474,650000,-1.434289813041687,0.001,3528,132638.28568768,24.59148597717285,33778,184,-102855.3125,19.73,3907887.5
164974,660000,-1.8480116128921509,0.001,3584,133510.13451426,24.98704719543457,34400,184,-102453.140625,15.48,39022776.0
167474,670000,2.5895097255706787,0.001,3640,133522.57811704,24.55982780456543,35035,184,-103381.96875,15.28,19570388.0
169974,680000,1.806228756904602,0.001,3697,133559.58393208002,22.80312156677246,35721,183,-103514.796875,14.62,3684365.0
172474,690000,0.2421170473098755,0.001,3753,133586.88548958,24.130046844482422,36457,183,-101906.3671875,13.68,3087829.5
174974,700000,1.7496215105056763,0.001,3810,133619.16978647,24.411558151245117,37182,183,-104809.546875,12.69,4043732.0
177474,710000,-2.4066057205200195,0.001,3866,133563.07377145998,21.932294845581055,37926,183,-104538.46875,14.47,2904775.0
179974,720000,-0.03475995361804962,0.001,3922,133610.38857225998,24.533790588378906,38685,183,-103696.4921875,12.91,1508248.75
182474,730000,-0.30051863193511963,0.001,3979,133546.57060427,21.061750411987305,39418,183,-106194.53125,15.05,3660210.5
184974,740000,-0.6967995166778564,0.001,4035,133590.93650129,24.953231811523438,40098,183,-104546.78125,13.54,3739153.0
187474,750000,0.3823994994163513,0.001,4092,133563.77298902,26.33437728881836,40808,183,-103245.21875,14.5,13731096.0
189974,760000,-1.682957410812378,0.001,4148,133580.44031484,21.43419647216797,41549,183,-107060.859375,13.86,1814454.125
192474,770000,-0.8879944086074829,0.001,4204,132896.19849652,22.468454360961914,42276,183,-105505.28125,13.25,32244212.0
194974,780000,1.8038103580474854,0.001,4261,133285.28835464,22.516279220581055,43035,183,-107010.5703125,13.43,3346178.0
197474,790000,-1.0785712003707886,0.001,4317,133531.66522682,19.731189727783203,43741,182,-107389.21875,15.61,4331927.5
199974,800000,-0.3469436466693878,0.001,4374,133539.48056282,22.607046127319336,44380,182,-105038.03125,15.31,5472919.5
202474,810000,1.180823564529419,0.001,4430,133372.14810062002,19.431432723999023,45056,182,-104014.484375,17.29,3245741.5
204974,820000,2.664907932281494,0.001,4487,133618.94125583,21.797670364379883,45762,182,-105750.109375,12.69,1949855.75
207474,830000,0.7246696352958679,0.001,4543,133610.46336228,20.641305923461914,46531,182,-106211.234375,12.98,1860952.125
209974,840000,1.7753108739852905,0.001,4599,133602.94107445,20.196964263916016,47251,182,-105634.3515625,13.13,5359376.0
212474,850000,-1.9998066425323486,0.001,4656,133569.19943628,19.056686401367188,47992,182,-105413.015625,14.33,2083317.5
214974,860000,-1.8817646503448486,0.001,4712,133521.50540067998,21.038820266723633,48694,182,-102818.5078125,15.52,2613162.5
217474,870000,-1.1604640483856201,0.001,4769,133586.40123642999,21.612194061279297,49357,182,-105293.578125,13.69,2594018.75
219974,880000,0.8672493100166321,0.001,4825,133620.09554583,19.837846755981445,50138,182,-104666.9921875,12.66,2652104.75
222474,890000,1.9145909547805786,0.001,4882,133608.13708795,22.15389060974121,50893,182,-107709.6328125,13.0,2391282.25
224974,900000,-1.285414218902588,0.001,4938,133572.00874150998,19.231992721557617,51642,182,-104510.296875,14.23,5105007.5
227474,910000,-1.1719141006469727,0.001,4994,133488.43730053998,18.572216033935547,52372,182,-107400.375,13.59,6672263.5
229974,920000,0.1173504889011383,0.001,5051,132543.61750148,21.804698944091797,53044,182,-107130.75,14.82,1567497.125
232474,930000,-0.7946748733520508,0.001,5107,133093.48894545,19.860177993774414,53798,182,-106358.078125,13.36,4284804.5
234974,940000,-1.7522118091583252,0.001,5164,133588.99967596997,22.036048889160156,54420,182,-108149.0390625,13.55,1365169.375
237474,950000,-1.808667778968811,0.001,5220,133574.32276744,19.521955490112305,55156,181,-108327.5390625,14.18,2398142.75
239974,960000,1.1945350170135498,0.001,5277,133619.89956513,20.691661834716797,55937,181,-105861.28125,12.67,4613982.0
242474,970000,3.9121346473693848,0.001,5333,133603.10388880002,16.580373764038086,56718,181,-106873.84375,13.22,1930740.0
244974,980000,0.5502170920372009,0.001,5390,133611.19964925002,20.885787963867188,57441,181,-107035.609375,12.93,2297614.0
247474,990000,-0.6916379928588867,0.001,5446,133627.67335379,22.855878829956055,58199,181,-108244.4375,12.36,107407872.0
249974,1000000,1.2951972484588623,0.001,5502,133594.56201878,19.628416061401367,58955,181,-105916.15625,13.51,1803818.0
