train/n_updates,time/total_timesteps,train/ent_coef_loss,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,time/episodes,time/fps,train/actor_loss,rollout/ep_len_mean,train/critic_loss
2474,10000,-32.4206657409668,0.001,51,-1271452.1061034,2.503901958465576,180,193,2322.64404296875,66.18,33653636.0
4974,20000,-33.605960845947266,0.001,103,-424575.03382217005,5.40075159072876,307,192,7651.4697265625,88.98,60527148.0
7474,30000,-29.627925872802734,0.001,155,-81624.01001077,9.395620346069336,527,192,9782.5693359375,38.61,106880104.0
9974,40000,-24.755882263183594,0.001,207,-115649.34325994,15.33768081665039,610,192,13413.6435546875,95.21,126453616.0
12474,50000,-21.15834617614746,0.001,259,-117791.51455686998,24.32770538330078,714,192,9707.7705078125,103.27,36361744.0
14974,60000,-13.734586715698242,0.001,311,-91362.54718476,36.81692886352539,840,192,8684.359375,75.72,28914022.0
17474,70000,-8.77058219909668,0.001,363,-80919.30915873,50.475162506103516,967,192,10432.89453125,77.82,38805008.0
19974,80000,-4.096271514892578,0.001,414,45521.626687660006,64.0885009765625,1114,192,4763.5322265625,74.64,125605024.0
22474,90000,-2.9645462036132812,0.001,466,63368.5580589,76.80977630615234,1219,192,-3373.6650390625,82.38,114161128.0
24974,100000,-0.6413072347640991,0.001,518,108910.37064238999,86.39839935302734,1420,192,-17345.8984375,43.76,33187060.0
27474,110000,-0.3838754892349243,0.001,571,123181.16029729,90.8561782836914,1674,192,-22567.642578125,38.31,34277220.0
29974,120000,-0.8568969964981079,0.001,623,127780.3720589,92.28440856933594,1949,192,-29927.92578125,35.26,70635128.0
32474,130000,0.910504937171936,0.001,675,124504.61694489,92.95867919921875,2227,192,-43168.5859375,34.55,69817032.0
34974,140000,0.2548365592956543,0.001,727,129588.75384440999,82.57069396972656,2546,192,-47653.1953125,29.96,79157536.0
37474,150000,1.00014328956604,0.001,780,132040.55222506,74.53318786621094,2894,192,-58951.1015625,27.47,61797212.0
39974,160000,-1.4475126266479492,0.001,832,132288.71125392,68.24310302734375,3344,192,-65715.71875,19.17,32926518.0
42474,170000,1.5049467086791992,0.001,884,133204.57584792998,66.54470825195312,3842,192,-72358.9609375,21.79,43001504.0
44974,180000,-1.6517717838287354,0.001,936,128249.76998843999,60.503238677978516,4363,192,-70961.328125,20.08,19409116.0
47474,190000,1.0994213819503784,0.001,989,133503.13328178,62.07193374633789,4901,192,-76546.59375,15.92,21024274.0
49974,200000,0.6105084419250488,0.001,1041,133215.23883580999,58.61555480957031,5470,192,-78087.96875,18.74,81826888.0
52474,210000,0.9949373006820679,0.001,1093,129146.78432314,59.716800689697266,5892,192,-85173.046875,26.79,22004410.0
54974,220000,-1.9541776180267334,0.001,1145,133373.96758489,56.36556625366211,6479,192,-85818.59375,17.08,27856266.0
57474,230000,0.8225498795509338,0.001,1197,133523.66469878,58.289031982421875,7019,192,-86368.1328125,15.66,48162296.0
59974,240000,-0.15699689090251923,0.001,1250,133314.38258669002,53.629371643066406,7613,191,-87129.578125,16.03,16694389.0
62474,250000,-1.949899673461914,0.001,1302,123866.1204839,53.46583938598633,8150,191,-90103.9375,20.34,24675408.0
64974,260000,-0.1535337120294571,0.001,1354,133175.67954928,53.5289306640625,8567,191,-85881.046875,17.35,162713568.0
67474,270000,1.3191592693328857,0.001,1406,133141.2,53.13337707519531,9139,191,-88848.6015625,20.82,73415480.0
69974,280000,-1.0728302001953125,0.001,1459,133486.31842735998,47.71632766723633,9746,191,-89675.6796875,17.05,10315540.0
72474,290000,2.2638792991638184,0.001,1511,133298.09829333,46.557594299316406,10339,191,-91027.65625,19.39,9035696.0
74974,300000,-2.0383949279785156,0.001,1564,133251.19696499998,46.32685089111328,10925,191,-94633.46875,18.14,12441920.0
77474,310000,2.7343907356262207,0.001,1616,133006.03175795,44.22386169433594,11481,191,-95780.4921875,16.04,6057190.0
79974,320000,0.04056161642074585,0.001,1668,132555.19995441998,45.403263092041016,12011,191,-95549.6875,17.17,9753485.0
82474,330000,0.8759573698043823,0.001,1721,133539.34151777,46.80556106567383,12649,191,-97074.59375,15.23,15814507.0
84974,340000,-0.30304378271102905,0.001,1773,133452.19972577,40.82037353515625,13246,191,-96789.59375,17.78,10070487.0
87474,350000,-1.0687017440795898,0.001,1825,132551.18282068,44.086246490478516,13692,191,-97302.265625,17.6,7445291.0
89974,360000,2.016566514968872,0.001,1878,133436.83281177998,42.279659271240234,14264,191,-94847.625,17.41,11084790.0
92474,370000,-0.4619290828704834,0.001,1930,133510.72762512,39.17324447631836,14882,191,-96108.125,15.91,12145470.0
94974,380000,2.4705429077148438,0.001,1983,133545.10314506,39.01401901245117,15526,191,-95382.015625,14.92,44168640.0
97474,390000,1.205011248588562,0.001,2035,133525.53697189,41.6150016784668,16167,191,-96652.9609375,15.81,13281836.0
99974,400000,-0.005261600017547607,0.001,2087,133523.20306344,42.9494514465332,16800,191,-96091.1171875,15.8,14841873.0
102474,410000,-0.9885886907577515,0.001,2146,133532.04971562003,35.045284271240234,17342,191,-95899.90625,15.59,3765444.5
104974,420000,-0.22353088855743408,0.001,2204,133559.59648700999,33.344600677490234,18003,190,-98503.078125,14.53,7415170.0
107474,430000,-0.3439064025878906,0.001,2263,133548.36134091002,35.534156799316406,18679,189,-96048.484375,14.87,38769740.0
