time/total_timesteps,train/value_loss,train/clip_fraction,time/time_elapsed,train/entropy_loss,train/n_updates,train/std,train/learning_rate,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/explained_variance,time/fps
530000,19835351299.2,0.0005615234375,589,-19.715038028359412,640,1.253587245941162,0.0017,-619494.56195304,10067141632.0,-0.001847556627853919,0.2,46.06,0.0015658034,1.1920928955078125e-07,898
540000,19767282419.2,0.00032958984375,600,-19.763321274518965,650,1.2588804960250854,0.0017,-584896.78136966,9532718080.0,-0.002108904039232584,0.2,43.35,0.001723658,-1.1920928955078125e-07,899
550000,19611443916.0,0.00106201171875,615,-19.867333313822748,670,1.2698439359664917,0.0017,-573871.1683033801,10186190848.0,-0.002536436109585338,0.2,41.8,0.002181211,0.0,894
560000,19496108941.6,0.00191650390625,625,-19.91867312639952,680,1.2753734588623047,0.0017,-621235.0146143701,10275868672.0,-0.002720624941139249,0.2,46.04,0.0024728593,1.7881393432617188e-07,895
570000,18949306504.8,0.00150146484375,635,-19.96473694294691,690,1.2796868085861206,0.0017,-584585.63953692,9172796416.0,-0.0023373865331450363,0.2,42.49,0.0023137056,-2.384185791015625e-07,896
580000,19400835764.0,0.00074462890625,645,-20.007658553123473,700,1.2846473455429077,0.0017,-615469.70415237,9786062848.0,-0.0022586414881516246,0.2,46.18,0.0018254534,0.0,897
590000,19103350324.0,0.00107421875,660,-20.10295857489109,720,1.2946540117263794,0.0017,-592867.8713102901,10221617152.0,-0.002310170291821123,0.2,43.98,0.0019214265,1.7881393432617188e-07,892
600000,18534351125.6,0.00399169921875,671,-20.148706391453743,730,1.3000351190567017,0.0017,-557649.6641868299,9243637760.0,-0.002411275593476603,0.2,41.17,0.002684012,-1.1920928955078125e-07,893
610000,18993340639.2,0.0002685546875,681,-20.196051634848118,740,1.304936170578003,0.0017,-566451.4631375899,9381758976.0,-0.0018518909715567133,0.2,41.74,0.0012302983,0.0,894
620000,18571461809.6,0.00281982421875,692,-20.24086764603853,750,1.309766173362732,0.0017,-566912.00694827,9431561216.0,-0.002189160401212575,0.2,41.79,0.002480547,2.384185791015625e-07,895
630000,18118935734.4,0.0025390625,702,-20.291377958655357,760,1.3159573078155518,0.0017,-548276.29735542,9413609472.0,-0.003053119941978366,0.2,39.78,0.0025117141,2.384185791015625e-07,896
640000,18865113660.8,0.00087890625,717,-20.389632757008076,780,1.3255847692489624,0.0017,-544892.25681708,10166680576.0,-0.0018300048912351485,0.2,39.43,0.0018007002,5.960464477539063e-08,891
650000,17964552844.0,0.00435791015625,728,-20.43630086928606,790,1.332148790359497,0.0017,-523258.81510567,8727252992.0,-0.0030966391515903522,0.2,37.46,0.0028132512,0.0,892
660000,18258115108.8,0.0015869140625,738,-20.489451058208942,800,1.3374571800231934,0.0017,-570685.7527316599,9498806272.0,-0.0025507631196887816,0.2,41.82,0.002222815,1.7881393432617188e-07,893
670000,18415184628.8,0.00050048828125,748,-20.538606508076192,810,1.3431185483932495,0.0017,-474428.94130691007,10595493888.0,-0.0018569724446933834,0.2,33.52,0.0012121093,-2.384185791015625e-07,894
680000,17754124584.0,0.00062255859375,763,-20.636806869506835,830,1.3539671897888184,0.0017,-523573.12510208006,9305742336.0,-0.0015377918766716903,0.2,38.23,0.0016202864,5.960464477539063e-08,890
690000,17700708968.8,0.0013671875,774,-20.684757727384568,840,1.3594412803649902,0.0017,-496065.36695632996,8918716416.0,-0.0022022037746864953,0.2,35.26,0.0019907434,2.384185791015625e-07,891
700000,18079214135.2,0.00460205078125,784,-20.73496794998646,850,1.3653470277786255,0.0017,-464336.3529557601,9065432064.0,-0.002843109415152867,0.2,33.46,0.002865346,-2.384185791015625e-07,892
710000,17771944164.0,0.00059814453125,794,-20.787230710685254,860,1.3713890314102173,0.0017,-514852.83428817004,8270539776.0,-0.001988434152735863,0.2,38.08,0.0014620993,0.0,893
720000,17845041833.6,0.011474609375,805,-20.839441569149493,870,1.377091407775879,0.0017,-499068.98281397007,8533648896.0,-0.003697296576228837,0.2,36.05,0.004036966,0.0,894
730000,17553909005.6,0.00078125,820,-20.937573935091496,890,1.3883341550827026,0.0017,-483858.7138781801,8461096960.0,-0.0022120890933365446,0.2,34.31,0.0017669434,-2.384185791015625e-07,890
740000,17683584304.8,0.0027099609375,830,-20.985915011167528,900,1.3942228555679321,0.0017,-611581.8888826801,8504692224.0,-0.002688470476005023,0.2,46.6,0.00253127,0.0,890
750000,17062953117.6,0.00142822265625,841,-21.034917099773885,910,1.3997117280960083,0.0017,-448746.69870843,8936535040.0,-0.0021792922607346554,0.2,32.1,0.0020800822,0.0,891
760000,16689112268.0,0.0032470703125,851,-21.0880131110549,920,1.4065371751785278,0.0017,-530107.9298053,8448011264.0,-0.0027847739489516242,0.2,38.58,0.0024345918,1.7881393432617188e-07,892
770000,17525700294.4,0.00106201171875,862,-21.14016625136137,930,1.4120841026306152,0.0017,-507542.8619046799,9121689600.0,-0.002027181779703824,0.2,37.74,0.0018749931,-1.1920928955078125e-07,893
