time/fps,time/total_timesteps,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/ent_coef_loss,train/actor_loss,time/episodes,train/learning_rate,rollout/ep_rew_mean
144,10000,1.7774832248687744,11551.234375,4.0,69,2474,-18.630552291870117,175916.53125,1181,0.0003,-140349.98105657002
142,20000,4.1523847579956055,19802.525390625,4.0,140,4974,-56.087711334228516,187182.25,3681,0.0003,-140358.18466682
142,30000,8.475635528564453,6741.62158203125,4.0,210,7474,-60.819950103759766,148795.671875,6181,0.0003,-140357.27006011998
142,40000,15.818379402160645,4346.2861328125,4.0,280,9974,-56.36083221435547,165176.609375,8108,0.0003,-140350.56786342
142,50000,30.90622329711914,4508.197265625,4.0,351,12474,-47.987152099609375,164309.28125,10608,0.0003,-140345.2568741
142,60000,57.960872650146484,5109.26611328125,4.01,421,14974,-43.543609619140625,164699.25,13108,0.0003,-130351.25969206
143,70000,100.18518829345703,4343.79296875,4.1,489,17474,-21.005634307861328,143253.859375,15562,0.0003,-131535.89505525999
143,80000,143.6290740966797,6149.03759765625,4.02,557,19974,-4.340642929077148,184901.921875,17918,0.0003,-129814.48494709999
143,90000,145.6053466796875,6725.21044921875,4.17,625,22474,0.1162407398223877,200018.375,20392,0.0003,-122630.62693587001
143,100000,123.44319915771484,5340.5791015625,8.32,695,24974,0.4602799117565155,184296.09375,22147,0.0003,-250289.15995586
142,110000,110.37189483642578,5923.52734375,4.11,769,27474,0.8286926746368408,202472.9375,23942,0.0003,-121919.63377499
143,120000,111.07684326171875,7937.4365234375,4.01,837,29974,0.8632992506027222,250333.5,25652,0.0003,-120311.91041992
143,130000,106.33358001708984,10240.3232421875,4.0,906,32474,0.17515134811401367,319876.1875,27859,0.0003,-120202.42453413003
143,140000,117.14628601074219,11090.22265625,6.32,974,34974,0.37617313861846924,377358.40625,29214,0.0003,-189186.42943758
143,150000,108.55612182617188,6492.9482421875,14.0,1043,37474,-0.969140887260437,356081.34375,31429,0.0003,-419071.46296393
143,160000,108.18937683105469,10400.8974609375,4.01,1111,39974,0.026650279760360718,370768.75,33920,0.0003,-120273.17249335999
144,170000,101.02474975585938,6082.45849609375,4.01,1179,42474,-0.7748709917068481,422742.65625,35441,0.0003,-120155.09103888001
144,180000,95.89193725585938,11010.5263671875,13.96,1247,44974,0.4873203635215759,564871.375,36374,0.0003,-417571.28838388005
144,190000,97.46195220947266,10740.876953125,4.0,1315,47474,-1.502097725868225,694077.8125,37930,0.0003,-119820.41427677998
144,200000,89.07511901855469,8823.283203125,4.0,1383,49974,2.0616767406463623,607441.3125,39807,0.0003,-119838.38053293001
144,210000,87.70726776123047,5395.31494140625,4.0,1456,52474,-0.006798088550567627,707021.6875,41822,0.0003,-119960.00453551998
143,220000,89.62091827392578,7902.52685546875,13.96,1530,54974,-1.622420310974121,719964.25,42998,0.0003,-417880.4691645601
143,230000,80.42259979248047,8347.509765625,4.0,1604,57474,-1.5329184532165527,1095870.25,44349,0.0003,-118751.31135486001
143,240000,78.06687927246094,5717.24267578125,4.0,1678,59974,-0.09401583671569824,941210.3125,45031,0.0003,-118247.28094822001
142,250000,76.60491180419922,6487.265625,13.96,1752,62474,-0.863857626914978,803959.0625,45698,0.0003,-414483.17778512003
142,260000,73.14164733886719,6084.27783203125,23.92,1827,64974,-1.7791250944137573,1023287.3125,46053,0.0003,-710100.90917307
141,270000,76.98743438720703,10108.0703125,94.1,1902,67474,0.24562636017799377,1058392.75,46194,0.0003,-2807464.06747944
141,280000,74.45294189453125,6755.26611328125,127.93,1977,69974,1.0153148174285889,1198947.5,46264,0.0003,-3810419.8079691106
141,290000,69.9187240600586,4802.1923828125,187.53,2053,72474,-2.1093430519104004,1421827.5,46296,0.0003,-5590622.77015247
140,300000,73.2544937133789,7326.8427734375,248.72,2130,74974,-1.5372014045715332,1450205.0,46330,0.0003,-7373795.899078969
140,310000,93.5763168334961,6801.39990234375,338.33,2207,77474,0.5828554034233093,1522838.625,46353,0.0003,-10038870.718600342
