time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/n_updates,time/episodes
4726,4534013952.0,-300.72283935546875,2260.119873046875,37.81,850000,-471894.47423929,179,0.0055,675040.375,212474,25226
4787,879593856.0,50.6232795715332,1149.1422119140625,25.32,860000,-325570.91419584,179,0.0055,492279.0,214974,25463
4847,1302825472.0,-54.17597198486328,124.1235122680664,47.24,870000,-494014.80380287,179,0.0055,342529.71875,217474,25752
4908,998062464.0,6.979215621948242,449.55029296875,23.76,880000,-541629.47804465,179,0.0055,329580.78125,219974,26204
4968,36585607168.0,141.76443481445312,30072.203125,76.44,890000,-1149071.98333026,179,0.0055,665274.5,222474,26401
5029,4188000768.0,85.45248413085938,1285.1158447265625,61.3,900000,-774359.04605889,178,0.0055,570052.375,224974,26602
5090,984941568.0,-23.927982330322266,378.98046875,51.43,910000,-783292.7981711099,178,0.0055,472053.34375,227474,27043
5150,10487369728.0,65.49527740478516,9360.453125,58.68,920000,-899716.0180146799,178,0.0055,773116.5625,229974,27243
5211,3210952704.0,70.70135498046875,1298.6099853515625,35.53,930000,-363857.90861219005,178,0.0055,608680.875,232474,27469
5272,1747591424.0,2.3860392570495605,1255.1761474609375,10.4,940000,-167304.34623097998,178,0.0055,562268.25,234974,27889
5333,1839578624.0,48.72926330566406,327.8000183105469,11.25,950000,-146564.4988541,178,0.0055,414586.9375,237474,28578
5394,581593472.0,4.0935564041137695,35.83529281616211,5.0,960000,-99262.21106105,177,0.0055,240114.46875,239974,30040
5455,326919744.0,-171.62271118164062,576.9467163085938,22.16,970000,-532967.5527842401,177,0.0055,173100.90625,242474,31685
5515,1235126583296.0,-119.2875747680664,96719.140625,72.29,980000,-1472370.9503997099,177,0.0055,3519806.25,244974,32011
5575,172848087040.0,105.78190612792969,76930.0859375,56.36,990000,-363005.52350605995,177,0.0055,2129198.25,247474,32164
5635,41597067264.0,64.02627563476562,7992.9013671875,19.92,1000000,-272966.31889709993,177,0.0055,1581542.5,249974,32657
