time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/learning_rate,train/actor_loss,train/n_updates,time/episodes
52,42438584.0,-113.14936828613281,70.64124298095703,64.02,10000,-340060.5443226299,191,0.0055,37612.03515625,2474,143
104,32258516.0,13.031105041503906,88.18339538574219,95.07,20000,-188268.1905348,190,0.0055,13652.435546875,4974,254
157,47212168.0,5.849186897277832,65.37104797363281,108.67,30000,23303.332884919997,190,0.0055,-5699.7451171875,7474,343
209,34145932.0,7.759374618530273,52.79635238647461,41.75,40000,109396.03349997001,190,0.0055,-27003.2265625,9974,571
262,36896304.0,3.0375990867614746,46.58746337890625,20.37,50000,132313.29958314,190,0.0055,-52218.1796875,12474,1008
315,16495512.0,2.628077983856201,46.95897674560547,31.72,60000,115167.05156432,190,0.0055,-53831.10546875,14974,1210
368,28974452.0,2.713939905166626,130.65110778808594,32.72,70000,-183725.61275529006,190,0.0055,-36752.140625,17474,1635
420,18333790.0,-3.048917293548584,49.64817428588867,15.11,80000,132016.97154327,190,0.0055,-56572.8828125,19974,2072
473,12510720.0,0.4861537516117096,46.02816390991211,14.26,90000,133558.69959658,189,0.0055,-65394.12109375,22474,2747
527,6322563.0,0.6127281188964844,41.72903060913086,14.39,100000,133535.76714735,189,0.0055,-70316.140625,24974,3418
579,8045035.5,-2.7602622509002686,56.578914642333984,54.94,110000,-129726.69309286002,189,0.0055,-79357.234375,27474,3763
632,5063081.0,3.7652196884155273,38.39392852783203,14.3,120000,133543.09945688,189,0.0055,-75884.53125,29974,4273
685,10202876.0,5.572353363037109,49.780391693115234,20.6,130000,123638.65507315,189,0.0055,-64124.9453125,32474,4901
738,19046244.0,28.892139434814453,163.89039611816406,34.52,140000,-160615.89289207,189,0.0055,-28735.9140625,34974,5394
791,6829854.0,2.9500844478607178,43.92024230957031,14.34,150000,133540.09941772,189,0.0055,-70505.125,37474,5963
844,4019302.5,3.1236205101013184,38.35236740112305,14.62,160000,133545.9857258,189,0.0055,-65560.3125,39974,6628
897,5831071.0,-1.0568593740463257,66.59664154052734,25.06,170000,93526.73993291,189,0.0055,-63364.734375,42474,7208
949,9151328.0,2.8029356002807617,48.47807312011719,43.96,180000,-211043.04016437,189,0.0055,-53456.9453125,44974,7680
1002,15491598.0,-12.179624557495117,55.605995178222656,40.15,190000,115685.16029439,189,0.0055,-57675.0859375,47474,8046
1055,8328847.0,4.252848148345947,63.003326416015625,24.87,200000,109868.31506153001,189,0.0055,-62299.1953125,49974,8674
1108,15409310.0,3.996713638305664,49.61573791503906,23.02,210000,8105.945922049992,189,0.0055,-42841.94140625,52474,9111
1160,40777928.0,5.414589881896973,159.85397338867188,27.52,220000,50909.793389180006,189,0.0055,-34740.8984375,54974,9588
1214,13699115.0,-17.98394775390625,55.19078826904297,15.09,230000,133513.09941059,189,0.0055,-61559.953125,57474,10212
1266,5930790.5,-1.2290761470794678,35.025264739990234,14.11,240000,133560.49950325,189,0.0055,-74080.921875,59974,10899
1319,6217504.0,5.998103141784668,52.292198181152344,21.54,250000,132831.44127893,189,0.0055,-71638.46875,62474,11344
1372,7690116.5,6.953713893890381,64.48947143554688,16.35,260000,131253.55434108,189,0.0055,-71556.3828125,64974,11968
1425,4684431.5,-0.6335357427597046,37.58060836791992,14.12,270000,133545.79932834,189,0.0055,-75896.625,67474,12576
1478,10480642.0,7.895072937011719,66.36335754394531,20.29,280000,121408.49228697,189,0.0055,-72895.421875,69974,13118
1530,17441068.0,6.881574630737305,116.66082000732422,25.14,290000,98250.67799734,189,0.0055,-54148.921875,72474,13278
1583,6329248.5,6.397324562072754,47.6088981628418,15.07,300000,133526.92570114,189,0.0055,-59320.125,74974,13830
1636,9989986.0,11.78823184967041,122.73939514160156,23.23,310000,65850.59945515,189,0.0055,-50407.90234375,77474,14423
1689,6470677.5,-2.679565668106079,31.939298629760742,14.05,320000,133522.69955167,189,0.0055,-72291.15625,79974,15083
1742,4696709.0,1.5118392705917358,38.39905548095703,14.12,330000,133553.79111016,189,0.0055,-70711.015625,82474,15577
1795,5984913.0,7.181350231170654,45.1923942565918,14.57,340000,133474.67742056,189,0.0055,-72549.4140625,84974,16257
1848,17039902.0,-1.8626928329467773,44.991485595703125,30.05,350000,127529.73781604001,189,0.0055,-60739.28125,87474,16523
1901,5840929.0,12.627708435058594,52.74863815307617,14.87,360000,133528.5813782,189,0.0055,-57145.09765625,89974,16867
1953,32701544.0,26.29403305053711,116.12651062011719,21.06,370000,132455.65759596997,189,0.0055,-46854.1953125,92474,17288
2006,15984008.0,5.21424674987793,80.52075958251953,15.22,380000,133519.67477416,189,0.0055,-65050.3125,94974,17915
2059,29977218.0,2.6474132537841797,78.42098999023438,15.81,390000,132898.33777816,189,0.0055,-54015.296875,97474,18267
2112,28613828.0,-16.056385040283203,138.4203338623047,16.19,400000,132986.28970619,189,0.0055,-71559.8046875,99974,18823
2170,207177088.0,-6.995856285095215,267.1618957519531,76.9,410000,-1159266.9988066398,188,0.0055,-74385.40625,102474,18985
2229,270718880.0,29.192941665649414,889.0881958007812,170.22,420000,-2339403.22924833,188,0.0055,39707.28125,104974,19046
2287,755279360.0,44.496490478515625,2396.244873046875,136.13,430000,-941730.9731307499,187,0.0055,57948.515625,107474,19119
2346,297124736.0,53.84777069091797,1274.755615234375,123.08,440000,-1575101.0294869202,187,0.0055,168276.921875,109974,19189
2405,111431552.0,17.836856842041016,33.178245544433594,82.44,450000,-166406.68712512,187,0.0055,92457.28125,112474,19295
2463,179264160.0,-40.88979721069336,196.9988555908203,80.46,460000,-33036.898650079995,186,0.0055,82300.15625,114974,19432
2522,75585440.0,27.536937713623047,589.4888305664062,61.33,470000,-325639.15196969995,186,0.0055,103241.0390625,117474,19590
2580,172248544.0,90.38151550292969,783.2655029296875,48.69,480000,-420683.53483861,185,0.0055,98408.328125,119974,19802
2639,78006576.0,14.239336013793945,34.117313385009766,64.61,490000,88064.87768123999,185,0.0055,49956.01171875,122474,19983
2698,250315040.0,-131.29962158203125,76.77286529541016,42.32,500000,108810.55398345,185,0.0055,107641.3203125,124974,20243
2757,80763208.0,65.65478515625,369.6880798339844,102.21,510000,-1028240.5832537499,184,0.0055,61431.89453125,127474,20337
2815,1756592128.0,57.24148941040039,3617.069580078125,83.86,520000,-1007634.5858100802,184,0.0055,279559.5625,129974,20453
2873,116496992.0,60.203575134277344,226.2233123779297,58.7,530000,-118159.70672808001,184,0.0055,179851.109375,132474,20596
2931,484191552.0,-10.050871849060059,105.24275207519531,111.61,540000,-224675.02663803005,184,0.0055,187394.90625,134974,20644
2989,67716392.0,15.577938079833984,52.348182678222656,200.26,550000,-443415.98197104,183,0.0055,112874.421875,137474,20683
3046,64289392.0,21.416095733642578,53.169429779052734,110.2,560000,-150696.38126138,183,0.0055,69889.203125,139974,20774
3104,20233660.0,6.0924072265625,20.251426696777344,162.99,570000,-112204.60608261,183,0.0055,17521.8515625,142474,20820
3161,1037552256.0,-149.27816772460938,1362.065673828125,74.09,580000,-364428.71409856004,183,0.0055,292080.4375,144974,20960
3219,308767264.0,98.23748016357422,1942.6185302734375,108.25,590000,-685256.0889148,183,0.0055,96834.5,147474,21051
3277,97320696.0,35.619075775146484,71.02734375,111.42,600000,-135403.94560255,183,0.0055,48792.28515625,149974,21140
3334,56427704.0,-3.300957679748535,18.296476364135742,25.35,610000,132466.16975067998,182,0.0055,3516.080322265625,152474,21376
3391,59890120.0,5.31973123550415,60.18169403076172,19.32,620000,133383.05074479998,182,0.0055,-14932.82421875,154974,21770
3448,78090856.0,-11.332038879394531,39.11808776855469,18.59,630000,133287.39537189,182,0.0055,-37982.171875,157474,22312
3505,6029002752.0,-77.93386840820312,7197.43701171875,64.08,640000,-777510.1932727401,182,0.0055,461179.25,159974,22556
3562,593851904.0,65.18766021728516,2892.960205078125,144.42,650000,-1360025.5443085104,182,0.0055,243852.75,162474,22644
3619,175671584.0,47.47955322265625,326.6611022949219,64.12,660000,-49470.30415275,182,0.0055,89814.515625,164974,22792
3676,161533840.0,5.430695056915283,134.859375,41.27,670000,49933.941671149994,182,0.0055,33671.375,167474,23079
3733,479980640.0,61.408447265625,1385.814208984375,67.79,680000,-145027.10555843997,182,0.0055,74057.09375,169974,23226
3791,10894400512.0,-490.3111877441406,3432.28564453125,60.74,690000,-465959.30387485,181,0.0055,521617.25,172474,23370
3848,1082351232.0,111.83999633789062,4554.3916015625,88.75,700000,-1172924.2798572201,181,0.0055,248717.140625,174974,23477
3906,486330144.0,23.81859588623047,257.7530517578125,112.72,710000,-740214.94973858,181,0.0055,144496.0,177474,23557
3963,327406400.0,-96.35798645019531,281.59368896484375,91.36,720000,-877148.4136609401,181,0.0055,174411.09375,179974,23655
4022,386657120.0,-41.61909484863281,290.3536376953125,103.4,730000,-778370.9363236199,181,0.0055,144027.359375,182474,23743
4080,17427726336.0,-240.43112182617188,1416.7890625,168.74,740000,-681155.7916401001,181,0.0055,446699.1875,184974,23789
4141,37752750080.0,-49.42284393310547,23581.173828125,81.91,750000,-996804.9741821098,181,0.0055,674948.6875,187474,23909
4198,6756719616.0,65.01612854003906,7424.0244140625,67.47,760000,-470915.20395725995,181,0.0055,630074.625,189974,24038
4255,1362953216.0,20.09423065185547,1165.0821533203125,97.13,770000,-646499.2573711099,180,0.0055,540966.125,192474,24137
4313,5916897792.0,1.3921196460723877,551.2861328125,75.24,780000,-452230.77628393995,180,0.0055,392210.3125,194974,24268
4370,2874792192.0,-118.46942138671875,3099.360107421875,86.42,790000,-801943.1522842699,180,0.0055,490879.90625,197474,24375
4427,16633482240.0,-232.55963134765625,5511.08740234375,127.12,800000,-1693705.6580872794,180,0.0055,1004993.6875,199974,24453
4485,4355597312.0,-57.33516311645508,3921.18798828125,61.44,810000,-675106.4057204399,180,0.0055,735621.4375,202474,24570
4544,62829748224.0,134.7436981201172,19646.912109375,69.34,820000,-886811.97808374,180,0.0055,1070922.75,204974,24690
4605,8763080704.0,23.51779556274414,242.98727416992188,46.85,830000,-656329.68629794,180,0.0055,897375.9375,207474,24856
4666,9363486720.0,-8.874956130981445,2578.51904296875,86.57,840000,-2076666.3680462807,180,0.0055,761635.0,209974,25003
