train/critic_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,time/total_timesteps,time/fps,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef
242.46875,47267,3.0,1707,49974,0.0064,200000,117,102609.8046875,2.4028053283691406,-116586.55147025001,6.629338264465332
191.26858520507812,50593,3.19,1787,52474,0.0064,210000,117,102520.0234375,0.8652443885803223,-119117.12189062004,5.284867286682129
205.1389923095703,53776,3.0,1868,54974,0.0064,220000,117,101963.5,1.7090418338775635,-116582.65391942,5.007138729095459
176.41717529296875,56986,3.0,1940,57474,0.0064,230000,118,102373.7890625,-1.9804408550262451,-116583.22193689,4.676261901855469
233.92037963867188,60274,3.0,2013,59974,0.0064,240000,119,102764.8125,0.3485996723175049,-116582.82576408,4.5445237159729
251.57470703125,63550,3.0,2098,62474,0.0064,250000,119,103347.25,-3.4744739532470703,-116575.34213466002,4.162437438964844
385.2535400390625,66627,3.0,2187,64974,0.0064,260000,118,103379.5234375,-1.3919926881790161,-116590.7371022,5.119341850280762
374.1140441894531,69841,3.04,2273,67474,0.0064,270000,118,104993.1875,-1.1783367395401,-117090.764188,5.3067450523376465
421.2713623046875,73080,3.21,2356,69974,0.0064,280000,118,104663.171875,3.363732099533081,-119370.74130714,9.190469741821289
509.8360900878906,76197,3.0,2440,72474,0.0064,290000,118,106330.7578125,-1.26315176486969,-116582.20373335,5.483315944671631
582.181640625,79152,3.0,2544,74974,0.0064,300000,117,108229.3671875,-3.631664276123047,-116584.40397855999,6.3454694747924805
614.6517333984375,82333,3.01,2642,77474,0.0064,310000,117,108382.6171875,-1.6051924228668213,-116692.32975481,6.653898239135742
397.1640319824219,85608,3.02,2740,79974,0.0064,320000,116,104817.65625,3.4302868843078613,-116778.90898275001,6.17030668258667
348.2238464355469,88836,3.0,2845,82474,0.0064,330000,115,104795.015625,1.8696842193603516,-116586.57006457998,3.6309385299682617
237.40782165527344,92153,3.0,2952,84974,0.0064,340000,115,104323.265625,4.572080612182617,-116583.22083275,4.180914878845215
228.84967041015625,95395,3.0,3059,87474,0.0064,350000,114,103421.3515625,2.392061948776245,-116599.77538710998,4.173381328582764
285.8426513671875,98729,3.0,3167,89974,0.0064,360000,113,103449.078125,0.4768253564834595,-116607.06295808998,4.123208045959473
324.791259765625,102046,3.0,3274,92474,0.0064,370000,112,103859.8671875,-0.2978123724460602,-116606.09397891002,3.160137176513672
113.7328872680664,105376,3.0,3379,94974,0.0064,380000,112,102585.6875,-0.3027035593986511,-116599.69366714997,3.009666681289673
297.5704040527344,108705,3.0,3480,97474,0.0064,390000,112,102802.640625,-0.42525267601013184,-116603.31735489,3.3830015659332275
190.13330078125,111986,3.03,3573,99974,0.0064,400000,111,103153.9296875,-1.2607938051223755,-116865.73327412,2.043654441833496
163.85226440429688,115254,3.0,3667,102474,0.0064,410000,111,102843.125,-0.1452469527721405,-116569.17266125999,1.60592520236969
128.2045135498047,118580,3.24,3770,104974,0.0064,420000,111,102220.125,1.3702430725097656,-120519.44596366001,2.4375
223.75892639160156,121867,3.0,3873,107474,0.0064,430000,111,103088.9140625,-1.3547614812850952,-116570.88986140997,2.011319398880005
87.57861328125,125190,3.14,3981,109974,0.0064,440000,110,101667.390625,0.5618048906326294,-119017.92822650001,1.817548394203186
204.33714294433594,128203,4.24,4091,112474,0.0064,450000,109,103300.375,0.06820061802864075,-141760.81097974,3.457836627960205
431.138427734375,131046,5.06,4199,114974,0.0064,460000,109,107359.796875,-0.5395671725273132,-159644.14564547,5.828178882598877
393.74078369140625,134024,3.69,4300,117474,0.0064,470000,109,105652.203125,5.493659973144531,-126435.79073753001,8.345745086669922
380.4723815917969,137287,3.03,4400,119974,0.0064,480000,109,105342.640625,3.0230350494384766,-116915.67660146,7.68407678604126
418.7713928222656,140578,3.06,4504,122474,0.0064,490000,108,105515.546875,1.467825174331665,-117195.90243768999,6.792543411254883
432.04595947265625,143838,3.02,4611,124974,0.0064,500000,108,106602.8515625,0.5520768165588379,-116809.22256931002,8.422694206237793
568.9733276367188,147100,3.02,4714,127474,0.0064,510000,108,108722.203125,-2.656238317489624,-116799.73981962999,8.368391036987305
416.47662353515625,150420,3.0,4813,129974,0.0064,520000,108,105200.5078125,1.5530236959457397,-116591.02075963,5.522927761077881
134.5245819091797,153753,3.0,4912,132474,0.0064,530000,107,102363.359375,1.5632929801940918,-116584.29341895,3.4094479084014893
166.92323303222656,157049,3.0,5011,134974,0.0064,540000,107,103150.125,-0.3737037777900696,-116585.34374160998,3.0496838092803955
98.03060150146484,160379,3.0,5110,137474,0.0064,550000,107,101883.6953125,-0.8767892122268677,-116579.43746033996,2.7817344665527344
159.51068115234375,163612,3.0,5209,139974,0.0064,560000,107,102302.03125,0.23003380000591278,-116601.13401921999,3.089322566986084
122.6276626586914,166898,3.0,5317,142474,0.0064,570000,107,102956.5625,0.1704237014055252,-116571.61710450998,2.138563394546509
114.89263916015625,170232,3.0,5426,144974,0.0064,580000,106,102283.109375,1.3026955127716064,-116571.03804083,2.3658699989318848
115.53791046142578,173564,3.0,5537,147474,0.0064,590000,106,102548.4453125,0.5753098726272583,-116567.28086848,2.2364072799682617
108.1238784790039,176897,3.0,5646,149974,0.0064,600000,106,102675.234375,-0.19893789291381836,-116572.73614412,1.9270957708358765
105.05657958984375,180232,3.0,5754,152474,0.0064,610000,106,102450.8359375,-0.2762254774570465,-116566.382257,1.3993802070617676
95.3811264038086,183540,3.0,5862,154974,0.0064,620000,105,102246.03125,0.2830033302307129,-116569.04236796004,1.6899569034576416
117.39356994628906,186865,3.0,5970,157474,0.0064,630000,105,101931.2578125,-0.0790303498506546,-116567.25569683999,1.3486807346343994
79.33415222167969,190199,3.0,6107,159974,0.0064,640000,104,101863.9921875,0.3881772756576538,-116568.79714562999,1.4268213510513306
101.61492919921875,193498,3.0,6205,162474,0.0064,650000,104,102511.859375,-0.035313453525304794,-116564.91907425999,1.8082852363586426
89.29557037353516,196831,3.0,6303,164974,0.0064,660000,104,101957.4453125,0.32977771759033203,-116565.3399932,1.7191377878189087
182.86427307128906,200133,3.57,6403,167474,0.0064,670000,104,102683.0625,7.598662853240967,-123993.42474430999,4.744962215423584
169.95120239257812,203112,3.0,6502,169974,0.0064,680000,104,104378.7265625,0.3988899290561676,-116582.02115681,2.3760437965393066
507.74591064453125,206355,3.0,6600,172474,0.0064,690000,104,104364.1171875,-0.4049724340438843,-116592.02635670999,3.654125928878784
478.65521240234375,209229,3.02,6697,174974,0.0064,700000,104,108566.625,-0.6460563540458679,-116788.65137968001,5.388858795166016
364.8526611328125,212492,3.0,6797,177474,0.0064,710000,104,107661.046875,-1.7916514873504639,-116603.46491271,4.518040657043457
300.4470520019531,215817,3.0,6905,179974,0.0064,720000,104,106628.78125,2.251920223236084,-116615.94408958,4.495169639587402
335.0047302246094,219150,3.0,7002,182474,0.0064,730000,104,108165.8984375,2.3092968463897705,-116618.77001914,4.848942279815674
857.5594482421875,220983,16.46,7134,184974,0.0064,740000,103,125336.34375,-17.188283920288086,-467283.84109633014,12.745039939880371
770.1776123046875,224116,3.02,7233,187474,0.0064,750000,103,120381.3515625,0.4562898874282837,-116830.280501,13.474288940429688
891.2274169921875,227424,3.02,7345,189974,0.0064,760000,103,120961.46875,-2.260295867919922,-116819.98170642999,12.520867347717285
740.2188110351562,230752,3.01,7520,192474,0.0064,770000,102,116204.8125,0.24623799324035645,-116699.72878707,8.942150115966797
600.4818725585938,234076,3.01,7623,194974,0.0064,780000,102,114220.3046875,3.4277071952819824,-116694.39214239002,7.8604350090026855
556.3429565429688,237338,3.01,7723,197474,0.0064,790000,102,112088.8125,6.050897598266602,-116700.08213840998,8.326301574707031
472.3695068359375,240558,3.01,7822,199974,0.0064,800000,102,112462.328125,8.615897178649902,-116708.92292305,8.49715518951416
150.33636474609375,243868,3.0,7921,202474,0.0064,810000,102,103604.03125,0.09769303351640701,-116601.76244640003,3.3567795753479004
181.99954223632812,247200,3.0,8024,204974,0.0064,820000,102,107692.125,-0.6560267210006714,-116808.71868716998,2.073516845703125
89.75213623046875,250523,3.0,8125,207474,0.0064,830000,102,103778.625,-1.0690091848373413,-116683.50119663001,2.2324013710021973
203.50497436523438,253594,3.0,8227,209974,0.0064,840000,102,110229.59375,0.09122493863105774,-116597.70358100001,2.9509124755859375
295.4866027832031,256922,3.0,8327,212474,0.0064,850000,102,108966.203125,1.2239794731140137,-116591.53417041,3.8685431480407715
198.66578674316406,260197,3.0,8461,214974,0.0064,860000,101,102381.25,0.4920182526111603,-116574.27308577,2.0220882892608643
188.85174560546875,263158,3.0,8582,217474,0.0064,870000,101,105479.265625,0.8607383966445923,-116585.67954309998,3.350947618484497
499.9925537109375,266267,3.03,8676,219974,0.0064,880000,101,115759.53125,-1.6993439197540283,-116867.61524976,3.299793243408203
568.0425415039062,269548,3.01,8826,222474,0.0064,890000,100,107844.9921875,3.2581593990325928,-116677.62168936004,3.57755184173584
1408.490234375,272828,3.0,8919,224974,0.0064,900000,100,112743.8203125,0.4845503568649292,-116582.31894577002,3.8167383670806885
620.008056640625,275831,3.23,9012,227474,0.0064,910000,100,116553.296875,-3.017350912094116,-120367.02118986,5.066744327545166
1459.5595703125,278760,3.18,9104,229974,0.0064,920000,101,125995.1875,-4.509016036987305,-119455.59305072,6.339212417602539
2105.31201171875,281028,8.67,9198,232474,0.0064,930000,101,128537.0546875,10.40245246887207,-201354.03896453002,9.794116973876953
2448.699462890625,282553,3.25,9283,234974,0.0064,940000,101,156777.9375,-3.8523573875427246,-119129.84647556001,36.71644592285156
3058.4521484375,285422,7.4,9367,237474,0.0064,950000,101,154133.015625,2.3246676921844482,-238527.23072660004,20.249286651611328
1868.5322265625,288355,3.13,9458,239974,0.0064,960000,101,147601.84375,2.083440065383911,-117922.89744547999,21.4478759765625
1455.1876220703125,291542,3.04,9550,242474,0.0064,970000,101,143353.171875,0.6839984655380249,-117070.75235360999,28.313236236572266
1517.9273681640625,294699,3.03,9643,244974,0.0064,980000,101,124445.9609375,13.722046852111816,-117000.17423308,27.06918716430664
1503.6536865234375,297950,3.0,9735,247474,0.0064,990000,101,138944.21875,-2.2412450313568115,-116668.28136029,14.517910957336426
1198.2947998046875,301270,3.01,9827,249974,0.0064,1000000,101,118214.4140625,6.470911026000977,-116707.91858631,8.886962890625
