time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,rollout/return_std,train/step_size,train/delta_std,train/learning_rate,train/iterations
2,3491,-13344724.648878,10000,672.6666666666666,,,,,
5,3678,-15946761.292391201,20000,803.6,,,,,
7,3750,-15519779.314706888,30000,781.2222222222222,,,,,
10,3811,-16299834.835858816,40000,821.0,,,,,
13,3775,,50000,,8817232.0,2.5518212543040875e-11,0.05,0.0018,0
15,3796,-20020470.0,60000,1000.0,,,,,
18,3812,-19905350.4072242,70000,1000.0,,,,,
20,3825,-19901556.711183716,80000,1000.0,,,,,
23,3835,-18086205.91448618,90000,909.8181818181819,,,,,
25,3854,-18370658.083340306,100000,923.6923076923077,,,,,
28,3858,-19814173.167756,110000,1000.0,6761405.5,3.327710676459539e-11,0.05,0.0018,1
31,3862,-14928046.473087998,120000,752.25,,,,,
33,3866,-14977642.267356373,130000,752.5,,,,,
36,3869,-15968445.054185297,140000,802.0,,,,,
38,3865,-16894824.176363304,150000,847.6923076923077,,,,,
41,3868,,160000,,8003217.5,2.811369366473304e-11,0.05,0.0018,2
43,3870,-19813973.401800003,170000,1000.0,,,,,
46,3871,-19869014.0759094,180000,1000.0,,,,,
49,3872,-19857788.661555875,190000,1000.0,,,,,
51,3873,-19856715.6384539,200000,1000.0,,,,,
54,3875,-19876188.862523463,210000,1000.0,,,,,
56,3876,-19884329.61031127,220000,1000.0,,,,,
59,3878,-19959288.3921825,230000,1000.0,107538.921875,2.0922656940314255e-09,0.05,0.0018,3
61,3879,-19932196.99172175,240000,1000.0,,,,,
64,3880,-19788081.333484285,250000,1000.0,,,,,
66,3882,-19821606.759011667,260000,1000.0,,,,,
69,3884,-19819609.212961417,270000,1000.0,,,,,
72,3886,-18491216.448821533,280000,934.2666666666667,,,,,
74,3887,-19945838.219085,290000,1000.0,4935467.5,4.558838723189851e-11,0.05,0.0018,4
77,3887,-19901585.43532725,300000,1000.0,,,,,
79,3888,-19879971.724398427,310000,1000.0,,,,,
82,3892,-19855848.364863776,320000,1000.0,,,,,
84,3892,-18357422.511644997,330000,928.7692307692307,,,,,
87,3893,-18565752.528921198,340000,938.2666666666667,,,,,
89,3893,-19722481.649485998,350000,1000.0,4838941.0,4.649777785026288e-11,0.05,0.0018,5
92,3894,-19688988.39105325,360000,1000.0,,,,,
94,3895,-19293329.080601852,370000,1000.0,,,,,
97,3895,-19438011.483315334,380000,1000.0,,,,,
100,3897,-19471467.63583425,390000,1000.0,,,,,
102,3897,-19523598.107225213,400000,1000.0,,,,,
105,3898,-19863123.420718,410000,1000.0,4902744.0,4.5892668137925696e-11,0.05,0.0018,6
107,3898,-15972776.39244,420000,803.6,,,,,
110,3899,-17464557.379635375,430000,877.25,,,,,
112,3899,-17913620.9699935,440000,901.8,,,,,
115,3899,-15923841.837650599,450000,802.4666666666667,,,,,
117,3899,-19919750.0,460000,1000.0,7963592.5,2.825358176583581e-11,0.05,0.0018,7
120,3900,-19871507.3941985,470000,1000.0,,,,,
123,3900,-19890231.081761,480000,1000.0,,,,,
125,3900,-19884109.505395446,490000,1000.0,,,,,
128,3901,-19890404.680578183,500000,1000.0,,,,,
130,3903,-18557078.435553197,510000,934.8,,,,,
133,3903,-19994816.00433,520000,1000.0,4915092.5,4.577736800737142e-11,0.05,0.0018,8
135,3904,-19969319.65809325,530000,1000.0,,,,,
138,3904,-19935062.11805017,540000,1000.0,,,,,
140,3904,-19911487.237173777,550000,1000.0,,,,,
143,3904,-19909704.38431418,560000,1000.0,,,,,
145,3905,-19899559.197184857,570000,1000.0,,,,,
148,3905,,580000,,88007.1796875,2.5566095906981445e-09,0.05,0.0018,9
151,3906,-19897196.208486333,590000,1000.0,,,,,
153,3906,-19918972.986823402,600000,1000.0,,,,,
156,3907,-19923054.5305555,610000,1000.0,,,,,
158,3906,-16629508.495876169,620000,834.75,,,,,
161,3906,-17295844.859646734,630000,867.8,,,,,
163,3907,-19986446.807831,640000,1000.0,6777378.0,3.3198679916246476e-11,0.05,0.0018,10
166,3907,-19918792.883906253,650000,1000.0,,,,,
168,3907,-19858870.2454065,660000,1000.0,,,,,
171,3908,-17876669.5457621,670000,902.3,,,,,
173,3908,-18220788.370868083,680000,918.5833333333334,,,,,
176,3908,-18525390.270736203,690000,934.8666666666667,,,,,
179,3908,-19760652.456231,700000,1000.0,4918319.5,4.574733300510836e-11,0.05,0.0018,11
181,3909,-13221197.616415,710000,672.3333333333334,,,,,
184,3909,-14909737.152519625,720000,754.25,,,,,
186,3912,-16203656.110932093,730000,821.2727272727273,,,,,
189,3912,-15573492.589041501,740000,788.5714285714286,,,,,
191,3912,-20005934.666284,750000,1000.0,7928354.5,2.837915492881482e-11,0.05,0.0018,12
194,3913,-15022347.7064185,760000,754.25,,,,,
196,3914,-16896722.94069157,770000,859.5714285714286,,,,,
199,3914,-17564951.199621,780000,890.7777777777778,,,,,
201,3914,-18144494.051401917,790000,918.0833333333334,,,,,
204,3914,-18380719.964429926,800000,929.7857142857143,,,,,
206,3914,-19901605.571878,810000,1000.0,4918186.0,4.574857506711716e-11,0.05,0.0018,13
209,3914,-19899344.102059335,820000,1000.0,,,,,
211,3915,-19846388.246196836,830000,1000.0,,,,,
214,3915,-19841734.334540375,840000,1000.0,,,,,
217,3915,-19874989.620053273,850000,1000.0,,,,,
219,3915,-18476722.79431407,860000,929.0,,,,,
222,3915,-19936765.449364,870000,1000.0,4942615.0,4.5522460800917486e-11,0.05,0.0018,14
224,3915,-14941051.4923565,880000,752.75,,,,,
227,3915,-16989910.785574857,890000,858.7142857142857,,,,,
229,3915,-17656078.072059225,900000,890.1111111111111,,,,,
232,3915,-18207186.329575002,910000,917.5833333333334,,,,,
234,3915,-18426051.9229955,920000,929.3571428571429,,,,,
237,3915,-10057205.698804,930000,509.0,4937033.0,4.557393004644972e-11,0.05,0.0018,15
239,3917,-9917545.047021,940000,506.1666666666667,,,,,
242,3918,-13175368.298976336,950000,670.7777777777778,,,,,
244,3918,-13223522.778757667,960000,670.6666666666666,,,,,
247,3918,,970000,,9426359.0,2.3869238183205077e-11,0.05,0.0018,16
250,3918,-19899486.773772,980000,1000.0,,,,,
252,3918,-15932675.004548404,990000,802.6,,,,,
255,3918,-15416037.316212334,1000000,780.0,,,,,
257,3918,-14897923.7722065,1010000,753.0833333333334,,,,,
260,3918,-15902100.578067465,1020000,802.4666666666667,,,,,
