train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,time/fps,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,time/total_timesteps
143232.765625,-504447.68428608996,35,261,5013.927734375,0.0064,2474,281,45.234901428222656,-2.6099979877471924,29.4,10000
119582.6015625,-438522.06657607,69,664,4015.3291015625,0.0064,4974,285,57.819679260253906,-3.1323742866516113,38.99,20000
102471.203125,-191193.74736932002,104,1077,3515.886962890625,0.0064,7474,286,44.554901123046875,-0.5845550298690796,20.57,30000
90558.0390625,-289121.28422652,139,1471,3795.15087890625,0.0064,9974,285,53.58015441894531,1.6995205879211426,28.16,40000
86023.390625,-189814.88528068,174,1758,3696.596435546875,0.0064,12474,286,48.7894401550293,-1.13174569606781,33.24,50000
78688.1015625,-313765.42869782,209,1969,3610.7666015625,0.0064,14974,286,47.762508392333984,0.8339321613311768,43.42,60000
71602.765625,-464119.2986399299,244,2167,3785.546630859375,0.0064,17474,286,52.236995697021484,2.5927510261535645,55.98,70000
64533.90625,-448347.1034711999,279,2349,3960.520751953125,0.0064,19974,285,39.53199768066406,0.1894875466823578,57.83,80000
60835.3828125,-617838.04924374,314,2485,3821.005615234375,0.0064,22474,285,44.651451110839844,-0.20691992342472076,73.46,90000
59566.828125,-706524.90411881,350,2692,4026.005615234375,0.0064,24974,285,36.443458557128906,-1.093926191329956,59.01,100000
