train/std,rollout/ep_len_mean,train/policy_loss,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/entropy_loss,rollout/ep_rew_mean,train/value_loss,train/explained_variance,train/n_updates
1.0116029977798462,19.93,-2054632.625,990,10,10000,0.0007,-21.452651977539062,-647375.53234702,11773848576.0,0.0,499
1.018858551979065,24.58,-1668347.375,1018,19,20000,0.0007,-21.554506301879883,-843893.2849852599,11729954816.0,-1.1920928955078125e-07,999
1.0187820196151733,25.89,-2871780.25,1024,29,30000,0.0007,-21.55669593811035,-1041257.7157173901,22488338432.0,-1.1920928955078125e-07,1499
1.0263488292694092,18.48,-2332145.25,1024,39,40000,0.0007,-21.66871452331543,-700939.4576574601,14459726848.0,0.0,1999
1.030266284942627,25.66,-2271336.75,1023,48,50000,0.0007,-21.723888397216797,-940242.0148077899,14187146240.0,-1.1920928955078125e-07,2499
1.0345280170440674,35.83,-1951897.625,1025,58,60000,0.0007,-21.783672332763672,-1299748.18219157,10594254848.0,1.1920928955078125e-07,2999
1.0367268323898315,39.38,-2872360.0,1026,68,70000,0.0007,-21.822675704956055,-1462878.55800205,19011561472.0,-1.1920928955078125e-07,3499
1.0433140993118286,24.39,-2400264.5,1027,77,80000,0.0007,-21.914932250976562,-814596.16654445,14577696768.0,-1.1920928955078125e-07,3999
1.0518778562545776,17.85,-2250409.5,1026,87,90000,0.0007,-22.036636352539062,-605228.3896799099,12525237248.0,0.0,4499
1.05625581741333,16.34,-2133817.5,1025,97,100000,0.0007,-22.098066329956055,-543588.23294849,11973519360.0,-1.1920928955078125e-07,4999
1.0544970035552979,17.67,-2569756.25,1024,107,110000,0.0007,-22.076030731201172,-623407.18836846,14352312320.0,5.960464477539063e-08,5499
1.0507861375808716,16.96,-2685994.5,1025,117,120000,0.0007,-22.015039443969727,-624537.3204393599,18050793472.0,5.960464477539063e-08,5999
1.0547250509262085,19.91,-2673868.25,1026,126,130000,0.0007,-22.0601863861084,-766372.57490916,19191296000.0,0.0,6499
1.0579006671905518,50.86,-2240273.75,1029,135,140000,0.0007,-22.10383415222168,-1943120.8662949,13436215296.0,-2.384185791015625e-07,6999
1.060012936592102,15.79,-2123997.5,1031,145,150000,0.0007,-22.13149642944336,-527387.85118468,10875203584.0,1.1920928955078125e-07,7499
1.0578536987304688,17.45,-2002836.375,1033,154,160000,0.0007,-22.097152709960938,-609388.3951756299,12089719808.0,0.0,7999
1.0620898008346558,12.23,-2794064.5,1034,164,170000,0.0007,-22.164213180541992,-433322.57427161,19299129344.0,0.0,8499
1.0634162425994873,8.16,-1932486.375,1034,174,180000,0.0007,-22.182506561279297,-276327.49948493997,10059900928.0,0.0,8999
1.0739001035690308,12.63,-2415543.75,1034,183,190000,0.0007,-22.327884674072266,-466985.5562128499,13810625536.0,0.0,9499
1.0799537897109985,11.9,-2475578.25,1033,193,200000,0.0007,-22.40960693359375,-378292.29448037,15590981632.0,-1.1920928955078125e-07,9999
