train/std,train/value_loss,time/total_timesteps,train/policy_loss,train/learning_rate,train/entropy_loss,rollout/ep_len_mean,train/explained_variance,train/n_updates,time/fps,time/time_elapsed,rollout/ep_rew_mean
1.0113812685012817,9016386560.0,10000,-1446245.0,0.0007,-21.449251174926758,47.02,0.0,499,1143,8,-827101.10783345
1.0196454524993896,2512257536.0,20000,-848575.5,0.0007,-21.56390953063965,43.94,0.0,999,1139,17,-841808.4389473998
1.019370436668396,5466113024.0,30000,-1274151.75,0.0007,-21.56536865234375,32.86,0.0,1499,1139,26,-709523.62041442
1.0242838859558105,3845508608.0,40000,-1170048.25,0.0007,-21.635103225708008,36.01,0.0,1999,1107,36,-720202.23349579
1.0268625020980835,6297223680.0,50000,-1498295.75,0.0007,-21.672151565551758,36.99,0.0,2499,1104,45,-660586.6082418701
1.033739447593689,5721640448.0,60000,-1280418.75,0.0007,-21.76858139038086,31.7,0.0,2999,1102,54,-567467.96488044
1.035510540008545,2852345344.0,70000,-1098070.25,0.0007,-21.803638458251953,36.47,1.1920928955078125e-07,3499,1107,63,-662906.4574364701
1.0439261198043823,1649874432.0,80000,-808907.375,0.0007,-21.922243118286133,48.17,0.0,3999,1110,72,-817900.5128825499
1.0520368814468384,3659292672.0,90000,-1221260.375,0.0007,-22.03730583190918,47.96,0.0,4499,1113,80,-946415.6369341302
1.0578521490097046,2617239552.0,100000,-973520.0,0.0007,-22.11737060546875,40.47,1.7881393432617188e-07,4999,1119,89,-667743.1889980901
1.0554721355438232,2391839744.0,110000,-989172.3125,0.0007,-22.089527130126953,35.15,-1.1920928955078125e-07,5499,1125,97,-617007.86095303
1.050655722618103,3917541376.0,120000,-1210565.25,0.0007,-22.01234245300293,37.2,0.0,5999,1131,106,-678394.4325615899
1.05290687084198,2850159360.0,130000,-1020559.3125,0.0007,-22.037403106689453,30.7,1.1920928955078125e-07,6499,1133,114,-579323.35198949
1.0545316934585571,5045420032.0,140000,-1393988.625,0.0007,-22.059200286865234,67.9,-1.1920928955078125e-07,6999,1134,123,-1592636.10228498
1.0582855939865112,2900081664.0,150000,-965592.375,0.0007,-22.112442016601562,38.64,0.0,7499,1137,131,-661156.07904685
1.0537617206573486,7396119552.0,160000,-1580749.0,0.0007,-22.044431686401367,36.64,0.0,7999,1138,140,-653796.5240368501
1.0606447458267212,4084521472.0,170000,-1267386.0,0.0007,-22.14628791809082,43.49,0.0,8499,1141,148,-843651.8857123201
1.0587782859802246,4438961152.0,180000,-1100953.75,0.0007,-22.118436813354492,30.62,-2.384185791015625e-07,8999,1144,157,-533017.55124094
1.0725922584533691,2322821632.0,190000,-885129.8125,0.0007,-22.314525604248047,33.35,-1.1920928955078125e-07,9499,1147,165,-585158.57766812
